scene_title,topic_title,word,meaning,part_of_speech,difficulty
,,that,引导名词从句的that,conjunction,B1
,,if,是否（引导名词从句）,conjunction,B1
,,whether,是否（引导名词从句）,conjunction,B1
,,who,……的人（关系代词）,pronoun,A2
,,which,……的东西（关系代词）,pronoun,A2
,,where,……的地方（关系副词）,adverb,A2
,,when,……的时候（关系副词）,adverb,A2
,,why,……的原因（关系副词）,adverb,A2
,,how,如何；多么,adverb,A1
,,what,什么；所……的（名词从句引导词）,pronoun,A1
,,to,动词不定式标记,particle,A1
,,in order to,为了（正式）,phrase,B1
,,so as to,为了（正式）,phrase,B1
,,so that,以便；为了,conjunction,B1
,,enjoy,享受；喜欢,verb,A2
,,avoid,避免,verb,B1
,,suggest,建议,verb,B1
,,recommend,推荐,verb,B1
,,consider,考虑,verb,B1
,,finish,完成,verb,A2
,,practice,练习,verb,A1
,,imagine,想象,verb,B1
,,mind,介意,verb,A2
,,keep,持续；保持,verb,A2
,,stop,停止,verb,A1
,,continue,继续,verb,B1
,,dislike,不喜欢,verb,B1
,,prefer,更喜欢,verb,A2
,,hate,讨厌,verb,A2
,,give up,放弃,phrasal verb,B1
,,start,开始,verb,A1
,,spend time,花时间,phrase,A2
,,be good at,擅长,phrase,A2
,,be interested in,对……感兴趣,phrase,A2
,,be tired of,厌倦,phrase,B1
,,be fond of,喜欢,phrase,B1
,,be proud of,为……自豪,phrase,B1
,,be afraid of,害怕,phrase,A2
,,be excited about,对……兴奋,phrase,A2
,,want,想要,verb,A1
,,hope,希望,verb,A2
,,wish,希望；但愿,verb,A2
,,expect,预计；期望,verb,B1
,,plan,计划,verb,A2
,,intend,打算,verb,B1
,,decide,决定,verb,A2
,,promise,承诺,verb,A2
,,agree,同意,verb,A2
,,offer,主动提出,verb,B1
,,refuse,拒绝,verb,B1
,,volunteer,自愿,verb,B1
,,attempt,尝试,verb,B1
,,make,使；让（make sb do）,verb,A2
,,let,让；允许（let sb do）,verb,A2
,,have,让；使（have sb do）,verb,B1
,,help,帮助；有助于,verb,A1
,,get,让；使（get sb to do）,verb,A2
,,it,形式主语（It is...to do）,pronoun,A1
,,What...is...,……的是……（强调句型）,structure,B1
,,The reason why...,……的原因是……,structure,B1
,,The thing that...,……的事情是……,structure,B1
,,swimming,游泳,noun,A1
,,reading,阅读,noun,A1
,,writing,写作,noun,A1
,,learning,学习,noun,A1
,,traveling,旅行,noun,A2
,,cooking,烹饪,noun,A2
,,running,跑步,noun,A1
,,waiting,等待,noun,A2
