scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
基础⑩·喜好与活动,我喜欢做...,动名词,I like swimming in the summer.,我喜欢夏天游泳。,L2,like+doing动名词。,"[{""en"":""I like reading before bed."",""zh"":""我喜欢睡前看书。""}]"
基础⑩·喜好与活动,我喜欢做...,动名词,She enjoys cooking for her family.,她喜欢给家人做饭。,L2,enjoy+doing。,"[{""en"":""He enjoys playing football."",""zh"":""他喜欢踢足球。""}]"
基础⑩·喜好与活动,我喜欢做...,动名词,I hate waiting in long lines.,我讨厌排长队。,L2,hate+doing。,"[{""en"":""She hates getting up early."",""zh"":""她讨厌早起。""}]"
基础⑩·喜好与活动,我想做/需要做,不定式,I want to learn Chinese.,我想学中文。,L2,want+to do。,"[{""en"":""He wants to be a doctor."",""zh"":""他想当医生。""}]"
基础⑩·喜好与活动,我想做/需要做,不定式,I need to finish my homework.,我需要完成作业。,L2,need+to do。,"[{""en"":""I need to buy some food."",""zh"":""我需要买些食物。""}]"
基础⑩·喜好与活动,我想做/需要做,不定式,I hope to see you again.,我希望能再见到你。,L2,hope+to do。,"[{""en"":""She hopes to travel abroad."",""zh"":""她希望出国旅游。""}]"
基础⑩·喜好与活动,我想做/需要做,委婉,I would like to order some food.,我想点些食物。,L2,would like to。,"[{""en"":""I would like to book a room."",""zh"":""我想订个房间。""}]"
基础⑩·礼貌与请求,请你帮我...,请求,Could you help me with this?,你能帮我这个吗？,L2,Could you...?委婉请求。,"[{""en"":""Could you open the door?"",""zh"":""你能开门吗？""}]"
基础⑩·礼貌与请求,请你帮我...,请求,Would you mind opening the window?,你介意开窗吗？,L2,Would you mind+doing。,"[{""en"":""Would you mind waiting a moment?"",""zh"":""你介意等一下吗？""}]"
基础⑩·礼貌与请求,请你帮我...,请求,May I come in?,我可以进来吗？,L2,May I...?正式请求。,"[{""en"":""May I use your phone?"",""zh"":""我可以用你的电话吗？""}]"
基础⑩·礼貌与请求,你想要...吗？,邀请,Would you like some coffee?,你想要咖啡吗？,L2,Would you like...?邀请。,"[{""en"":""Would you like some tea?"",""zh"":""你想喝茶吗？""}]"
基础⑩·礼貌与请求,你想要...吗？,提议,How about going for a walk?,去散步怎么样？,L2,How about+doing。,"[{""en"":""How about eating out tonight?"",""zh"":""今晚出去吃怎么样？""}]"
基础⑩·经历与持续,我去过/做过,完成时,I have been to Beijing twice.,我去过北京两次。,L2,have been to。,"[{""en"":""She has been to Shanghai."",""zh"":""她去过上海。""}]"
基础⑩·经历与持续,我去过/做过,完成时,Have you ever tried sushi? — Yes, I have.,你吃过寿司吗？——吃过。,L2,Have you ever...? ",[{""en"":""Have you ever been to Japan?"",""zh"":""你去过日本吗？""}]"
基础⑩·经历与持续,我去过/做过,完成时,I have never seen a ghost.,我从未见过鬼。,L2,have never。,"[{""en"":""I have never tried that."",""zh"":""我从未试过。""}]"
基础⑩·经历与持续,已经多久了,持续,He has lived here for 10 years.,他住在这里10年了。,L2,for+时间段。,"[{""en"":""I have worked here for 5 years."",""zh"":""我在这里工作5年了。""}]"
基础⑩·经历与持续,已经多久了,持续,She has studied English since 2020.,她从2020年开始学英语。,L2,since+时间点。,"[{""en"":""They have been friends since childhood."",""zh"":""他们从小就是朋友。""}]"
基础⑩·经历与持续,已经多久了,持续,I have already finished my homework.,我已经做完作业了。,L2,already 已经。,"[{""en"":""She has already left."",""zh"":""她已经走了。""}]"
基础⑩·经历与持续,已经多久了,持续,I haven't finished yet.,我还没做完。,L2,yet 还(没)。,"[{""en"":""He hasn't arrived yet."",""zh"":""他还没到。""}]"
