scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
动作、状态与整理,起身与开口,核心句块,"I wake up at seven every day.","wake up — 句块A",L1,"不带宾语","[]"
动作、状态与整理,起身与开口,核心句块,"The alarm is loud. Wake up.","wake up — 句块B",L1,"不带宾语","[]"
动作、状态与整理,起身与开口,核心句块,"Please stand up for a moment.","stand up — 句块A",L1,"不带宾语","[]"
动作、状态与整理,起身与开口,核心句块,"Emma is at the door. Stand up and greet her.","stand up — 句块B",L1,"不带宾语","[]"
动作、状态与整理,起身与开口,核心句块,"Please sit up straight.","sit up — 句块A",L1,"不带宾语","[]"
动作、状态与整理,起身与开口,核心句块,"He sits up when the teacher enters.","sit up — 句块B",L1,"不带宾语","[]"
动作、状态与整理,起身与开口,核心句块,"Hurry up. The bus is here.","hurry up — 句块A",L1,"不带宾语","[]"
动作、状态与整理,起身与开口,核心句块,"We start at eight. Please hurry up.","hurry up — 句块B",L1,"不带宾语","[]"
动作、状态与整理,起身与开口,核心句块,"Please speak up in class.","speak up — 句块A",L1,"不带宾语","[]"
动作、状态与整理,起身与开口,核心句块,"I do not hear you well. Speak up, please.","speak up — 句块B",L1,"不带宾语","[]"
动作、状态与整理,整理与完成,核心句块,"Please clean up the table.","clean up — 句块A",L1,"可分","[]"
动作、状态与整理,整理与完成,核心句块,"The table is dirty. Clean it up.","clean up — 句块B",L1,"可分","[]"
动作、状态与整理,整理与完成,核心句块,"She tidies up her desk every day.","tidy up — 句块A",L1,"可分","[]"
动作、状态与整理,整理与完成,核心句块,"These papers are everywhere. Tidy them up.","tidy up — 句块B",L1,"可分","[]"
动作、状态与整理,整理与完成,核心句块,"Do not use up all the water.","use up — 句块A",L1,"可分","[]"
动作、状态与整理,整理与完成,核心句块,"This paper is old. Use it up first.","use up — 句块B",L1,"可分","[]"
动作、状态与整理,整理与完成,核心句块,"Please eat up your breakfast.","eat up — 句块A",L1,"可分","[]"
动作、状态与整理,整理与完成,核心句块,"The food is still warm. Eat it up.","eat up — 句块B",L1,"可分","[]"
动作、状态与整理,整理与完成,核心句块,"Cheer up. You are okay.","cheer up — 句块A",L1,"可分","[]"
动作、状态与整理,整理与完成,核心句块,"Mia looks sad. Let us cheer her up.","cheer up — 句块B",L1,"可分","[]"
动作、状态与整理,坐下与放慢,核心句块,"Please sit down by the window.","sit down — 句块A",L1,"不带宾语","[]"
动作、状态与整理,坐下与放慢,核心句块,"Your chair is ready. Sit down.","sit down — 句块B",L1,"不带宾语","[]"
动作、状态与整理,坐下与放慢,核心句块,"Lie down on the sofa and rest.","lie down — 句块A",L1,"不带宾语","[]"
动作、状态与整理,坐下与放慢,核心句块,"He lies down when his back hurts.","lie down — 句块B",L1,"不带宾语","[]"
