scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
"历史·古代文明","古埃及文明","古埃及文明","Let me tell you about 古埃及文明.","让我给你讲讲古埃及文明。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 古埃及文明."",""zh"":""让我给你讲讲古埃及文明。""}]"
"历史·古代文明","古埃及文明","古埃及文明","I find 古埃及文明 really interesting.","我觉得古埃及文明非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 古埃及文明 really interesting."",""zh"":""我觉得古埃及文明非常有趣。""}]"
"历史·古代文明","古埃及文明","古埃及文明","One interesting thing about 古埃及文明 is that...","关于古埃及文明有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 古埃及文明 is that..."",""zh"":""关于古埃及文明有趣的一点是...""}]"
"历史·古代文明","古希腊与罗马","古希腊与罗马","Let me tell you about 古希腊与罗马.","让我给你讲讲古希腊与罗马。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 古希腊与罗马."",""zh"":""让我给你讲讲古希腊与罗马。""}]"
"历史·古代文明","古希腊与罗马","古希腊与罗马","I find 古希腊与罗马 really interesting.","我觉得古希腊与罗马非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 古希腊与罗马 really interesting."",""zh"":""我觉得古希腊与罗马非常有趣。""}]"
"历史·古代文明","古希腊与罗马","古希腊与罗马","One interesting thing about 古希腊与罗马 is that...","关于古希腊与罗马有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 古希腊与罗马 is that..."",""zh"":""关于古希腊与罗马有趣的一点是...""}]"
"历史·中古时期","中世纪欧洲","中世纪欧洲","Let me tell you about 中世纪欧洲.","让我给你讲讲中世纪欧洲。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 中世纪欧洲."",""zh"":""让我给你讲讲中世纪欧洲。""}]"
"历史·中古时期","中世纪欧洲","中世纪欧洲","I find 中世纪欧洲 really interesting.","我觉得中世纪欧洲非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 中世纪欧洲 really interesting."",""zh"":""我觉得中世纪欧洲非常有趣。""}]"
"历史·中古时期","中世纪欧洲","中世纪欧洲","One interesting thing about 中世纪欧洲 is that...","关于中世纪欧洲有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 中世纪欧洲 is that..."",""zh"":""关于中世纪欧洲有趣的一点是...""}]"
"历史·中古时期","丝绸之路与探险","丝绸之路与探险","Let me tell you about 丝绸之路与探险.","让我给你讲讲丝绸之路与探险。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 丝绸之路与探险."",""zh"":""让我给你讲讲丝绸之路与探险。""}]"
"历史·中古时期","丝绸之路与探险","丝绸之路与探险","I find 丝绸之路与探险 really interesting.","我觉得丝绸之路与探险非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 丝绸之路与探险 really interesting."",""zh"":""我觉得丝绸之路与探险非常有趣。""}]"
"历史·中古时期","丝绸之路与探险","丝绸之路与探险","One interesting thing about 丝绸之路与探险 is that...","关于丝绸之路与探险有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 丝绸之路与探险 is that..."",""zh"":""关于丝绸之路与探险有趣的一点是...""}]"
"历史·近代转折","工业革命","工业革命","Let me tell you about 工业革命.","让我给你讲讲工业革命。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 工业革命."",""zh"":""让我给你讲讲工业革命。""}]"
"历史·近代转折","工业革命","工业革命","I find 工业革命 really interesting.","我觉得工业革命非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 工业革命 really interesting."",""zh"":""我觉得工业革命非常有趣。""}]"
"历史·近代转折","工业革命","工业革命","One interesting thing about 工业革命 is that...","关于工业革命有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 工业革命 is that..."",""zh"":""关于工业革命有趣的一点是...""}]"
"历史·近代转折","二十世纪重大事件","二十世纪重大事件","Let me tell you about 二十世纪重大事件.","让我给你讲讲二十世纪重大事件。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 二十世纪重大事件."",""zh"":""让我给你讲讲二十世纪重大事件。""}]"
"历史·近代转折","二十世纪重大事件","二十世纪重大事件","I find 二十世纪重大事件 really interesting.","我觉得二十世纪重大事件非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 二十世纪重大事件 really interesting."",""zh"":""我觉得二十世纪重大事件非常有趣。""}]"
"历史·近代转折","二十世纪重大事件","二十世纪重大事件","One interesting thing about 二十世纪重大事件 is that...","关于二十世纪重大事件有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 二十世纪重大事件 is that..."",""zh"":""关于二十世纪重大事件有趣的一点是...""}]"
