scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
"基础·问路与交通",问路指路,问路指路,Excuse me, where is the station?,打扰一下，车站在哪里？,L1,"日常口语表达。",""
"基础·问路与交通",问路指路,问路指路,How do I get to the museum?,我怎么去博物馆？,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,Is it far from here?,离这里远吗？,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,Go straight ahead.,一直往前走。,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,Turn left at the corner.,在拐角左转。,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,Turn right at the traffic lights.,在红绿灯右转。,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,It's next to the bank.,在银行旁边。,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,It's across from the park.,在公园对面。,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,It's on your left.,在你的左边。,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,Walk for about 5 minutes.,走大约5分钟。,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,You can take the bus.,你可以坐公交车。,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,It's about 2 blocks away.,大约两个街区远。,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,I'm lost. Can you help me?,我迷路了。你能帮我吗？,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,Is there a toilet near here?,这附近有厕所吗？,L1,日常口语表达。,""
"基础·问路与交通",问路指路,问路指路,I'm looking for this address.,我在找这个地址。,L1,日常口语表达。,""
"基础·问路与交通",乘坐交通,乘坐交通,Which bus goes to the airport?,哪路公交车去机场？,L1,日常口语表达。,""
"基础·问路与交通",乘坐交通,乘坐交通,How much is the fare?,车费多少钱？,L1,日常口语表达。,""
"基础·问路与交通",乘坐交通,乘坐交通,Please take me to this address.,请带我去这个地址。,L1,日常口语表达。,""
"基础·问路与交通",乘坐交通,乘坐交通,Where is the nearest subway station?,最近的地铁站在哪里？,L1,日常口语表达。,""
"基础·问路与交通",乘坐交通,乘坐交通,Which line goes to the city center?,哪条线去市中心？,L1,日常口语表达。,""
"基础·问路与交通",乘坐交通,乘坐交通,How many stops to the hotel?,到酒店有几站？,L1,日常口语表达。,""
"基础·问路与交通",乘坐交通,乘坐交通,Please stop here.,请在这里停。,L1,日常口语表达。,""
"基础·问路与交通",乘坐交通,乘坐交通,Can I have a ticket to London?,我能买一张去伦敦的票吗？,L1,日常口语表达。,""
"基础·问路与交通",乘坐交通,乘坐交通,How long does it take?,需要多长时间？,L1,日常口语表达。,""
"基础·问路与交通",乘坐交通,乘坐交通,The train is delayed.,火车晚点了。,L1,日常口语表达。,""
"基础·问路与交通",乘坐交通,乘坐交通,Which platform does the train leave from?,火车从哪个站台出发？,L1,日常口语表达。,""
"基础·问路与交通",乘坐交通,乘坐交通,I need to buy a ticket.,我需要买票。,L1,日常口语表达。,""
