scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,ink_script_key
动词短语·UP 篇,UP 基础短语,Practice basic phrasal verbs with 'up': give up wake up pick up.,练习含up的基础动词短语：give up/wake up/pick up。,45,L2,掌握give up/wake up/clean up/show up/pick up的含义和用法。,up 动词短语 基础,practice_course-phrasal-verbs_动词短语_UP_篇_UP_基础短语
动词短语·UP 篇,UP 在对话中,Use 'up' phrasal verbs in conversations.,在对话中使用含up的动词短语。,45,L2,在对话场景中运用give up/wake up/clean up等，体会语境差异。,up 对话 应用,practice_course-phrasal-verbs_动词短语_UP_篇_UP_在对话中
动词短语·DOWN 篇,DOWN 基础短语,Practice basic phrasal verbs with 'down': sit down calm down turn down.,练习含down的基础动词短语：sit down/calm down/turn down。,45,L2,掌握sit down/calm down/break down/turn down/write down的用法。,down 动词短语 基础,practice_course-phrasal-verbs_动词短语_DOWN_篇_DOWN_基础短语
动词短语·DOWN 篇,DOWN 在对话中,Use 'down' phrasal verbs in conversations.,在对话中使用含down的动词短语。,45,L2,在对话中运用sit down/calm down/break down等，区分含义。,down 对话 应用,practice_course-phrasal-verbs_动词短语_DOWN_篇_DOWN_在对话中
动词短语·OUT 篇,OUT 基础短语,Practice basic phrasal verbs with 'out': find out work out run out.,练习含out的基础动词短语：find out/work out/run out。,45,L2,掌握find out/work out/run out/figure out/check out的用法。,out 动词短语 基础,practice_course-phrasal-verbs_动词短语_OUT_篇_OUT_基础短语
动词短语·OUT 篇,OUT 在对话中,Use 'out' phrasal verbs in conversations.,在对话中使用含out的动词短语。,45,L2,在对话场景中运用find out/work out/run out等。,out 对话 应用,practice_course-phrasal-verbs_动词短语_OUT_篇_OUT_在对话中
动词短语·OFF 篇,OFF 基础短语,Practice basic phrasal verbs with 'off': take off turn off put off.,练习含off的基础动词短语：take off/turn off/put off。,45,L2,掌握take off/turn off/put off/show off/pay off的含义和用法。,off 动词短语 基础,practice_course-phrasal-verbs_动词短语_OFF_篇_OFF_基础短语
动词短语·OFF 篇,OFF 在对话中,Use 'off' phrasal verbs in conversations.,在对话中使用含off的动词短语。,45,L2,在对话场景中运用take off/put off/show off等。,off 对话 应用,practice_course-phrasal-verbs_动词短语_OFF_篇_OFF_在对话中
动词短语·ON 篇,ON 基础短语,Practice basic phrasal verbs with 'on': put on turn on get on.,练习含on的基础动词短语：put on/turn on/get on。,45,L2,掌握put on/turn on/get on/carry on/go on的用法。,on 动词短语 基础,practice_course-phrasal-verbs_动词短语_ON_篇_ON_基础短语
动词短语·ON 篇,ON 在对话中,Use 'on' phrasal verbs in conversations.,在对话中使用含on的动词短语。,45,L2,在对话场景中运用put on/carry on/go on等。,on 对话 应用,practice_course-phrasal-verbs_动词短语_ON_篇_ON_在对话中
动词短语·IN/OVER/BACK 篇,IN/OVER/BACK 基础短语,Practice phrasal verbs with 'in' 'over' and 'back'.,练习含in/over/back的动词短语。,45,L2,掌握give in/come over/call back/get back/think over的用法。,in over back 动词短语,practice_course-phrasal-verbs_动词短语_INOVERBACK_篇_INOVERBACK_基础短语
动词短语·IN/OVER/BACK 篇,IN/OVER/BACK 在对话中,Use 'in' 'over' and 'back' phrasal verbs in conversation.,在对话中使用含in/over/back的动词短语。,45,L2,在对话场景中运用give in/come over/call back等。,in over back 对话,practice_course-phrasal-verbs_动词短语_INOVERBACK_篇_INOVERBACK_在对话中
动词短语·MAKE/TAKE/HAVE/DO,MAKE/TAKE/HAVE/DO基础搭配,Practice common collocations with make take have and do.,练习make/take/have/do的常见固定搭配。,45,L2,掌握make a decision/take care of/have a look/do business等搭配。,make take have do 搭配,practice_course-phrasal-verbs_动词短语_MAKETAKEHAVEDO_MAKETAKEHAVEDO基础搭配
动词短语·GET/KEEP/SET/COME,GET/KEEP/SET/COME基础搭配,Practice common collocations with get keep set and come.,练习get/keep/set/come的常见固定搭配。,45,L2,掌握get ready/keep in touch/set up/come true等搭配。,get keep set come 搭配,practice_course-phrasal-verbs_动词短语_GETKEEPSETCOME_GETKEEPSETCOME基础搭配
动词短语·介词固定搭配,介词固定搭配基础,Practice common preposition collocations.,练习常见介词固定搭配。,45,L2,掌握interested in/good at/afraid of/depend on/wait for等搭配。,介词 搭配 固定,practice_course-phrasal-verbs_动词短语_介词固定搭配_介词固定搭配基础
动词短语·其他高频固定搭配,动词短语·其他高频固定搭配,Practice other common fixed collocations.,练习其他高频固定搭配。,45,L2,掌握look forward to/take part in/catch up with/make sure等搭配。,高频 固定搭配 常用,practice_course-phrasal-verbs_动词短语_其他高频固定搭配_动词短语_其他高频固定搭配
