scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
"基础·问候与介绍",见面问候,见面问候,Hello! How are you?,你好！你好吗？,L1,日常口语表达。,""
"基础·问候与介绍",见面问候,见面问候,Hi! Long time no see.,嗨！好久不见。,L1,日常口语表达。,""
"基础·问候与介绍",见面问候,见面问候,Nice to meet you!,很高兴认识你！,L1,日常口语表达。,""
"基础·问候与介绍",见面问候,见面问候,How's it going?,最近怎么样？,L1,日常口语表达。,""
"基础·问候与介绍",见面问候,见面问候,Pretty good, thanks!,挺好的，谢谢！,L1,"日常口语表达。",""
"基础·问候与介绍",见面问候,见面问候,What have you been up to?,你最近在忙什么？,L1,日常口语表达。,""
"基础·问候与介绍",见面问候,见面问候,Good morning!,早上好！,L1,日常口语表达。,""
"基础·问候与介绍",见面问候,见面问候,Good afternoon!,下午好！,L1,日常口语表达。,""
"基础·问候与介绍",见面问候,见面问候,Good evening!,晚上好！,L1,日常口语表达。,""
"基础·问候与介绍",见面问候,见面问候,It's been a while!,有一阵子不见了！,L1,日常口语表达。,""
"基础·问候与介绍",见面问候,见面问候,How have you been?,你最近怎么样？,L1,日常口语表达。,""
"基础·问候与介绍",见面问候,见面问候,I'm doing great!,我很好！,L1,日常口语表达。,""
"基础·问候与介绍",见面问候,见面问候,Not bad, how about you?,还不错，你呢？,L1,"日常口语表达。",""
"基础·问候与介绍",见面问候,见面问候,Same as always.,老样子。,L1,日常口语表达。,""
"基础·问候与介绍",见面问候,见面问候,Glad to see you again!,很高兴再次见到你！,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,My name is...,我的名字是...,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,I'm from China.,我来自中国。,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,I live in Beijing.,我住在北京。,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,I'm a student.,我是一个学生。,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,I work as a teacher.,我是一名老师。,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,I'm 25 years old.,我25岁。,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,I have two brothers.,我有两个兄弟。,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,This is my friend, Tom.,这是我的朋友汤姆。,L1,"日常口语表达。",""
"基础·问候与介绍",自我介绍,自我介绍,We're classmates.,我们是同学。,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,I'm from a small town.,我来自一个小镇。,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,I study at university.,我在大学学习。,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,My major is English.,我的专业是英语。,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,I like traveling and reading.,我喜欢旅行和阅读。,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,I'm here on vacation.,我来这里度假。,L1,日常口语表达。,""
"基础·问候与介绍",自我介绍,自我介绍,I'm happy to be here.,我很高兴来到这里。,L1,日常口语表达。,""
"基础·礼貌与请求",礼貌用语,礼貌用语,Thank you very much!,非常感谢！,L1,日常口语表达。,""
"基础·礼貌与请求",礼貌用语,礼貌用语,You're welcome.,不客气。,L1,日常口语表达。,""
"基础·礼貌与请求",礼貌用语,礼貌用语,I'm sorry.,对不起。,L1,日常口语表达。,""
"基础·礼貌与请求",礼貌用语,礼貌用语,That's okay.,没关系。,L1,日常口语表达。,""
"基础·礼貌与请求",礼貌用语,礼貌用语,Excuse me.,打扰一下/对不起。,L1,日常口语表达。,""
"基础·礼貌与请求",礼貌用语,礼貌用语,No problem!,没问题！,L1,日常口语表达。,""
"基础·礼貌与请求",礼貌用语,礼貌用语,I appreciate your help.,我很感谢你的帮助。,L1,日常口语表达。,""
"基础·礼貌与请求",礼貌用语,礼貌用语,Thanks for your time.,谢谢你的时间。,L1,日常口语表达。,""
