scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
认识同事与团队,同事与岗位,"He/She is our ___.","他/她是我们的___.","colleague / manager / assistant / designer / receptionist / engineer","She is our designer.",L1,0
认识同事与团队,同事与岗位,"___ is the ___ for this team.","___ 是这个团队的___.","Mia / Ben / designer / engineer","Mia is the designer for this team.",L1,1
认识同事与团队,部门与地点,"He/She works in the ___ department.","他/她在___部门工作。","sales / support / design","She works in the sales department.",L1,2
认识同事与团队,部门与地点,"He/She works at ___ for a ___ company.","他/她在___为一家___公司工作。","the front desk / a branch / small / local","He works at the front desk for a small company.",L1,3
认识同事与团队,介绍一位同事,"His/Her role is ___; the background is ___.","他/她的角色是___；背景是___.","support / design / technical / creative","Her role is design; the background is creative.",L1,4
认识同事与团队,介绍一位同事,"Our ___ is ___.","我们的___是___.","colleague / manager / friendly / experienced","Our colleague is friendly.",L1,5
认识同事与团队,联系信息,"You can reach him/her at ___.","你可以通过___联系他/她。","extension 204 / the front desk","You can reach him at extension 204.",L1,6
认识同事与团队,联系信息,"His/Her ___ is in the directory.","他/她的___在通讯录里。","contact details / extension / desk","His extension is in the directory.",L1,7
工作职责与安排,开始一天,"He/She starts by ___ing ___.","他/她从___开始。","checking / opening / the schedule / the calendar","She starts by checking the schedule.",L1,8
工作职责与安排,开始一天,"He/She opens ___ and logs in at ___.","他/她打开___并在___登录。","the calendar / the system / nine","He opens the calendar and logs in at nine.",L1,9
工作职责与安排,电话与邮件,"He/She answers ___ and writes ___.","他/她接听___并写___.","the main line / a report","He answers the main line and writes a report.",L1,10
工作职责与安排,电话与邮件,"He/She forwards ___, attaches ___, and prints ___.","他/她转发___、附加___并打印___.","the report / the document / one copy","She forwards the report and attaches the document.",L1,11
工作职责与安排,帮助客户,"He/She guides each ___ through the ___.","他/她引导每位___完成___.","customer / guest / question / request","He guides each customer through the request.",L1,12
工作职责与安排,帮助客户,"He/She explains ___ and solves ___.","他/她解释___并解决___.","the question / the solution / the problem","She explains the solution and solves the problem.",L1,13
工作职责与安排,完成与跟进,"He/She tries to complete ___ before the ___.","他/她争取在___前完成___.","the task / report / deadline","She tries to complete the task before the deadline.",L1,14
工作职责与安排,完成与跟进,"He/She finishes ___, follows up, and carries ___.","他/她完成___、跟进并搬运___.","the report / the copies / boxes","He finishes the report and carries the copies.",L1,15
询问、否定与确认,Does 问答,"Does he/she ___? — Yes, he/she does. / No, he/she doesn't.","他/她___吗？ — 是/不是。","start / answer / print","Does he start at eight?",L1,16
询问、否定与确认,Does 问答,"Please confirm the correct ___ and ___.","请确认正确的___和___.","shift / duty / schedule","Please confirm the correct shift and duty.",L1,17
询问、否定与确认,询问具体信息,"When does he/she ___, and what task comes first?","他/她何时___，先做什么任务？","start / finish / return","When does she finish?",L1,18
询问、否定与确认,询问具体信息,"Who is the right person, and where is the work location?","谁是合适的人，工作地点在哪？","person / detail / department","Who is the right person for this detail?",L1,19
询问、否定与确认,否定与纠正,"He/She doesn't ___; he/she ___s instead.","他/她不___；而是___.","answer / write / work / print","She doesn't answer; she writes instead.",L1,20
询问、否定与确认,否定与纠正,"Actually, the ___ is a mistake; this correction is accurate.","实际上，___是错的；这项纠正是准确的。","note / role / fact","Actually, the note is a mistake.",L1,21
询问、否定与确认,have 与 has,"He/She has ___ and ___.","他/她有___和___.","a meeting / the file / a device / equipment","She has a meeting and the main file.",L1,22
询问、否定与确认,have 与 has,"Does he/she have the ___ document?","他/她有___文件吗？","meeting / final / printed","Does she have the meeting document?",L1,23
个人与团队协作,一个人与一组人,"One individual ___s; the group ___.","一个人___；小组___.","writes / write / reviews / review","One individual writes; the group reviews.",L1,24
个人与团队协作,一个人与一组人,"Several staff members have different ___.","几名员工的___不同。","roles / duties / schedules","Several staff members have different duties.",L1,25
个人与团队协作,谁负责,"Who handles ___, and who is responsible for ___?","谁处理___，谁负责___？","this task / the document","Who handles this task?",L1,26
个人与团队协作,谁负责,"He/She assigns ___ to him/her and transfers ___ to them.","他/她把___指派给他/她，并把___转交给他们。","the task / the copies","She assigns the task to him.",L1,27
个人与团队协作,当前工作状态,"Is he/she available or occupied?","他/她现在有空还是忙于别的事？","now / after lunch","Is she available now?",L1,28
个人与团队协作,当前工作状态,"The ___ is urgent, so he/she returns after a short delay; ___ is waiting.","___很紧急，所以他/她短暂延迟后返回；___在等。","request / task / Lin","The request is urgent, so she returns after a short delay.",L1,29
个人与团队协作,同事工作档案,"Let me introduce this profile and describe the main ___.","让我介绍这份档案并描述主要___.","role / routine / strength","Let me introduce this profile.",L1,30
个人与团队协作,同事工作档案,"Overall, ___; in summary, ___.","总体来说，___；总结来说，___.","she supports the team / the profile is complete","Overall, she supports the team.",L1,31
