episode_chapter,episode_order,chunk_text_match,sort_order
chapter_0,1,I'm here to check in.,0
chapter_0,1,My booking is under the name...,1
chapter_0,1,Thank you for your help.,2
chapter_0,2,I'd like a..., please.,0
chapter_0,2,How much is it?,1
chapter_0,2,For here or to go?,2
chapter_0,3,I'm from...,0
chapter_0,3,It's nice to meet you.,1
chapter_0,3,My major is...,2
chapter_1,1,I'm here to study.,0
chapter_1,1,I have nothing to declare.,1
chapter_1,1,Can I see your passport?,2
chapter_1,2,Could you take me to..., please?,0
chapter_1,2,How much will it cost?,1
chapter_1,2,How long does it take to get there?,2
chapter_1,3,I'm here to check in.,0
chapter_1,3,Is there Wi-Fi in the building?,1
chapter_1,3,Where is the laundry room?,2
chapter_1,4,How much is it?,0
chapter_1,4,I'm looking for...,1
chapter_1,5,I'm from...,0
chapter_1,5,What do you do in your free time?,1
chapter_1,5,Would you like to grab a coffee sometime?,2
