chapter_id,chapter_title,episode_order,title,scene_title,required_output_level,required_user_level,vocab_required_count,vocab_total_count,chunk_required_count,chunk_total_count,objectives_json,pass_objective_count,pass_chunk_count,pass_min_dialogues,npc_name,npc_role,is_preview,ink_script_key,rewards_json
chapter_1,咖啡店,1,点咖啡,日常·咖啡店点餐,L1,1,2,4,2,3,"[""点饮品"",""确认温度/大小"",""确认堂食或外带""]",2,2,2,Barista,咖啡师,true,practice_daily-social_日常_咖啡店点餐_点咖啡,"{""xp"":15}"
chapter_1,咖啡店,2,修改订单,日常·咖啡店点餐,L1,1,2,1,2,1,"[""礼貌说明需要修改"",""说正确的要求""]",2,2,2,Barista,咖啡师,false,practice_daily-social_日常_咖啡店点餐_修改订单,"{""xp"":15}"
chapter_1,咖啡店,3,办理会员卡,日常·咖啡店点餐,L2,1,2,1,2,2,"[""问怎么办卡"",""问会员权益""]",2,2,2,Barista,咖啡师,false,practice_daily-social_日常_咖啡店点餐_办理会员卡,"{""xp"":20}"
chapter_1,咖啡店,4,投诉饮品,日常·咖啡店点餐,L2,1,2,1,2,1,"[""礼貌指出问题"",""说正确的要求""]",2,2,2,Barista,咖啡师,false,practice_daily-social_日常_咖啡店点餐_投诉饮品,"{""xp"":20}"
chapter_2,超市,1,询问商品位置,日常·超市购物,L1,1,2,2,2,2,"[""问商品在哪"",""问是否有货""]",2,2,2,Store Clerk,店员,true,practice_daily-social_日常_超市购物_询问商品位置,"{""xp"":15}"
chapter_2,超市,2,退货,日常·超市购物,L1,1,2,2,2,2,"[""说明要退货"",""问能否换货""]",2,2,2,Store Clerk,店员,false,practice_daily-social_日常_超市购物_退货,"{""xp"":15}"
chapter_2,超市,3,优惠活动,日常·超市购物,L1,1,2,2,2,2,"[""问今日优惠"",""问学生折扣""]",2,2,2,Store Clerk,店员,false,practice_daily-social_日常_超市购物_优惠活动,"{""xp"":15}"
chapter_2,超市,4,自助结账,日常·超市购物,L1,1,2,2,2,2,"[""描述故障"",""请求帮助""]",2,2,2,Store Clerk,店员,false,practice_daily-social_日常_超市购物_自助结账,"{""xp"":15}"
chapter_3,朋友聚会,1,邀请朋友,日常·朋友聚会,L1,1,2,1,2,2,"[""发出邀请"",""说明活动内容""]",2,2,2,Friend,朋友,false,practice_daily-social_日常_朋友聚会_邀请朋友,"{""xp"":15}"
chapter_3,朋友聚会,2,商量计划,日常·朋友聚会,L1,1,2,1,2,2,"[""提议地点"",""商量时间""]",2,2,2,Friend,朋友,false,practice_daily-social_日常_朋友聚会_商量计划,"{""xp"":15}"
chapter_3,朋友聚会,3,确认参加,日常·朋友聚会,L1,1,2,1,2,2,"[""回复邀请"",""问需要带什么""]",2,2,2,Friend,朋友,false,practice_daily-social_日常_朋友聚会_确认参加,"{""xp"":15}"
