scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"哲学·东方智慧","儒家思想","Confucius","孔子","noun","/confucius/","/confucius/","L3","中国古代伟大的哲学家。","[{""en"":""Confucius taught the importance of moral behavior."",""zh"":""孔子教导道德行为的重要性。""}]",0
"哲学·东方智慧","儒家思想","virtue","美德","noun","/virtue/","/virtue/","L3","道德上的优秀品质。","[{""en"":""Confucius believed virtue was the foundation of society."",""zh"":""孔子相信美德是社会的基础。""}]",1
"哲学·东方智慧","儒家思想","filial piety","孝道","noun","/filialpiety/","/filialpiety/","L3","尊敬和照顾父母的道德。","[{""en"":""Filial piety is central to Confucian thought."",""zh"":""孝道是儒家思想的核心。""}]",2
"哲学·东方智慧","儒家思想","harmony","和谐","noun","/harmony/","/harmony/","L2","人与人、人与自然之间的平衡。","[{""en"":""Confucius valued harmony in all relationships."",""zh"":""孔子重视所有关系中的和谐。""}]",3
"哲学·东方智慧","儒家思想","ritual","礼仪","noun","/ritual/","/ritual/","L3","社会规范和仪式。","[{""en"":""Proper ritual was important for social order."",""zh"":""恰当的礼仪对社会秩序很重要。""}]",4
"哲学·东方智慧","儒家思想","benevolence","仁","noun","/benevolence/","/benevolence/","L3","对他人的善意和关爱。","[{""en"":""Benevolence is the highest Confucian virtue."",""zh"":""仁是儒家最高的美德。""}]",5
"哲学·东方智慧","儒家思想","wisdom","智慧","noun","/wisdom/","/wisdom/","L2","深刻的理解和判断力。","[{""en"":""Confucius shared his wisdom through the Analects."",""zh"":""孔子通过《论语》分享他的智慧。""}]",6
"哲学·东方智慧","儒家思想","Analects","论语","noun","/analects/","/analects/","L3","记录孔子言行的经典。","[{""en"":""The Analects contain the teachings of Confucius."",""zh"":""《论语》记录了孔子的教导。""}]",7
"哲学·东方智慧","道家思想","Laozi","老子","noun","/laozi/","/laozi/","L3","道家创始人。","[{""en"":""Laozi wrote the Tao Te Ching."",""zh"":""老子写了《道德经》。""}]",0
"哲学·东方智慧","道家思想","Tao","道","noun","/tao/","/tao/","L3","宇宙的本源和规律。","[{""en"":""The Tao is the natural way of the universe."",""zh"":""道是宇宙的自然法则。""}]",1
