episode_chapter,episode_order,chunk_text_match,sort_order
found_foundation_weather_nature_0,1,What's the weather like today?,0
found_foundation_weather_nature_0,1,It's sunny today.,1
found_foundation_weather_nature_0,1,It's raining outside.,2
found_foundation_weather_nature_0,1,It's very cold today.,3
found_foundation_weather_nature_0,1,It's hot and humid.,4
found_foundation_weather_nature_0,1,It's cloudy today.,5
found_foundation_weather_nature_0,1,It's snowing heavily.,6
found_foundation_weather_nature_0,1,The temperature is 25 degrees.,7
found_foundation_weather_nature_0,1,It's windy today.,8
found_foundation_weather_nature_0,1,Bring an umbrella!,9
found_foundation_weather_nature_0,1,The weather is nice today.,10
found_foundation_weather_nature_0,1,It's getting warmer.,11
found_foundation_weather_nature_0,1,What a beautiful day!,12
found_foundation_weather_nature_0,1,I hope it doesn't rain.,13
found_foundation_weather_nature_0,1,The sun is shining.,14
found_foundation_weather_nature_0,2,My favorite season is spring.,0
found_foundation_weather_nature_0,2,Summer is very hot.,1
found_foundation_weather_nature_0,2,Leaves fall in autumn.,2
found_foundation_weather_nature_0,2,It snows in winter.,3
found_foundation_weather_nature_0,2,The flowers are blooming.,4
found_foundation_weather_nature_0,2,Let's go for a walk.,5
found_foundation_weather_nature_0,2,The air is fresh.,6
found_foundation_weather_nature_0,2,I love the beach!,7
found_foundation_weather_nature_0,2,The stars are beautiful.,8
found_foundation_weather_nature_0,2,Let's enjoy the sunset.,9
found_foundation_weather_nature_0,2,The mountain is covered with snow.,10
found_foundation_weather_nature_0,2,I like to hike in the forest.,11
found_foundation_weather_nature_0,2,The river is very clean.,12
found_foundation_weather_nature_0,2,Birds are singing.,13
found_foundation_weather_nature_0,2,What a lovely garden!,14
