chapter_id,chapter_title,episode_order,title,scene_title,required_output_level,required_user_level,vocab_required_count,vocab_total_count,chunk_required_count,chunk_total_count,objectives_json,pass_objective_count,pass_chunk_count,pass_min_dialogues,npc_name,npc_role,is_preview,ink_script_key,rewards_json
chapter_1,入住安顿,1,办理入住,"留学·宿舍入住",L1,1,3,4,2,4,"[""打招呼"",""说明来办理入住"",""提供证件"",""确认房间号""]",2,2,2,Sarah,宿舍前台,true,practice_study-abroad_宿舍入住_办理入住,"{""xp"":20}"
chapter_1,入住安顿,2,了解宿舍设施,"留学·宿舍入住",L2,1,3,4,2,4,"[""询问Wi-Fi"",""询问洗衣房位置"",""询问共享厨房"",""询问去校园路线""]",2,2,2,Sarah,宿舍前台,false,practice_study-abroad_宿舍入住_了解设施,"{""xp"":25}"
chapter_1,入住安顿,3,洗衣初体验,"留学·洗衣房",L1,1,2,4,2,4,"[""询问洗衣机怎么用"",""询问是否需要App"",""询问洗衣时长""]",2,2,2,Emma,室友(生活秩序型),false,practice_study-abroad_洗衣房_使用洗衣机,"{""xp"":20}"
chapter_1,入住安顿,4,报修与快递,"留学·宿舍入住",L2,1,3,4,2,4,"[""报修问题"",""描述具体故障"",""询问维修时间"",""领取快递""]",2,2,2,Sarah,宿舍前台,false,practice_study-abroad_宿舍入住_报修问题,"{""xp"":30}"
chapter_2,室友相处,1,初次见面,"留学·认识室友",L1,1,2,3,2,3,"[""自我介绍"",""说明来自哪里"",""说明专业""]",2,2,2,Alex,室友(大一新生),true,practice_study-abroad_认识室友_初次见面,"{""xp"":20}"
chapter_2,室友相处,2,聊聊家乡和爱好,"留学·认识室友",L2,1,3,4,2,4,"[""聊家乡"",""聊兴趣爱好"",""询问对方爱好"",""找共同话题""]",2,2,2,Alex,室友(大一新生),false,practice_study-abroad_认识室友_聊家乡与爱好,"{""xp"":30}"
chapter_2,室友相处,3,一起吃饭吧,"留学·认识室友",L1,1,2,3,2,3,"[""邀请一起吃饭"",""提议一起做饭"",""商量AA制""]",2,2,2,Samir,室友(社交型),false,practice_study-abroad_认识室友_邀请一起吃饭,"{""xp"":20}"
chapter_2,室友相处,4,制定宿舍规则,"留学·认识室友",L2,1,3,4,2,4,"[""提议定规则"",""商量安静时间"",""商量打扫轮值"",""询问可否带访客""]",2,2,2,Emma,室友(生活秩序型),false,practice_study-abroad_认识室友_商量宿舍规则,"{""xp"":30}"
chapter_3,校园学习,1,图书馆找书,"留学·图书馆",L2,1,2,3,2,3,"[""说明要找的书"",""询问借书流程"",""询问还书时间"",""询问续借方式""]",2,2,2,Lisa,图书管理员,false,practice_study-abroad_图书馆_找书借书,"{""xp"":30}"
chapter_3,校园学习,2,预约学习室,"留学·图书馆",L2,1,2,3,2,3,"[""询问怎么预约"",""询问容纳人数"",""询问使用时长""]",2,2,2,Lisa,图书管理员,false,practice_study-abroad_图书馆_预约学习室,"{""xp"":25}"
chapter_3,校园学习,3,打印与设施,"留学·图书馆",L1,1,2,3,2,3,"[""询问怎么打印"",""询问价格"",""询问是否有扫描仪"",""询问无线打印""]",2,2,2,Lisa,图书管理员,false,practice_study-abroad_图书馆_打印与设施,"{""xp"":20}"
