chapter_id,chapter_title,episode_order,title,scene_title,required_output_level,required_user_level,vocab_required_count,vocab_total_count,chunk_required_count,chunk_total_count,objectives_json,pass_objective_count,pass_chunk_count,pass_min_dialogues,npc_name,npc_role,is_preview,ink_script_key,rewards_json
ch_be_01,我是谁,1,我是谁,基础①·自我介绍,L1,1,3,5,3,5,"[""用I am介绍自己"",""说出名字年龄国籍""]",2,3,2,Tutor,英语导师,true,practice_foundation-beginner_我是谁_第1课,"{""xp"":10}"
ch_be_01,我是谁,2,你是谁,基础①·自我介绍,L1,1,3,5,3,5,"[""用You are赞美询问"",""学会Are you?疑问句""]",2,3,2,Tutor,英语导师,false,practice_foundation-beginner_你是谁_第2课,"{""xp"":10}"
ch_be_02,描述事物,1,它是什么,基础①·描述事物,L1,1,3,5,3,5,"[""用It is描述事物"",""学颜色大小评价""]",2,3,2,Tutor,英语导师,false,practice_foundation-beginner_它是什么_第3课,"{""xp"":10}"
ch_be_02,描述事物,2,位置与方向,基础①·描述事物,L1,1,3,5,3,4,"[""用on/in/at说位置"",""学Where问句""]",2,3,2,Tutor,英语导师,false,practice_foundation-beginner_位置与方向_第4课,"{""xp"":10}"
ch_be_03,描述他人,1,他/她是谁,基础①·描述他人,L1,1,3,5,3,5,"[""用He/She is介绍他人"",""学职业关系外表""]",2,3,2,Tutor,英语导师,false,practice_foundation-beginner_他她是谁_第5课,"{""xp"":10}"
ch_be_03,描述他人,2,家庭关系,基础①·描述他人,L1,1,3,5,3,4,"[""掌握家庭称谓"",""用He/She is my...介绍家人""]",2,3,2,Tutor,英语导师,false,practice_foundation-beginner_家庭关系_第6课,"{""xp"":10}"
ch_be_04,日常寒暄,1,打招呼与告别,基础①·日常寒暄,L1,1,3,5,3,5,"[""掌握问候告别用语"",""学会礼貌表达""]",2,3,2,Tutor,英语导师,false,practice_foundation-beginner_打招呼告别_第7课,"{""xp"":10}"
ch_be_04,日常寒暄,2,简单闲聊,基础①·日常寒暄,L1,1,3,5,3,5,"[""掌握闲聊对话"",""学会How/Where/What问句""]",2,3,2,Tutor,英语导师,false,practice_foundation-beginner_简单闲聊_第8课,"{""xp"":10}"
ch_be_05,数字与时间,1,数字与时间,基础①·数字与时间,L1,1,3,5,2,3,"[""掌握数字1-20"",""学会问时间""]",2,2,2,Tutor,英语导师,false,practice_foundation-beginner_数字与时间_第9课,"{""xp"":10}"
ch_be_05,数字与时间,2,频率与日期,基础①·数字与时间,L1,1,3,5,2,3,"[""掌握频率词"",""学会日期和星期表达""]",2,2,2,Tutor,英语导师,false,practice_foundation-beginner_频率与日期_第10课,"{""xp"":10}"
ch_be_06,基本需求,1,我想要/我能,基础①·基本需求,L1,1,3,5,2,4,"[""用want/would like/need表达需求"",""用can表达能力""]",2,2,2,Tutor,英语导师,false,practice_foundation-beginner_基本需求_第11课,"{""xp"":10}"
ch_be_06,基本需求,2,身体感受与求助,基础①·基本需求,L1,1,3,5,2,4,"[""表达身体感受"",""学会请求帮助""]",2,2,2,Tutor,英语导师,false,practice_foundation-beginner_身体感受与求助_第12课,"{""xp"":10}"
