episode_chapter,episode_order,chunk_text_match,sort_order
found_foundation_daily_work_0,1,Good morning, everyone!,0
found_foundation_daily_work_0,1,How was your weekend?,1
found_foundation_daily_work_0,1,Let's start the meeting.,2
found_foundation_daily_work_0,1,I have a question.,3
found_foundation_daily_work_0,1,What do you think about this?,4
found_foundation_daily_work_0,1,I agree with your idea.,5
found_foundation_daily_work_0,1,Let me check my schedule.,6
found_foundation_daily_work_0,1,I'm available on Monday.,7
found_foundation_daily_work_0,1,Can we reschedule?,8
found_foundation_daily_work_0,1,I'll send you an email.,9
found_foundation_daily_work_0,1,Please review this document.,10
found_foundation_daily_work_0,1,Thank you for your help.,11
found_foundation_daily_work_0,1,I'll finish it by Friday.,12
found_foundation_daily_work_0,1,Let me know if you have questions.,13
found_foundation_daily_work_0,1,Great job on the project!,14
found_foundation_daily_work_0,2,What time is the meeting?,0
found_foundation_daily_work_0,2,The meeting is at 3 PM.,1
found_foundation_daily_work_0,2,Don't forget the appointment.,2
found_foundation_daily_work_0,2,I need to prepare a report.,3
found_foundation_daily_work_0,2,Can you help me with this?,4
found_foundation_daily_work_0,2,I'll be there on time.,5
found_foundation_daily_work_0,2,Please confirm your attendance.,6
found_foundation_daily_work_0,2,The deadline is next week.,7
found_foundation_daily_work_0,2,I need to work overtime today.,8
found_foundation_daily_work_0,2,Let me grab a coffee first.,9
found_foundation_daily_work_0,2,I'll print the documents.,10
found_foundation_daily_work_0,2,Please sign here.,11
found_foundation_daily_work_0,2,I'll file the report.,12
found_foundation_daily_work_0,2,Can I take a day off?,13
found_foundation_daily_work_0,2,Enjoy your lunch break!,14
