scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"旅行·机场出发",办理值机,passport,护照,noun,/ˈpæspɔːrt/,/ˈpɑːspɔːt/,L1,出国旅行最重要的证件。过安检和值机都需要。,"[{""en"":""Please show me your passport."",""zh"":""请出示您的护照。""}]",0
"旅行·机场出发",办理值机,boarding pass,登机牌,noun,/ˈbɔːrdɪŋ pæs/,/ˈbɔːdɪŋ pɑːs/,L1,登机牌上有登机口和座位号。手机电子版也可以。,"[{""en"":""Here is your boarding pass. Gate 15."",""zh"":""这是您的登机牌，15号登机口。""}]",1
"旅行·机场出发",办理值机,check in,值机,verb,/tʃek ɪn/,/tʃek ɪn/,L1,办理登机手续。online check in = 网上值机。,"[{""en"":""I'd like to check in for my flight."",""zh"":""我要办理值机。""}]",2
"旅行·机场出发",办理值机,window seat,靠窗座位,noun,/ˈwɪndoʊ siːt/,/ˈwɪndəʊ siːt/,L1,靠窗座位可以看风景。窗 = window, 过道 = aisle。,"[{""en"":""Do you prefer a window or aisle seat?"",""zh"":""您喜欢靠窗还是靠走道的座位？""}]",3
"旅行·机场出发",办理值机,aisle seat,靠走道座位,noun,/aɪl siːt/,/aɪl siːt/,L1,靠走道座位方便起身。上洗手间不用打扰邻座。,"[{""en"":""I prefer an aisle seat."",""zh"":""我更喜欢靠走道的座位。""}]",4
"旅行·机场出发",办理值机,carry-on,随身行李,noun,/ˈkæri ɑːn/,/ˈkæri ɒn/,L1,随身带上飞机的行李。注意液体限制(100ml)。,"[{""en"":""You can take one carry-on bag."",""zh"":""您可以带一件随身行李。""}]",5
"旅行·机场出发",办理值机,checked baggage,托运行李,noun,/tʃekt ˈbæɡɪdʒ/,/tʃekt ˈbæɡɪdʒ/,L1,放在飞机货舱的行李。超重要付额外费用。,"[{""en"":""Your checked baggage limit is 23 kg."",""zh"":""您的托运行李限额是23公斤。""}]",6
"旅行·机场出发",过安检,security check,安检,noun,/sɪˈkjʊrəti tʃek/,/sɪˈkjʊərəti tʃek/,L1,过安检需取出电子产品、脱外套、解腰带。,"[{""en"":""Please go through the security check."",""zh"":""请过安检。""}]",0
"旅行·机场出发",过安检,metal detector,金属探测门,noun,/ˈmetəl dɪˈtektər/,/ˈmetəl dɪˈtektə/,L2,安检门，口袋里的金属物品都会响。,"[{""en"":""Walk through the metal detector, please."",""zh"":""请通过金属探测门。""}]",1
"旅行·机场出发",过安检,laptop,笔记本电脑,noun,/ˈlæptɑːp/,/ˈlæptɒp/,L1,过安检时需从包里取出单独放一个托盘。,"[{""en"":""Please take your laptop out of the bag."",""zh"":""请把笔记本电脑从包里拿出来。""}]",2
