scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
常用英语500句,问候与寒暄,核心句块,"What's up?","你好/怎么啦？（打招呼）",L1,,"[{""en"":""What's up?"",""zh"":""你好/怎么啦？（打招呼）""}]"
常用英语500句,观点、同意与评价,核心句块,"I see.","我明白",L1,,"[{""en"":""I see."",""zh"":""我明白""}]"
常用英语500句,请求、指令与许可,核心句块,"Shut up.","闭嘴",L1,,"[{""en"":""Shut up."",""zh"":""闭嘴""}]"
常用英语500句,观点、同意与评价,核心句块,"Not bad.","还不错",L1,,"[{""en"":""Not bad."",""zh"":""还不错""}]"
常用英语500句,日常陈述与事务,核心句块,"I'll do my best.","我会尽全力",L2,,"[{""en"":""I'll do my best."",""zh"":""我会尽全力""}]"
常用英语500句,情绪与安慰,核心句块,"Take it easy.","放轻松",L1,,"[{""en"":""Take it easy."",""zh"":""放轻松""}]"
常用英语500句,日常陈述与事务,核心句块,"On my way.","我在路上了",L1,,"[{""en"":""On my way."",""zh"":""我在路上了""}]"
常用英语500句,疑问、澄清与确认,核心句块,"Are you serious?","你是认真的吗？",L1,,"[{""en"":""Are you serious?"",""zh"":""你是认真的吗？""}]"
常用英语500句,问候与寒暄,核心句块,"See you later.","待会见",L1,,"[{""en"":""See you later."",""zh"":""待会见""}]"
常用英语500句,感谢、道歉与祝福,核心句块,"Good job.","做的好",L1,,"[{""en"":""Good job."",""zh"":""做的好""}]"
常用英语500句,疑问、澄清与确认,核心句块,"What's going on?","怎么回事？",L1,,"[{""en"":""What's going on?"",""zh"":""怎么回事？""}]"
常用英语500句,日常陈述与事务,核心句块,"I promise.","我保证",L1,,"[{""en"":""I promise."",""zh"":""我保证""}]"
常用英语500句,日常陈述与事务,核心句块,"I can't breathe.","我无法呼吸",L1,,"[{""en"":""I can't breathe."",""zh"":""我无法呼吸""}]"
常用英语500句,观点、同意与评价,核心句块,"Absolutely.","肯定的",L1,,"[{""en"":""Absolutely."",""zh"":""肯定的""}]"
常用英语500句,观点、同意与评价,核心句块,"None of your business.","这不关你事",L2,,"[{""en"":""None of your business."",""zh"":""这不关你事""}]"
常用英语500句,日常陈述与事务,核心句块,"My turn.","轮到我了",L1,,"[{""en"":""My turn."",""zh"":""轮到我了""}]"
常用英语500句,疑问、澄清与确认,核心句块,"Who's turn?","该谁了？",L1,,"[{""en"":""Who's turn?"",""zh"":""该谁了？""}]"
常用英语500句,请求、指令与许可,核心句块,"Watch out.","当心",L1,,"[{""en"":""Watch out."",""zh"":""当心""}]"
常用英语500句,请求、指令与许可,核心句块,"Be careful.","小心",L1,,"[{""en"":""Be careful."",""zh"":""小心""}]"
常用英语500句,观点、同意与评价,核心句块,"Not yet.","还没",L1,,"[{""en"":""Not yet."",""zh"":""还没""}]"
常用英语500句,感谢、道歉与祝福,核心句块,"Congratulations.","恭喜",L1,,"[{""en"":""Congratulations."",""zh"":""恭喜""}]"
常用英语500句,请求、指令与许可,核心句块,"Trust me.","相信我",L1,,"[{""en"":""Trust me."",""zh"":""相信我""}]"
常用英语500句,感谢、道歉与祝福,核心句块,"Proud of you.","为你骄傲",L1,,"[{""en"":""Proud of you."",""zh"":""为你骄傲""}]"
常用英语500句,请求、指令与许可,核心句块,"Do me a favor.","帮我个忙",L2,,"[{""en"":""Do me a favor."",""zh"":""帮我个忙""}]"
常用英语500句,感谢、道歉与祝福,核心句块,"My fault.","我的错",L1,,"[{""en"":""My fault."",""zh"":""我的错""}]"
常用英语500句,观点、同意与评价,核心句块,"It's a big deal.","这是个大事",L2,,"[{""en"":""It's a big deal."",""zh"":""这是个大事""}]"
常用英语500句,问候与寒暄,核心句块,"How's it going!","最近怎么样",L1,,"[{""en"":""How's it going!"",""zh"":""最近怎么样""}]"
常用英语500句,疑问、澄清与确认,核心句块,"Are you kidding?","你在开玩笑吧？",L1,,"[{""en"":""Are you kidding?"",""zh"":""你在开玩笑吧？""}]"
常用英语500句,情绪与安慰,核心句块,"Unbelievable.","难以置信",L1,,"[{""en"":""Unbelievable."",""zh"":""难以置信""}]"
常用英语500句,观点、同意与评价,核心句块,"I hope so.","我希望如此",L1,,"[{""en"":""I hope so."",""zh"":""我希望如此""}]"
常用英语500句,情绪与安慰,核心句块,"I miss you.","我想你",L1,,"[{""en"":""I miss you."",""zh"":""我想你""}]"
常用英语500句,疑问、澄清与确认,核心句块,"What did I miss?","我错过什么啦？",L2,,"[{""en"":""What did I miss?"",""zh"":""我错过什么啦？""}]"
常用英语500句,问候与寒暄,核心句块,"Take care.","保重",L1,,"[{""en"":""Take care."",""zh"":""保重""}]"
常用英语500句,疑问、澄清与确认,核心句块,"What's your problem?","你有毛病吧？",L1,,"[{""en"":""What's your problem?"",""zh"":""你有毛病吧？""}]"
常用英语500句,情绪与安慰,核心句块,"I screwed up.","我搞砸了",L1,,"[{""en"":""I screwed up."",""zh"":""我搞砸了""}]"
常用英语500句,情绪与安慰,核心句块,"I'll make it up to you.","我会补偿你的",L2,,"[{""en"":""I'll make it up to you."",""zh"":""我会补偿你的""}]"
常用英语500句,请求、指令与许可,核心句块,"Leave me alone.","离我远点",L1,,"[{""en"":""Leave me alone."",""zh"":""离我远点""}]"
常用英语500句,情绪与安慰,核心句块,"Awesome.","太好了",L1,,"[{""en"":""Awesome."",""zh"":""太好了""}]"
常用英语500句,请求、指令与许可,核心句块,"Knock it off.","别闹了",L1,,"[{""en"":""Knock it off."",""zh"":""别闹了""}]"
常用英语500句,疑问、澄清与确认,核心句块,"Anything else?","还有什么",L1,,"[{""en"":""Anything else?"",""zh"":""还有什么""}]"
常用英语500句,观点、同意与评价,核心句块,"That's disgusting.","这太恶心了",L1,,"[{""en"":""That's disgusting."",""zh"":""这太恶心了""}]"
常用英语500句,请求、指令与许可,核心句块,"Out of my way.","给我让开",L2,,"[{""en"":""Out of my way."",""zh"":""给我让开""}]"
常用英语500句,观点、同意与评价,核心句块,"Who cares.","谁在乎呢",L1,,"[{""en"":""Who cares."",""zh"":""谁在乎呢""}]"
常用英语500句,观点、同意与评价,核心句块,"It doesn't make sense.","这没道理呀",L2,,"[{""en"":""It doesn't make sense."",""zh"":""这没道理呀""}]"
常用英语500句,观点、同意与评价,核心句块,"That's weird.","太奇怪了",L1,,"[{""en"":""That's weird."",""zh"":""太奇怪了""}]"
常用英语500句,观点、同意与评价,核心句块,"That's ridiculous.","这太荒唐了",L1,,"[{""en"":""That's ridiculous."",""zh"":""这太荒唐了""}]"
常用英语500句,观点、同意与评价,核心句块,"No wonder.","难怪",L1,,"[{""en"":""No wonder."",""zh"":""难怪""}]"
常用英语500句,观点、同意与评价,核心句块,"How dare you.","你敢",L1,,"[{""en"":""How dare you."",""zh"":""你敢""}]"
常用英语500句,情绪与安慰,核心句块,"Take your time.","别着急",L1,,"[{""en"":""Take your time."",""zh"":""别着急""}]"
常用英语500句,感谢、道歉与祝福,核心句块,"Way to go.","做得好",L1,,"[{""en"":""Way to go."",""zh"":""做得好""}]"
常用英语500句,观点、同意与评价,核心句块,"Me neither.","我也不会/我也没",L1,,"[{""en"":""Me neither."",""zh"":""我也不会/我也没""}]"
常用英语500句,惯用语与俚语,核心句块,"Mark my words.","记住我说的",L3,,"[{""en"":""Mark my words."",""zh"":""记住我说的""}]"
常用英语500句,观点、同意与评价,核心句块,"That would be great.","那太好了",L2,,"[{""en"":""That would be great."",""zh"":""那太好了""}]"
常用英语500句,惯用语与俚语,核心句块,"Full of shit.","胡说八道",L3,,"[{""en"":""Full of shit."",""zh"":""胡说八道""}]"
常用英语500句,观点、同意与评价,核心句块,"That depends.","那得看情况",L1,,"[{""en"":""That depends."",""zh"":""那得看情况""}]"
常用英语500句,感谢、道歉与祝福,核心句块,"I'm impressed.","我很佩服",L1,,"[{""en"":""I'm impressed."",""zh"":""我很佩服""}]"
常用英语500句,观点、同意与评价,核心句块,"Shame on you.","真不要脸",L1,,"[{""en"":""Shame on you."",""zh"":""真不要脸""}]"
常用英语500句,请求、指令与许可,核心句块,"Be my guest.","请自便",L1,,"[{""en"":""Be my guest."",""zh"":""请自便""}]"
常用英语500句,请求、指令与许可,核心句块,"Get out of here.","快离开这里",L2,,"[{""en"":""Get out of here."",""zh"":""快离开这里""}]"
常用英语500句,观点、同意与评价,核心句块,"That's true.","那是真的",L1,,"[{""en"":""That's true."",""zh"":""那是真的""}]"
常用英语500句,日常陈述与事务,核心句块,"You're fired.","你被炒了",L1,,"[{""en"":""You're fired."",""zh"":""你被炒了""}]"
常用英语500句,问候与寒暄,核心句块,"Speaking of which.","话说到这",L1,,"[{""en"":""Speaking of which."",""zh"":""话说到这""}]"
常用英语500句,请求、指令与许可,核心句块,"Settle down","安静",L1,,"[{""en"":""Settle down"",""zh"":""安静""}]"
常用英语500句,观点、同意与评价,核心句块,"No need","不用",L1,,"[{""en"":""No need"",""zh"":""不用""}]"
常用英语500句,惯用语与俚语,核心句块,"Bite me.","不用你管（你咬我啊）",L3,,"[{""en"":""Bite me."",""zh"":""不用你管（你咬我啊）""}]"
常用英语500句,问候与寒暄,核心句块,"I'll be right back.","我马上回来",L2,,"[{""en"":""I'll be right back."",""zh"":""我马上回来""}]"
常用英语500句,日常陈述与事务,核心句块,"As always.","一如既往",L1,,"[{""en"":""As always."",""zh"":""一如既往""}]"
常用英语500句,疑问、澄清与确认,核心句块,"Where were we?","我们说到哪了",L1,,"[{""en"":""Where were we?"",""zh"":""我们说到哪了""}]"
常用英语500句,情绪与安慰,核心句块,"Not again.","又来了",L1,,"[{""en"":""Not again."",""zh"":""又来了""}]"
常用英语500句,惯用语与俚语,核心句块,"Give me a break.","饶了我吧",L3,,"[{""en"":""Give me a break."",""zh"":""饶了我吧""}]"
常用英语500句,疑问、澄清与确认,核心句块,"What's the point?","有什么意义",L1,,"[{""en"":""What's the point?"",""zh"":""有什么意义""}]"
常用英语500句,日常陈述与事务,核心句块,"Went well.","进展顺利",L1,,"[{""en"":""Went well."",""zh"":""进展顺利""}]"
常用英语500句,情绪与安慰,核心句块,"Don't panic.","别慌",L1,,"[{""en"":""Don't panic."",""zh"":""别慌""}]"
常用英语500句,请求、指令与许可,核心句块,"Sit tight.","坐着别动",L1,,"[{""en"":""Sit tight."",""zh"":""坐着别动""}]"
常用英语500句,观点、同意与评价,核心句块,"Gotcha.","明白了",L1,,"[{""en"":""Gotcha."",""zh"":""明白了""}]"
常用英语500句,疑问、澄清与确认,核心句块,"What are you waiting for?","你在等什么呢？",L2,,"[{""en"":""What are you waiting for?"",""zh"":""你在等什么呢？""}]"
常用英语500句,疑问、澄清与确认,核心句块,"Who told you?","谁告诉你的",L1,,"[{""en"":""Who told you?"",""zh"":""谁告诉你的""}]"
常用英语500句,感谢、道歉与祝福,核心句块,"That's so sweet","太贴心了",L1,,"[{""en"":""That's so sweet"",""zh"":""太贴心了""}]"
常用英语500句,观点、同意与评价,核心句块,"Whatever you say.","随便你怎么说",L1,,"[{""en"":""Whatever you say."",""zh"":""随便你怎么说""}]"
常用英语500句,观点、同意与评价,核心句块,"Don't get me wrong.","别误会我",L2,,"[{""en"":""Don't get me wrong."",""zh"":""别误会我""}]"
常用英语500句,观点、同意与评价,核心句块,"You bet.","当然、一定",L1,,"[{""en"":""You bet."",""zh"":""当然、一定""}]"
常用英语500句,情绪与安慰,核心句块,"That's the spirit.","这样才对嘛",L1,,"[{""en"":""That's the spirit."",""zh"":""这样才对嘛""}]"
常用英语500句,疑问、澄清与确认,核心句块,"I beg your pardon.","你能再说一遍吗",L2,,"[{""en"":""I beg your pardon."",""zh"":""你能再说一遍吗""}]"
