scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
副词精练,频率与程度,频率与程度,I always... / I never...,我总是.../我从不...,L1,频率副词的基本句式。,"[{""en"":""I always have breakfast."",""zh"":""我总是吃早餐。""}]"
副词精练,频率与程度,频率与程度,It's quite... / It's very...,它相当.../它很...,L1,程度副词+形容词。,"[{""en"":""It's quite cold today."",""zh"":""今天相当冷。""}]"
副词精练,方式与评论,方式与评论,Please... carefully.,请仔细地...,L1,方式副词修饰动作。,"[{""en"":""Please drive carefully."",""zh"":""请小心驾驶。""}]"
副词精练,方式与评论,方式与评论,Luckily... / Frankly...,幸运的是.../坦诚说...,L2,评论副词修饰全句。,"[{""en"":""Luckily I brought my umbrella."",""zh"":""幸运的是我带了伞。""}]"
时间表达,时间介词,时间介词,The meeting is on...,会议在(某天),L1,on+具体日期/星期。,"[{""en"":""The meeting is on Monday."",""zh"":""会议在周一。""}]"
时间表达,时间介词,时间介词,I was born in...,我出生在(年月),L1,in+月份/年份。,"[{""en"":""I was born in March."",""zh"":""我出生在三月。""}]"
时间表达,时间介词,时间介词,The class starts at...,课程在(时间)开始,L1,at+具体钟表时间。,"[{""en"":""The class starts at 9."",""zh"":""课程在9点开始。""}]"
时间表达,时间连词与顺序,时间连词与顺序,Before I..., I...,在...之前我...,L1,before引导时间从句。,"[{""en"":""Before I sleep I read a book."",""zh"":""睡觉前我读一本书。""}]"
时间表达,时间连词与顺序,时间连词与顺序,After I..., I...,在...之后我...,L1,after引导时间从句。,"[{""en"":""After I eat dinner I watch TV."",""zh"":""吃完晚饭后我看电视。""}]"
时间表达,时间连词与顺序,时间连词与顺序,While I was..., I...,当我在...时我...,L2,while引导时间从句。,"[{""en"":""While I was cooking I listened to music."",""zh"":""我做饭时听音乐。""}]"
方位与指路,方位介词,方位介词,The... is in/on/at the...,...在...,L1,方位介词基本句式。,"[{""en"":""The cat is on the sofa."",""zh"":""猫在沙发上。""}]"
方位与指路,方位介词,方位介词,The... is next to / between...,...在...旁边/之间,L1,相对位置表达。,"[{""en"":""The bank is next to the hotel."",""zh"":""银行在酒店旁边。""}]"
方位与指路,指路表达,指路表达,Go straight until...,直走直到...,L1,直走指令。,"[{""en"":""Go straight until you see the station."",""zh"":""直走直到你看到车站。""}]"
方位与指路,指路表达,指路表达,Turn left / right at...,在...左转/右转,L1,转弯指令。,"[{""en"":""Turn left at the traffic lights."",""zh"":""在红绿灯处左转。""}]"
方位与指路,指路表达,指路表达,It's on the corner / opposite...,它在转角/在...对面,L1,地标位置描述。,"[{""en"":""It's opposite the supermarket."",""zh"":""它在超市对面。""}]"
