scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
"副词·频率副词",频率副词,频率副词,He frequently travels abroad for work.,他因公频繁出国。,L2,用frequently表达70%频率。,"[{""en"":""She frequently visits her hometown."",""zh"":""她经常回老家。""}]"
"副词·频率副词",频率副词,频率副词,I regularly go to the gym after work.,我下班后定期去健身房。,L2,用regularly表达规律性。,"[{""en"":""I regularly check my email."",""zh"":""我定期查看邮件。""}]"
"副词·频率副词",频率副词,频率副词,We occasionally grab coffee together.,我们偶尔一起喝咖啡。,L2,用occasionally表达30%频率。,"[{""en"":""We occasionally go hiking on weekends."",""zh"":""我们偶尔周末去徒步。""}]"
"副词·频率副词",频率副词,频率副词,She rarely complains about anything.,她很少抱怨什么。,L2,用rarely表达10%频率。,"[{""en"":""He rarely eats junk food."",""zh"":""他很少吃垃圾食品。""}]"
"副词·频率副词",频率副词,频率副词,He seldom watches TV these days.,他最近很少看电视。,L2,用seldom表达不常。,"[{""en"":""I seldom go to the cinema."",""zh"":""我很少去电影院。""}]"
"副词·频率副词",频率副词,频率副词,I hardly ever drink soda.,我几乎从不喝碳酸饮料。,L2,用hardly ever表达5%频率。,"[{""en"":""She hardly ever eats dessert."",""zh"":""她几乎从不吃甜点。""}]"
"副词·频率副词",频率副词,频率副词,They've recently started learning Chinese.,他们最近开始学中文了。,L2,用recently表达近期开始。,"[{""en"":""I recently moved to a new apartment."",""zh"":""我最近搬了新公寓。""}]"
"副词·程度副词",程度副词,程度副词,The scenery here is extremely beautiful.,这里的景色极其美丽。,L2,用extremely强调最高程度。,"[{""en"":""It's extremely cold in winter."",""zh"":""冬天极其冷。""}]"
"副词·程度副词",程度副词,程度副词,It's rather cold today — you should bring a coat.,今天挺冷——你该带件外套。,L2,用rather表达颇/挺。,"[{""en"":""She's rather quiet at parties."",""zh"":""她聚会上挺安静的。""}]"
"副词·程度副词",程度副词,程度副词,That's a pretty good idea!,这主意挺不错的！,L2,用pretty表达相当(口语)。,"[{""en"":""The movie was pretty funny."",""zh"":""电影挺搞笑的。""}]"
"副词·程度副词",程度副词,程度副词,The test was fairly easy.,考试还算简单。,L2,用fairly表达还算。,"[{""en"":""The hotel was fairly cheap."",""zh"":""酒店还算便宜。""}]"
"副词·程度副词",程度副词,程度副词,I'm almost done with the project.,我项目快做完了。,L2,用almost表达几乎完成。,"[{""en"":""We're almost there."",""zh"":""我们快到了。""}]"
"副词·程度副词",程度副词,程度副词,It's nearly midnight — time to go to bed.,快半夜了——该睡觉了。,L2,用nearly表达几乎。,"[{""en"":""I've nearly finished reading this book."",""zh"":""我快读完这本书了。""}]"
