scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
"雅思·IELTS Band 6 基础",家乡与住所,家乡与住所,My hometown is a...,我的家乡是一个...,L1,描述家乡类型的开头。small city / big town / coastal city。,"[{""en"":""My hometown is a small city in southern China."",""zh"":""我的家乡是中国南部的一个小城市。""}]"
"雅思·IELTS Band 6 基础",家乡与住所,家乡与住所,I live in a...,我住在...,L1,描述住所类型的标准开头。a flat / a house / a dorm。,"[{""en"":""I live in a comfortable flat near the city center."",""zh"":""我住在市中心附近一个舒适的公寓里。""}]"
"雅思·IELTS Band 6 基础",家乡与住所,家乡与住所,It's famous for...,它以...闻名,L1,描述家乡特色。famous for its food / scenery / culture。,"[{""en"":""It's famous for its local cuisine."",""zh"":""它以当地美食闻名。""}]"
"雅思·IELTS Band 6 基础",学习与工作,学习与工作,I'm studying... at...,我在...学习...,L1,描述学习的地点和专业。,"[{""en"":""I'm studying Business Administration at Beijing University."",""zh"":""我在北京大学学习工商管理。""}]"
"雅思·IELTS Band 6 基础",学习与工作,学习与工作,I work as a...,我是一名...,L1,描述职业。a teacher / an engineer / a designer。,"[{""en"":""I work as a software engineer."",""zh"":""我是一名软件工程师。""}]"
"雅思·IELTS Band 6 基础",学习与工作,学习与工作,I chose this because...,我选择这个是因为...,L2,解释选择的原因。表达动机。,"[{""en"":""I chose this major because I'm interested in technology."",""zh"":""我选择这个专业是因为我对科技感兴趣。""}]"
"雅思·IELTS Band 6.5 发展",兴趣爱好,兴趣爱好,In my free time I like to...,空闲时我喜欢...,L1,描述业余爱好的标准句型。,"[{""en"":""In my free time, I like to read and take photos."",""zh"":""空闲时我喜欢阅读和拍照。""}]"
"雅思·IELTS Band 6.5 发展",兴趣爱好,兴趣爱好,I got into... when I was...,我开始...是在我...的时候,L2,描述爱好如何开始。I got into photography when I was 15。,"[{""en"":""I got into photography when I was 15."",""zh"":""我从15岁开始喜欢摄影。""}]"
"雅思·IELTS Band 6.5 发展",兴趣爱好,兴趣爱好,It helps me relax after a long day.,它帮助我在一天劳累后放松。,L2,描述爱好带来的好处。,"[{""en"":""Playing the guitar helps me relax."",""zh"":""弹吉他能让我放松。""}]"
"雅思·IELTS Band 6.5 发展",交通出行,交通出行,I usually take... to...,我通常乘...去...,L1,描述交通方式。take the bus / take the subway / ride a bike。,"[{""en"":""I usually take the subway to work."",""zh"":""我通常乘地铁上班。""}]"
"雅思·IELTS Band 6.5 发展",交通出行,交通出行,The traffic in my city is...,我所在城市的交通...,L2,描述交通状况。crowded / convenient / terrible。,"[{""en"":""The traffic in my city is quite convenient."",""zh"":""我所在城市的交通很便利。""}]"
"雅思·IELTS Band 6.5 发展",交通出行,交通出行,I prefer... because...,我更喜欢...因为...,L2,表达偏好并说明理由。,"[{""en"":""I prefer taking the subway because it's faster."",""zh"":""我更喜欢坐地铁因为它更快。""}]"
"雅思·IELTS Band 7 良好",推荐旅游地,推荐旅游地,The place I'd like to recommend is...,我想推荐的地方是...,L3,P2独白开场句。,"[{""en"":""The place I'd like to recommend is a small town in Yunnan."",""zh"":""我想推荐的地方是云南的一个小镇。""}]"
"雅思·IELTS Band 7 良好",推荐旅游地,推荐旅游地,It's located in...,它位于...,L2,描述地点位置。,"[{""en"":""It's located in the mountains of central Japan."",""zh"":""它位于日本中部的山区。""}]"
"雅思·IELTS Band 7 良好",推荐旅游地,推荐旅游地,I would recommend it because...,我推荐它的原因是...,L2,说明推荐理由。,"[{""en"":""I would recommend it because the scenery is breathtaking."",""zh"":""我推荐它因为那里的景色令人叹为观止。""}]"
"雅思·IELTS Band 7 良好",城市发展,城市发展,Tourism brings both benefits and drawbacks.,旅游既有好处也有坏处。,L3,P3讨论辩证开场句。,"[{""en"":""Tourism brings both economic benefits and environmental drawbacks."",""zh"":""旅游既带来经济效益也带来环境问题。""}]"
"雅思·IELTS Band 7 良好",城市发展,城市发展,One solution is to...,一个解决方案是...,L3,提出解决方案。,"[{""en"":""One solution is to limit the number of daily visitors."",""zh"":""一个解决方案是限制每日游客数量。""}]"
"雅思·IELTS Band 7 良好",城市发展,城市发展,The government should...,政府应该...,L2,表达建议。,"[{""en"":""The government should invest in sustainable tourism."",""zh"":""政府应该投资可持续旅游。""}]"
"雅思·IELTS Band 7.5 优良",印象深刻的人,印象深刻的人,The person I'd like to describe is...,我想描述的人是...,L3,P2人物描述开场句。,"[{""en"":""The person I'd like to describe is my former teacher."",""zh"":""我想描述的人是我以前的老师。""}]"
"雅思·IELTS Band 7.5 优良",印象深刻的人,印象深刻的人,What impressed me most was...,让我印象最深的是...,L3,描述最突出的印象。,"[{""en"":""What impressed me most was his patience and kindness."",""zh"":""让我印象最深的是他的耐心和善良。""}]"
"雅思·IELTS Band 7.5 优良",印象深刻的人,印象深刻的人,We first met when...,我们第一次见面是在...,L2,描述认识的时间和场合。,"[{""en"":""We first met when I joined the university art club."",""zh"":""我们第一次见面是在我加入大学艺术社的时候。""}]"
"雅思·IELTS Band 7.5 优良",科技与社交,科技与社交,Technology has changed the way we...,科技改变了我们...的方式,L3,P3论述开场句。,"[{""en"":""Technology has changed the way we communicate."",""zh"":""科技改变了我们的沟通方式。""}]"
"雅思·IELTS Band 7.5 优良",科技与社交,科技与社交,On the one hand... on the other hand...,一方面...另一方面...,L3,对比论证结构。,"[{""en"":""On the one hand it's convenient. On the other hand it reduces face-to-face interaction."",""zh"":""一方面它很方便，另一方面它减少了面对面交流。""}]"
"雅思·IELTS Band 7.5 优良",科技与社交,科技与社交,In my opinion...,在我看来...,L2,表达观点。,"[{""en"":""In my opinion, social media has both positive and negative effects."",""zh"":""在我看来，社交媒体有正面也有负面影响。""}]"
"雅思·IELTS Band 8 优秀",难忘的经历,难忘的经历,One of the most memorable experiences I've had was...,我最难忘的经历之一是...,L4,P2经历描述开场句。,"[{""en"":""One of the most memorable experiences I've had was volunteering abroad."",""zh"":""我最难忘的经历之一是在海外做志愿者。""}]"
"雅思·IELTS Band 8 优秀",难忘的经历,难忘的经历,This experience taught me that...,这段经历让我明白了...,L4,表达从经历中获得的感悟。,"[{""en"":""This experience taught me that stepping out of my comfort zone is rewarding."",""zh"":""这段经历让我明白走出舒适区是有回报的。""}]"
"雅思·IELTS Band 8 优秀",难忘的经历,难忘的经历,Looking back I feel...,回想起来我觉得...,L3,回顾感受。,"[{""en"":""Looking back, I feel grateful for that opportunity."",""zh"":""回想起来，我很感激那次机会。""}]"
"雅思·IELTS Band 8 优秀",教育与社会,教育与社会,The role of education is to...,教育的作用是...,L4,P3论述开场句。,"[{""en"":""The role of education is to prepare students for the real world."",""zh"":""教育的作用是让学生为现实世界做好准备。""}]"
"雅思·IELTS Band 8 优秀",教育与社会,教育与社会,Traditional education focuses on...,传统教育注重...,L3,描述教育方式。,"[{""en"":""Traditional education focuses on exams and memorization."",""zh"":""传统教育注重考试和记忆。""}]"
"雅思·IELTS Band 8 优秀",教育与社会,教育与社会,I believe that...,我认为...,L1,表达个人观点。,"[{""en"":""I believe that education should encourage critical thinking."",""zh"":""我认为教育应该鼓励批判性思维。""}]"
"雅思·IELTS Band 8.5 卓越",理想的改变,理想的改变,The change I'd like to see is...,我希望看到的改变是...,L4,P2抽象话题开场句。,"[{""en"":""The change I'd like to see is greater environmental awareness."",""zh"":""我希望看到的改变是更强的环保意识。""}]"
"雅思·IELTS Band 8.5 卓越",理想的改变,理想的改变,If I could change one thing...,如果我能改变一件事...,L4,表达理想和愿景。,"[{""en"":""If I could change one thing, it would be how we treat our planet."",""zh"":""如果我能改变一件事，那就是我们对待地球的方式。""}]"
"雅思·IELTS Band 8.5 卓越",理想的改变,理想的改变,This matters because...,这很重要因为...,L3,说明重要性。,"[{""en"":""This matters because we only have one planet."",""zh"":""这很重要因为我们只有一个地球。""}]"
"雅思·IELTS Band 8.5 卓越",全球化与文化,全球化与文化,Globalization has led to...,全球化导致了...,L4,P3论述开场句。,"[{""en"":""Globalization has led to greater cultural exchange."",""zh"":""全球化导致了更多的文化交流。""}]"
"雅思·IELTS Band 8.5 卓越",全球化与文化,全球化与文化,While globalization brings..., while it also...,全球化带来了...同时也...,L4,复杂对比句式。,"[{""en"":""While globalization brings economic growth, it also risks cultural homogenization."",""zh"":""全球化带来经济增长的同时也有文化同质化的风险。""}]"
"雅思·IELTS Band 8.5 卓越",全球化与文化,全球化与文化,It's important to strike a balance between...,平衡...很重要,L4,表达平衡观点。,"[{""en"":""It's important to strike a balance between development and tradition."",""zh"":""在发展与传统之间取得平衡很重要。""}]"
