scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,teaching_markdown_file,ink_script_key
口语万能造句：50 个高频句式,01 介绍自己与近况,You have just met someone at a casual event. Introduce yourself and share one thing about your current life.,你在一个轻松的活动上认识了新朋友。介绍自己，并聊一件你最近的事。,60,L1,用最短的句子介绍身份、兴趣与最近状态。,身份介绍；兴趣表达；现在进行时,01 介绍自己与近况.md,
口语万能造句：50 个高频句式,02 日常计划与待办,Talk about what you need to do today and one plan you are considering.,说说你今天要做的事，以及一个你正在考虑的计划。,60,L1,把“必须做”“准备做”“考虑做”说清楚。,need to；going to；thinking of,02 日常计划与待办.md,
口语万能造句：50 个高频句式,03 想做与不想做,"A friend asks what you want to do tonight. Say what you would like, feel like, or do not feel like doing.",朋友问你今晚想做什么。说说你想做、想吃或不太想做的事。,60,L1,自然表达偏好、心情和临时想法。,would like to；feel like；don’t feel like,03 想做与不想做.md,
口语万能造句：50 个高频句式,04 礼貌请求,You are in a café or shop. Ask for something politely and ask another person for a small favor.,你在咖啡店或商店里。礼貌地索取物品，并向别人请求一个小帮助。,75,L1,练习日常最常用的点单、询问和请人帮忙。,Can I；Could you；Could I have；Would you mind,04 礼貌请求.md,
口语万能造句：50 个高频句式,05 主动帮忙与回应,Your friend is carrying many bags and seems busy. Offer help in two natural ways.,朋友拿着很多东西，看起来很忙。用两种自然的方式主动帮忙。,60,L1,不用太正式，也能让帮助听起来贴心自然。,Let me；Do you want me to；Can I help you with,05 主动帮忙与回应.md,
口语万能造句：50 个高频句式,06 聊兴趣与经历,"Ask a new friend about a movie, a hobby, and something they have experienced before.",向新朋友聊一部电影、一个爱好，以及他们以前是否有过某种经历。,75,L1,用开放问题把闲聊接下去。,What do you think；How do you feel；Have you ever；Are you up for,06 聊兴趣与经历.md,
口语万能造句：50 个高频句式,07 发出邀请与约时间,Invite a friend to do something this weekend and check when they are available.,邀请朋友这周末一起做件事，并确认他们什么时候有空。,60,L1,用自然、不强迫的方式约人。,Do you want to；Why don’t we；Are you free,07 发出邀请与约时间.md,
口语万能造句：50 个高频句式,08 听不懂时怎么问,You did not understand part of a conversation. Ask for clarification without sounding awkward.,你没有听懂对话的一部分。自然地请对方解释或重复。,60,L1,不懂时及时确认，避免假装听懂。,What do you mean；I’m not sure if；Could you say that again,08 听不懂时怎么问.md,
口语万能造句：50 个高频句式,09 表示同意与保留意见,Discuss where to eat with a friend. Agree with one idea and politely disagree with another.,和朋友讨论去哪儿吃饭。同意一个建议，也礼貌地表达一个不同意见。,75,L1,学会给观点留空间，不把表达说死。,I agree；I see what you mean；It depends on,09 表示同意与保留意见.md,
口语万能造句：50 个高频句式,10 自然反应与共情,"Your friend tells you good news, surprising news, and a small problem. Respond naturally to each.",朋友告诉你一个好消息、一个让人意外的消息和一个小麻烦。分别自然回应。,60,L1,用短句快速表达惊喜、开心和抱歉。,That sounds；I can’t believe；I’m glad,10 自然反应与共情.md,
口语万能造句：50 个高频句式,11 生活小故障,Your phone or app is not working and you cannot find an important item. Explain the problem and ask what to do.,你的手机或应用不好用，也找不到一个重要物品。说明问题并询问怎么解决。,75,L1,覆盖设备、出行、住宿中高频的故障说明。,Something’s wrong with；isn’t working；can’t find,11 生活小故障.md,
口语万能造句：50 个高频句式,12 工作学习进度,"Tell a classmate what you are working on, what is difficult, and what you have already finished.",告诉同学你正在做什么、哪里有困难，以及已经完成了什么。,75,L1,把进度、困难和责任讲得简洁准确。,working on；having trouble；supposed to；done with,12 工作学习进度.md,
口语万能造句：50 个高频句式,13 聊过去经历,"Talk about a habit you had before, something you just did, and something you have never tried.",聊聊你以前的一个习惯、刚刚做完的事，以及从没尝试过的事。,75,L1,用三个高频骨架把过去和现在连起来。,used to；have just；have never,13 聊过去经历.md,
口语万能造句：50 个高频句式,14 期待与不确定的未来,"Talk about a coming plan. Say what you are looking forward to, what you cannot wait to do, and what might happen.",聊聊即将到来的计划。说说你期待什么、迫不及待想做什么，以及可能发生什么。,75,L1,既能表达期待，也能保留不确定性。,looking forward to；can’t wait；will probably；might,14 期待与不确定的未来.md,
口语万能造句：50 个高频句式,15 给建议与找解决办法,"A friend is stressed about a problem. Give one direct suggestion, one softer suggestion, and ask about a possible solution.",朋友正为一个问题烦恼。给一个直接建议、一个更委婉的建议，并一起问问有什么解决方式。,90,L1,区分直接建议、委婉建议和一起找办法。,should；How about；If I were you；Is there a way to,15 给建议与找解决办法.md,
