scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
见面与寒暄,打招呼,Good ___.,问候句型,morning / afternoon / evening,Good morning.,L1,
见面与寒暄,询问近况,How are you? — I'm ___.,询问近况,fine / good / okay / great,"I'm fine, thanks.",L1,1
见面与寒暄,感谢与告别,See you ___.,告别句型,later / tomorrow / soon,See you later.,L1,2
见面与寒暄,感谢与告别,Have a ___ day/evening.,祝愿句型,nice / good / great,Have a nice day.,L1,3
介绍自己,姓名,My name is ___.,介绍姓名,Lin / Mia / Alex,My name is Lin.,L1,4
介绍自己,身份与来源,I'm a/an ___.,说明身份,student / teacher / beginner,I'm a student.,L1,5
介绍自己,身份与来源,I'm from ___.,说明来源,China / Beijing / this city,I'm from China.,L1,6
介绍自己,年龄与当前状态,I'm ___ years old.,说明年龄,18 / 20 / 25,I'm twenty years old.,L1,7
介绍自己,年龄与当前状态,I'm ___. / I'm not ___.,表达状态,ready / new / sure,I'm not ready.,L1,8
认识新朋友,询问姓名与来源,What's your ___?,询问信息,name,What's your name?,L1,9
认识新朋友,询问姓名与来源,Where are you from? — I'm from ___.,询问来源,China / a small town,I'm from China.,L1,10
认识新朋友,确认身份,"Are you ___? — Yes, I am. / No, I'm not.",确认身份,new / ready / a student,Are you new here?,L1,11
认识新朋友,初次见面回应,This is my ___.,介绍他人,friend / classmate / teacher,This is my friend.,L1,12
身边的物品,这是什么,What's this/that? — It's a ___.,询问物品,key / phone / book / bag,It's a key.,L1,13
身边的物品,这是什么,This/That is my ___.,说明物品,phone / book / bag,This is my phone.,L1,14
身边的物品,谁的东西,Is this/that your ___?,确认归属,bag / key / card,Is this your bag?,L1,15
身边的物品,谁的东西,"Yes, it is. / No, it isn't.",简短回答,—,"No, it isn't.",L1,16
身边的物品,特征与判断,It's ___ and ___.,特征描述,small blue / big red / new black,It's small and blue.,L1,17
