scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,ink_script_key
校园·图书馆借书,借书,Ask the librarian how to borrow a book.,问图书管理员如何借书。,35,L1,询问借书流程、需要什么证件、最多借几本。,借书流程 借书证,practice_daily-campus_校园_图书馆借书_借书
校园·图书馆借书,续借与归还,Renew your borrowed books at the library.,在图书馆续借已借的书。,35,L1,说明要续借哪本书、确认新到期日、咨询逾期费。,续借 归还 逾期费,practice_daily-campus_校园_图书馆借书_续借与归还
校园·图书馆借书,查找资料,Ask the librarian how to find a book or journal.,问图书管理员怎么找到一本书或期刊。,40,L2,用电脑查书、按索书号找书架、问参考书位置。,查书 索书号 期刊,practice_daily-campus_校园_图书馆借书_查找资料
校园·社团活动,咨询社团信息,Ask a club member about their activities.,向社团成员了解他们的活动和会议信息。,35,L1,问社团类型、活动频率、是否需要面试。,社团类型 活动时间,practice_daily-campus_校园_社团活动_咨询社团信息
校园·社团活动,报名加入,Tell the club leader you'd like to join.,告诉社团负责人你想加入。,35,L1,表达兴趣、填报名表、咨询会费。,报名 入社 会费,practice_daily-campus_校园_社团活动_报名加入
校园·社团活动,参加社团活动,Ask about the next club meeting or event.,询问下次社团活动的时间和安排。,35,L1,问活动时间地点、需要准备什么、能否带朋友。,活动安排 准备事项,practice_daily-campus_校园_社团活动_参加社团活动
校园·食堂就餐,点餐,Order your meal at the university cafeteria.,在食堂点餐。,30,L1,选择菜品、告诉工作人员份量、付款。,点餐 份量 结算,practice_daily-campus_校园_食堂就餐_点餐
校园·食堂就餐,询问菜品,Ask about the ingredients or today's special.,询问菜品的成分或今日特供。,30,L1,问是什么菜、有什么食材、有没有推荐。,菜品成分 今日特供,practice_daily-campus_校园_食堂就餐_询问菜品
校园·食堂就餐,餐卡充值,Recharge your meal card at the cafeteria counter.,在食堂柜台充值餐卡。,30,L1,说充多少金额、确认余额、问充值方式。,餐卡 充值 余额,practice_daily-campus_校园_食堂就餐_餐卡充值
校园·选课咨询,咨询课程,Ask a teacher or senior about a course's content.,向老师或学长咨询课程内容。,45,L2,问课程内容、考核方式、推荐选修。,课程内容 学分 考核,practice_daily-campus_校园_选课咨询_咨询课程
校园·选课咨询,选课操作,Ask the academic office how to select courses online.,问教务处如何在网上选课。,40,L2,问选课系统怎么操作、选课时间、名额限制。,选课系统 选课时间,practice_daily-campus_校园_选课咨询_选课操作
校园·选课咨询,退课调整,Ask how to drop or change a course.,问如何退课或调整课程。,40,L2,说明想退哪门课、问退课截止日期、替代课程。,退课 课程调整 截止日期,practice_daily-campus_校园_选课咨询_退课调整
