scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
基础⑨·比较事物,单音节比较级,___ is ___er than ___.,这本书比那本大。,big / that / tall / him / fast / me / small / this,This book is bigger than that one.,L2,0
基础⑨·比较事物,单音节比较级,She is ___er than ___.,她比她弟弟高。,tall / her brother / smart / me / young / him / kind / her,She is taller than her brother.,L2,1
基础⑨·比较事物,多音节比较级,___ is more ___ than ___.,这部手机比那部贵。,this phone / expensive / that one / this book / interesting / that one,This phone is more expensive than that one.,L2,2
基础⑨·比较事物,最高级,___ is the ___est ___.,这是我见过的最大的蛋糕。,this / big / cake / she / smart / student / he / tall / boy,This is the biggest cake I have ever seen.,L2,3
基础⑨·比较事物,最高级,She is the ___est ___ in ___.,她是班上最聪明的学生。,smart / student / the class / young / girl / our group / kind / person / the office,She is the smartest student in the class.,L2,4
基础⑨·比较事物,最高级,This is the most ___ ___.,用于“最高级”的核心句型。,beautiful / place / interesting / book / expensive / item / delicious / dish,This is the most beautiful place.,L2,5
基础⑨·比较事物,不规则比较级,___ is better than ___.,这家餐厅比那家好。,this restaurant / that one / today / yesterday / this / that,This restaurant is better than that one.,L2,6
基础⑨·比较事物,,"The ___, the ___.",越快越好。,faster / better / sooner / better / more / merrier / cheaper / better / earlier / easier,"The faster, the better.",L2,7
基础⑨·比较级进阶,,There is a ___ on/in the ___.,桌子上有一本书。,book / desk / cat / sofa / lamp / nightstand / photo / wall,There is a book on the desk.,L2,8
基础⑨·比较级进阶,,There are ___ in the ___.,房间里有三个人。,three people / room / five books / bag / many students / classroom,There are three people in the room.,L2,9
基础⑨·比较级进阶,,Is there a ___ near here?,用于“基础⑨·比较级进阶”的核心句型。,bank / restaurant / hospital / park / supermarket / ATM,Is there a bank near here?,L2,10
基础⑨·比较级进阶,,There isn't any ___ left.,没有牛奶了。,milk / bread / time / money / rice / juice,There isn't any milk left.,L2,11
基础⑨·比较级进阶,,___ is under/next to/between ___.,猫在桌子下面。,the cat / under / the table / the bank / next to / the post office,The cat is under the table.,L2,12
基础⑨·比较级进阶,,Go straight and turn ___ at ___.,直走，在拐角处左转。,left / the corner / right / the traffic light / left / the second corner,Go straight and turn left at the corner.,L2,13
基础⑨·比较级进阶,,___ is across from ___.,医院在车站对面。,the hospital / the station / my office / the mall / the bus stop / the bank,The hospital is across from the station.,L2,14
基础⑨·程度表达,as...as 同级比较,___ is as ___ as ___.,她和她姐姐一样高。,she / tall / her sister / he / smart / you / it / fast / a car,She is as tall as her sister.,L2,15
基础⑨·程度表达,not as...as 不如,___ is not as ___ as ___.,这辆车不如那辆贵。,this car / expensive / that one / today / cold / yesterday / he / tall / me,This car is not as expensive as that one.,L2,16
基础⑨·程度表达,,I have as many ___ as ___.,我的书和你一样多。,books / you / friends / him / ideas / her / problems / them,I have as many books as you.,L2,17
基础⑨·程度表达,too 太…不能,This ___ is too ___.,用于“too 太…不能”的核心句型。,bag / heavy / coffee / hot / room / noisy / price / high / shirt / small,This bag is too heavy.,L2,18
基础⑨·程度表达,enough 足够,___ is ___ enough for ___.,这个房间够大，能容纳十个人。,the room / big / ten people / the water / warm / swimming / he / old / driving,The room is big enough for ten people.,L2,19
基础⑨·程度表达,方式副词,Please ___ slowly/carefully.,用于“方式副词”的核心句型。,speak / walk / drive / eat / write / move / read,Please speak slowly.,L2,20
基础⑨·程度表达,方式副词,He/She ___ very well.,她英语说得非常好。,speaks English / sings / dances / plays / cooks / draws / writes / teaches,She speaks English very well.,L2,21
基础⑨·偏好与推荐,偏好表达,"Which do you like more, ___ or ___? — I like ___ better.",用于“偏好表达”的核心句型。,the red one / the blue one / tea or coffee / summer or winter,"Which do you like more, the red one or the blue one?",L2,22
基础⑨·偏好与推荐,偏好表达,I prefer ___. It's ___er and ___.,用于“偏好表达”的核心句型。,this restaurant / cheaper / better / this phone / lighter / faster / this jacket / warmer / nicer,I prefer this restaurant. It's cheaper and better.,L2,23
基础⑨·偏好与推荐,偏好表达,This one is more ___ than that one.,用于“偏好表达”的核心句型。,comfortable / beautiful / useful / interesting / suitable / practical,This one is more comfortable than that one.,L2,24
基础⑨·偏好与推荐,二选一比较,"Between ___ and ___, which is ___?",用于“二选一比较”的核心句型。,the bus and the subway / faster / this one and that one / better / walking and biking / easier,"Between these two, which is faster?",L2,25
基础⑨·偏好与推荐,推荐与背书,This is the best ___ in ___.,用于“推荐与背书”的核心句型。,restaurant / this area / café / the neighborhood / park / the city / bookstore / this area,This is the best restaurant in this area.,L2,26
基础⑨·偏好与推荐,推荐与背书,I recommend ___. It's the most ___.,我推荐这个。这是最受欢迎的。,this one / popular / this book / interesting / this hotel / comfortable,I recommend this one. It's the most popular dish here.,L2,27
基础⑨·偏好与推荐,比较与选择名词,"Compared to ___, this is much ___.",跟另一个比，这个好多了。,the other one / better / my old phone / faster / that restaurant / cheaper,"Compared to the other one, this is much better.",L2,28
基础⑨·综合评价,多维度比较,"This one is ___er and ___, but that one has ___.",这部手机更轻更快，但那部相机更好。,lighter / faster / a better camera / cheaper / nicer / more features,"This phone is lighter and faster, but that one has a better camera.",L2,29
基础⑨·综合评价,变化描述,It's getting ___er and ___er every day.,一天比一天热了。,hot / hot / cold / cold / big / big / warm / warm,It's getting hotter and hotter every day.,L2,30
基础⑨·综合评价,变化描述,He is more and more ___.,他对说英语越来越自信了。,confident / popular / successful / interesting / independent,He is more and more confident in speaking English.,L2,31
基础⑨·综合评价,比较级结论,"All things considered, ___ is the best choice for ___ because it's ___ and ___.",用于“比较级结论”的核心句型。,this / beginners / easy / affordable / that / travelers / cheap / convenient,"All things considered, this is the best choice for beginners.",L2,32
基础⑨·综合评价,比较总结,"In my opinion, ___. However, some people prefer that one because ___.",用于“比较总结”的核心句型。,this one is better / it's cheaper / this way is easier / it's faster,"In my opinion, this one is better. However, some people prefer that one.",L2,33
基础⑨·综合评价,,"The more you ___, the better ___.",用于“基础⑨·综合评价”的核心句型。,practice / you get / pay / quality you get / learn / you become / save / the more you have,"The more you pay, the better quality you get.",L2,34
