scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
动词搭配 MAKE/TAKE/HAVE/DO,动词搭配 MAKE/TAKE/HAVE/DO,make a decision,做决定,phrase,/meɪk ə dɪˈsɪʒən/,/meɪk ə dɪˈsɪʒən/,L2,做出决定。make + decision/choice/effort。,"[{""en"":""I need to make a decision soon."",""zh"":""我需要尽快做决定。""}]",0
动词搭配 MAKE/TAKE/HAVE/DO,动词搭配 MAKE/TAKE/HAVE/DO,take care of,照顾/处理,phrase,/teɪk ker əv/,/teɪk keər əv/,L2,照顾某人或处理某事。,"[{""en"":""She takes care of her younger brother."",""zh"":""她照顾她的弟弟。""}]",1
动词搭配 MAKE/TAKE/HAVE/DO,动词搭配 MAKE/TAKE/HAVE/DO,have a look,看一看,phrase,/hæv ə lʊk/,/hæv ə lʊk/,L1,快速看一下。,"[{""en"":""Have a look at this photo."",""zh"":""看看这张照片。""}]",2
动词搭配 MAKE/TAKE/HAVE/DO,动词搭配 MAKE/TAKE/HAVE/DO,do business,做生意,phrase,/duː ˈbɪznəs/,/duː ˈbɪznɪs/,L2,经商/做生意。,"[{""en"":""They do business with many countries."",""zh"":""他们和许多国家有生意往来。""}]",3
动词搭配 GET/KEEP/SET/COME,动词搭配 GET/KEEP/SET/COME,get ready,准备好,phrase,/ɡet ˈredi/,/ɡet ˈredi/,L1,做好准备。,"[{""en"":""Get ready for the trip."",""zh"":""为旅行做好准备。""}]",0
动词搭配 GET/KEEP/SET/COME,动词搭配 GET/KEEP/SET/COME,keep in touch,保持联系,phrase,/kiːp ɪn tʌtʃ/,/kiːp ɪn tʌtʃ/,L2,保持联系。,"[{""en"":""Keep in touch after you move."",""zh"":""你搬家后保持联系。""}]",1
动词搭配 GET/KEEP/SET/COME,动词搭配 GET/KEEP/SET/COME,come true,实现,phrase,/kʌm truː/,/kʌm truː/,L2,梦想/愿望实现。,"[{""en"":""Her dream came true."",""zh"":""她的梦想实现了。""}]",2
动词搭配 GET/KEEP/SET/COME,动词搭配 GET/KEEP/SET/COME,set up,建立/设置,phrase,/set ʌp/,/set ʌp/,L2,建立/创办/设置。,"[{""en"":""They set up a new company."",""zh"":""他们成立了一家新公司。""}]",3
介词固定搭配,介词固定搭配,interested in,对...感兴趣,phrase,/ˈɪntrəstɪd ɪn/,/ˈɪntrəstɪd ɪn/,L2,be interested in + 名词/doing。,"[{""en"":""I'm interested in learning Japanese."",""zh"":""我对学日语感兴趣。""}]",0
介词固定搭配,介词固定搭配,good at,擅长,phrase,/ɡʊd æt/,/ɡʊd æt/,L1,be good at + 名词/doing。,"[{""en"":""She is good at playing the piano."",""zh"":""她擅长弹钢琴。""}]",1
介词固定搭配,介词固定搭配,afraid of,害怕,phrase,/əˈfreɪd əv/,/əˈfreɪd əv/,L1,be afraid of + 名词/doing。,"[{""en"":""I'm afraid of spiders."",""zh"":""我怕蜘蛛。""}]",2
介词固定搭配,介词固定搭配,depend on,取决于/依赖,phrase,/dɪˈpend ɑːn/,/dɪˈpend ɒn/,L2,depend on + 名词。,"[{""en"":""It depends on the weather."",""zh"":""这取决于天气。""}]",3
介词固定搭配,介词固定搭配,wait for,等待,phrase,/weɪt fɔːr/,/weɪt fɔː/,L1,wait for + 人/物。,"[{""en"":""I'm waiting for the bus."",""zh"":""我在等公交车。""}]",4
其他高频固定搭配,其他高频固定搭配,look forward to,期待,phrase,/lʊk ˈfɔːrwərd tuː/,/lʊk ˈfɔːwəd tuː/,L2,期待(后接名词/doing)。,"[{""en"":""I look forward to meeting you."",""zh"":""我期待与你见面。""}]",0
其他高频固定搭配,其他高频固定搭配,take part in,参加,phrase,/teɪk pɑːrt ɪn/,/teɪk pɑːt ɪn/,L2,参加活动。,"[{""en"":""He took part in the competition."",""zh"":""他参加了比赛。""}]",1
其他高频固定搭配,其他高频固定搭配,catch up with,赶上,phrase,/kætʃ ʌp wɪð/,/kætʃ ʌp wɪð/,L2,赶上某人或最新消息。,"[{""en"":""I need to catch up with my old friends."",""zh"":""我需要和老朋友们叙叙旧。""}]",2
其他高频固定搭配,其他高频固定搭配,make sure,确保,phrase,/meɪk ʃʊr/,/meɪk ʃʊə/,L1,确保某事。,"[{""en"":""Make sure you lock the door."",""zh"":""确保锁好门。""}]",3
