scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
基础⑤·此刻正在做,我正在...,right now,此刻/现在,adv,/raɪt naʊ/,/raɪt naʊ/,L1,此刻。I'm eating right now.,"[{"en":"What are you doing right now?","zh":"你现在在做什么？"}]",0
基础⑤·此刻正在做,我正在...,at the moment,此刻,adv,/æt ðə ˈmoʊmənt/,/æt ðə ˈməʊmənt/,L1,此刻。I'm busy at the moment.,"[{"en":"I'm working at the moment.","zh":"我此刻在工作。"}]",1
基础⑤·此刻正在做,我正在...,currently,目前,adv,/ˈkɜːrəntli/,/ˈkʌrəntli/,L1,目前。Currently, I'm studying.,"[{"en":"I'm currently reading a book.","zh":"我目前正在读一本书。"}]",2
基础⑤·此刻正在做,我正在...,eating,正在吃,verb,/ˈiːtɪŋ/,/ˈiːtɪŋ/,L1,吃(eat)的进行式。,"[{"en":"I'm eating lunch right now.","zh":"我正在吃午饭。"}]",3
基础⑤·此刻正在做,我正在...,drinking,正在喝,verb,/ˈdrɪŋkɪŋ/,/ˈdrɪŋkɪŋ/,L1,喝(drink)的进行式。,"[{"en":"She is drinking coffee.","zh":"她正在喝咖啡。"}]",4
基础⑤·此刻正在做,我正在...,studying,正在学习,verb,/ˈstʌdiɪŋ/,/ˈstʌdiɪŋ/,L1,学习(study)的进行式。,"[{"en":"He is studying English.","zh":"他正在学英语。"}]",5
基础⑤·此刻正在做,我正在...,reading,正在读,verb,/ˈriːdɪŋ/,/ˈriːdɪŋ/,L1,读(read)的进行式。,"[{"en":"I'm reading a book right now.","zh":"我正在读一本书。"}]",6
基础⑤·此刻正在做,我正在...,writing,正在写,verb,/ˈraɪtɪŋ/,/ˈraɪtɪŋ/,L1,写(write)的进行式。,"[{"en":"She is writing a letter.","zh":"她正在写信。"}]",7
基础⑤·此刻正在做,我正在...,talking,正在说话,verb,/ˈtɔːkɪŋ/,/ˈtɔːkɪŋ/,L1,说话(talk)的进行式。,"[{"en":"They are talking on the phone.","zh":"他们正在打电话。"}]",8
基础⑤·此刻正在做,我正在...,listening,正在听,verb,/ˈlɪsənɪŋ/,/ˈlɪsənɪŋ/,L1,听(listen)的进行式。,"[{"en":"I'm listening to music.","zh":"我正在听音乐。"}]",9
基础⑤·此刻正在做,我正在...,watching,正在看,verb,/ˈwɑːtʃɪŋ/,/ˈwɒtʃɪŋ/,L1,看(watch)的进行式。,"[{"en":"He is watching TV.","zh":"他正在看电视。"}]",10
基础⑤·此刻正在做,我正在...,cooking,正在做饭,verb,/ˈkʊkɪŋ/,/ˈkʊkɪŋ/,L1,做饭(cook)的进行式。,"[{"en":"Mom is cooking dinner.","zh":"妈妈正在做晚饭。"}]",11
基础⑤·此刻正在做,他/她正在...,running,正在跑,verb,/ˈrʌnɪŋ/,/ˈrʌnɪŋ/,L1,跑(run)的进行式。,"[{"en":"He is running in the park.","zh":"他正在公园跑步。"}]",0
基础⑤·此刻正在做,他/她正在...,playing,正在玩,verb,/ˈpleɪɪŋ/,/ˈpleɪɪŋ/,L1,玩(play)的进行式。,"[{"en":"She is playing with her dog.","zh":"她正在和狗玩。"}]",1
基础⑤·此刻正在做,他/她正在...,sleeping,正在睡觉,verb,/ˈsliːpɪŋ/,/ˈsliːpɪŋ/,L1,睡觉(sleep)的进行式。,"[{"en":"The baby is sleeping.","zh":"宝宝正在睡觉。"}]",2
基础⑤·此刻正在做,他/她正在...,waiting,正在等待,verb,/ˈweɪtɪŋ/,/ˈweɪtɪŋ/,L1,等待(wait)的进行式。,"[{"en":"He is waiting for the bus.","zh":"他正在等公交。"}]",3
基础⑤·此刻正在做,他/她正在...,singing,正在唱歌,verb,/ˈsɪŋɪŋ/,/ˈsɪŋɪŋ/,L1,唱歌(sing)的进行式。,"[{"en":"She is singing a song.","zh":"她正在唱歌。"}]",4
基础⑤·此刻正在做,他/她正在...,dancing,正在跳舞,verb,/ˈdænsɪŋ/,/ˈdɑːnsɪŋ/,L1,跳舞(dance)的进行式。,"[{"en":"They are dancing together.","zh":"他们在一起跳舞。"}]",5
基础⑤·此刻正在做,他/她正在...,sitting,正坐着,verb,/ˈsɪtɪŋ/,/ˈsɪtɪŋ/,L1,坐(sit)的进行式。,"[{"en":"He is sitting on the chair.","zh":"他正坐在椅子上。"}]",6
基础⑤·此刻正在做,他/她正在...,standing,正站着,verb,/ˈstændɪŋ/,/ˈstændɪŋ/,L1,站(stand)的进行式。,"[{"en":"She is standing near the door.","zh":"她正站在门边。"}]",7
基础⑤·此刻正在做,他/她正在...,wearing,正穿着,verb,/ˈwerɪŋ/,/ˈweərɪŋ/,L1,穿(wear)的进行式。,"[{"en":"He is wearing a blue shirt.","zh":"他正穿着一件蓝衬衫。"}]",8
基础⑤·此刻正在做,他/她正在...,carrying,正拿着/提着,verb,/ˈkæriɪŋ/,/ˈkæriɪŋ/,L1,拿(carry)的进行式。,"[{"en":"She is carrying a big bag.","zh":"她正提着一个大包。"}]",9
基础⑤·此刻正在做,他/她正在...,looking,正在看/正在找,verb,/ˈlʊkɪŋ/,/ˈlʊkɪŋ/,L1,看(look)的进行式。look for=找。,"[{"en":"He is looking for his keys.","zh":"他正在找钥匙。"}]",10
基础⑤·此刻正在做,他/她正在...,calling,正在打电话,verb,/ˈkɔːlɪŋ/,/ˈkɔːlɪŋ/,L1,打电话(call)的进行式。,"[{"en":"She is calling her mom.","zh":"她正在给妈妈打电话。"}]",11
基础⑤·临时vs习惯,平时vs今天,habit,习惯,noun,/ˈhæbɪt/,/ˈhæbɪt/,L1,习惯。daily habit。,"[{"en":"It's my habit to read before bed.","zh":"睡前读书是我的习惯。"}]",0
