scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,teaching_markdown,ink_script_key
过去的状态,我以前是/有,"What were you like before?","你以前是什么样的？",900,L1,"was/were 肯定句","was, were, was not, were not",,past_state_be
过去的状态,昨天在哪里,"Where were you yesterday?","你昨天在哪里？",900,L1,"was/were 疑问句","Were you...?, Where were you...?, Yes I was, No I wasn't",,past_state_where
过去的状态,过去的感受,"How did you feel?","你当时感觉如何？",900,L1,"was/were + 感受形容词","How was...?, was/were + bored/excited/scared/satisfied",,past_state_feeling
过去的状态,过去的外表,"What did you look like?","你以前长什么样？",900,L1,"was/were + 外表描述","I was..., He/She was..., 外表形容词",,past_state_look
过去的状态,过去的天气和日子,"What was the weather like?","天气怎么样？",900,L1,"It was... / Was it...?","It was stormy/humid/dry, 天气描述",,past_state_weather
过去的动作,昨天做了什么,"What did you do yesterday?","你昨天做了什么？",900,L1,"不规则动词 went/ate/had","went, ate, had, saw, said, got, took, came, gave, drank",,past_action_yday
过去的动作,不规则动词专项,"Can you use irregular past tense?","你会用不规则动词过去式吗？",900,L1,"第二组不规则动词","knew, thought, told, found, left, felt, sat, stood, ran, wrote",,past_action_irreg
过去的动作,规则动词 -ed,"How do you form regular past tense?","规则动词过去式怎么变？",900,L1,"规则动词 -ed 三种发音","worked, watched, cooked, helped, walked, talked, liked, finished, washed, brushed",,past_action_reged
过去的动作,过去的时间表达,"When did it happen?","什么时候发生的？",900,L1,"过去时间表达","the day before yesterday, a while ago, back then, in those days",,past_action_time
过去的动作,过去频率,"How often did you do it?","你过去多久做一次？",900,L1,"过去频率表达","whenever, each time, every time, most days, all the time, once in a while",,past_action_freq
讲述经历,上个周末/去年,"What did you do last weekend?","你上个周末做了什么？",900,L1,"Last weekend/Last year + 过去式","visited, stayed, cleaned, traveled, moved, started, learned, drove, flew",,past_exp_weekend
讲述经历,ago 表达,"How long ago was it?","多久以前？",900,L1,"时间段 + ago","ago, earlier, shortly, promptly, swiftly, rapidly, momentarily, unexpectedly",,past_exp_ago
讲述经历,某年某事,"What happened in that year?","那年发生了什么？",900,L1,"in 年份 + 过去式","raised, grew up, attended, joined, retired, resigned, promoted, transferred, enrolled",,past_exp_year
讲述经历,否定句 didn't,"What didn't you do?","你没做什么？",900,L1,"didn't + 动词原形","didn't, nowhere, none, whatsoever, negative",,past_exp_neg
讲述经历,疑问句 Did,"Did you...? Ask about the past.","用 Did 问过去的事。",900,L1,"Did...? / When did...?","did, whose, whom, whatever, however",,past_exp_did
完成时入门,去过/做过,"Have you ever been to...?","你去过...吗？",900,L1,"have been to / have + 过去分词","been, gone, done, seen, eaten, taken, driven, written, spoken, broken",,past_perf_been
完成时入门,刚刚/还没,"Have you just...? Not yet?","你刚刚...？还没？",900,L1,"just / yet / already","so far, up to now, until now, by now, lately, recently, prior",,past_perf_yet
完成时入门,持续多久,"How long have you...?","你...多久了？",900,L1,"for / since","for, since, during, over, within, beyond, until, till, throughout",,past_perf_for
完成时入门,ever/never,"Have you ever...?","你曾经...吗？",900,L1,"Have you ever...? / I have never...","ever, hardly ever, rarely ever, multiple, numerous, countless, infinite, endless, unlimited",,past_perf_ever
完成时入门,完成时混合表达,"What is the best thing you have ever done?","你做过的最棒的事是什么？",900,L1,"最高级 + I have ever...","the best, the worst, the most, the least, the first, the last, the only",,past_perf_best
过去与现在对比,回忆过去,"What do you remember?","你记得过去的什么？",900,L1,"I remember when...","memory, childhood, youth, era, decade, century, milestone, nostalgia, reminisce, flashback",,past_comp_memory
过去与现在对比,used to 习惯,"What did you use to do?","你过去习惯做什么？",900,L1,"used to / didn't use to","used, at first, in the beginning, once upon a time, yesteryear",,past_comp_usedto
过去与现在对比,生活变化,"How has your life changed?","你的生活怎么变了？",900,L1,"have changed / have grown","mature, evolve, transform, adapt, adjust, deteriorate, restore, rebuild, renew, revive",,past_comp_change
过去与现在对比,今昔对比,"How was life before? Now?","以前的生活怎样？现在呢？",900,L1,"Life was... Now...","simpler, busier, wealthier, healthier, lonelier, happier, tougher, gentler, safer, poorer",,past_comp_thennow
过去与现在对比,今昔综合表达,"Looking back, what do you realize?","回顾过去，你意识到什么？",900,L1,"综合过去时与完成时","presently, these days, in modern times, generation, contemporary, traditional, historic, ancient",,past_comp_lookback
