chapter_id,chapter_title,episode_order,title,scene_title,required_output_level,required_user_level,vocab_required_count,vocab_total_count,chunk_required_count,chunk_total_count,objectives_json,pass_objective_count,pass_chunk_count,pass_min_dialogues,npc_name,npc_role,is_preview,ink_script_key,rewards_json
chapter_1,机场出发,1,办理值机,"旅行·机场出发",L1,1,2,7,2,5,"[""出示护照和订票信息"",""选择座位"",""确认登机口""]",2,2,2,Emily,值机员,true,,"{""xp"":20}"
chapter_1,机场出发,2,过安检,"旅行·机场出发",L1,1,2,4,2,3,"[""拿出证件"",""取出电子产品"",""通过安检门""]",2,2,2,Security Staff,安检员,false,,"{""xp"":20}"
chapter_1,机场出发,3,登机口候机,"旅行·机场出发",L1,1,2,4,2,3,"[""确认登机时间"",""确认登机口"",""听登机广播""]",2,2,2,Gate Agent,登机口工作人员,false,,"{""xp"":20}"
chapter_2,机场入境,1,入境问答,"旅行·机场入境",L2,1,2,5,2,4,"[""说明来访目的"",""说明停留时间"",""出示回程机票"",""说明住宿地址""]",2,2,2,Officer Chen,入境官员,true,,"{""xp"":25}"
chapter_2,机场入境,2,提取行李,"旅行·机场入境",L1,1,2,3,2,3,"[""找行李转盘"",""确认行李"",""处理行李问题""]",2,2,2,——,——,false,,"{""xp"":20}"
chapter_2,机场入境,3,海关申报,"旅行·机场入境",L2,1,2,3,2,3,"[""回答海关问题"",""说明是否申报"",""说明物品用途""]",2,2,2,Customs Officer,海关官员,false,,"{""xp"":25}"
chapter_3,市内出行,1,打车去酒店,"旅行·出租车",L1,1,2,3,2,5,"[""告诉司机地址"",""确认费用"",""确认路线""]",2,2,2,Driver,出租车司机,false,,"{""xp"":20}"
chapter_3,市内出行,2,和司机聊天,"旅行·出租车",L2,1,2,2,2,2,"[""聊当地"",""问推荐""]",2,2,2,Driver,出租车司机,false,,"{""xp"":25}"
chapter_4,酒店住宿,1,办理入住,"旅行·酒店大堂",L1,1,2,4,2,4,"[""确认预订"",""出示证件"",""问退房时间"",""问早餐""]",2,2,2,Mr. Wilson,酒店前台,true,,"{""xp"":20}"
chapter_4,酒店住宿,2,客房服务,"旅行·酒店大堂",L2,1,2,3,2,3,"[""索要用品"",""报修"",""设置叫醒""]",2,2,2,Mr. Wilson,酒店前台,false,,"{""xp"":25}"
chapter_4,酒店住宿,3,退房离店,"旅行·酒店大堂",L1,1,2,2,2,3,"[""退房"",""核对账单"",""寄存行李""]",2,2,2,Mr. Wilson,酒店前台,false,,"{""xp"":20}"
chapter_5,街头出行,1,问路找地方,"旅行·街头",L1,1,2,3,2,3,"[""礼貌问路"",""确认距离"",""听方向说明""]",2,2,2,Local,当地路人,false,,"{""xp"":20}"
