chapter_id,chapter_title,episode_order,title,scene_title,required_output_level,required_user_level,vocab_required_count,vocab_total_count,chunk_required_count,chunk_total_count,objectives_json,pass_objective_count,pass_chunk_count,pass_min_dialogues,npc_name,npc_role,is_preview,ink_script_key,rewards_json
ch_dl_1,我有什么,1,我有什么,基础②·喜好与感受,L1,1,3,5,3,5,"[""掌握我有什么核心表达""]",2,3,2,Tutor,英语导师,true,practice_foundation-daily-life_我有什么_第1课,{""xp"":10}
ch_dl_1,我有什么,2,我喜欢/我想要,基础②·喜好与感受,L1,1,3,5,3,5,"[""掌握我喜欢/我想要核心表达""]",2,3,2,Tutor,英语导师,false,practice_foundation-daily-life_我喜欢我想要_第2课,{""xp"":10}
ch_dl_2,家务劳动,1,家务劳动,基础②·家务与居家,L1,1,3,5,3,5,"[""掌握家务劳动核心表达""]",2,3,2,Tutor,英语导师,false,practice_foundation-daily-life_家务劳动_第3课,{""xp"":10}
ch_dl_2,家务劳动,2,居家休息,基础②·家务与居家,L1,1,3,5,3,5,"[""掌握居家休息核心表达""]",2,3,2,Tutor,英语导师,false,practice_foundation-daily-life_居家休息_第4课,{""xp"":10}
ch_dl_3,我每天做什么,1,我每天做什么,基础②·日常习惯,L1,1,3,5,3,5,"[""掌握我每天做什么核心表达""]",2,3,2,Tutor,英语导师,false,practice_foundation-daily-life_我每天做什么_第5课,{""xp"":10}
ch_dl_3,我每天做什么,2,我的日常动作,基础②·日常习惯,L1,1,3,5,3,5,"[""掌握我的日常动作核心表达""]",2,3,2,Tutor,英语导师,false,practice_foundation-daily-life_我的日常动作_第6课,{""xp"":10}
ch_dl_4,购物消费,1,购物消费,基础②·购物与出行,L1,1,3,5,3,5,"[""掌握购物消费核心表达""]",2,3,2,Tutor,英语导师,false,practice_foundation-daily-life_购物消费_第7课,{""xp"":10}
ch_dl_4,购物消费,2,天气与出行,基础②·购物与出行,L1,1,3,5,3,5,"[""掌握天气与出行核心表达""]",2,3,2,Tutor,英语导师,false,practice_foundation-daily-life_天气与出行_第8课,{""xp"":10}
ch_dl_5,起床与洗漱,1,起床与洗漱,基础②·起床与洗漱,L1,1,3,5,3,5,"[""掌握起床与洗漱核心表达""]",2,3,2,Tutor,英语导师,false,practice_foundation-daily-life_起床与洗漱_第9课,{""xp"":10}
ch_dl_5,起床与洗漱,2,起床,基础②·起床与洗漱,L1,1,3,5,3,5,"[""掌握起床核心表达""]",2,3,2,Tutor,英语导师,false,practice_foundation-daily-life_起床_第10课,{""xp"":10}
ch_dl_6,在外就餐,1,在外就餐,基础②·餐饮与社交,L1,1,3,5,3,5,"[""掌握在外就餐核心表达""]",2,3,2,Tutor,英语导师,false,practice_foundation-daily-life_在外就餐_第11课,{""xp"":10}
ch_dl_6,在外就餐,2,通讯与联络,基础②·餐饮与社交,L1,1,3,5,3,5,"[""掌握通讯与联络核心表达""]",2,3,2,Tutor,英语导师,false,practice_foundation-daily-life_通讯与联络_第12课,{""xp"":10}
