chapter_id,chapter_title,episode_order,title,scene_title,required_output_level,required_user_level,vocab_required_count,vocab_total_count,chunk_required_count,chunk_total_count,objectives_json,pass_objective_count,pass_chunk_count,pass_min_dialogues,npc_name,npc_role,is_preview,ink_script_key,rewards_json
ch_pv,动词短语,1,活用动词短语,语法·动词短语实战,L2,1,2,4,2,3,"[""用动词短语表达放弃"",""用动词短语表达寻找"",""用动词短语表达用完""]",2,2,2,Tutor,语法导师,true,,"{""xp"":20}"
ch_pv,动词短语,2,对话中的动词短语,语法·动词短语实战,L2,1,2,3,2,3,"[""用put up with表达忍受"",""用come up with表达想主意"",""用get along表达相处""]",2,2,2,Tutor,语法导师,false,,"{""xp"":20}"
ch_tense,时态,1,选对时态,语法·时态精准表达,L2,1,2,3,2,3,"[""用一般现在时描述习惯"",""用现在进行时描述当前"",""用现在完成时描述已做""]",2,2,2,Tutor,语法导师,true,,"{""xp"":20}"
ch_tense,时态,2,过去时叙事,语法·时态精准表达,L2,1,2,3,2,3,"[""用过去时描述昨天的事"",""用过去进行时描述正在做"",""用完成时描述从未做过""]",2,2,2,Tutor,语法导师,false,,"{""xp"":20}"
ch_link,衔接,1,连接词运用,语法·句子组织与衔接,L2,1,2,2,2,2,"[""用but表达转折"",""用so表达因果"",""用although表达让步""]",2,2,2,Tutor,语法导师,false,,"{""xp"":20}"
ch_link,衔接,2,复杂句结构,语法·句子组织与衔接,L3,1,2,2,2,2,"[""用定语从句修饰名词"",""用if条件句表达假设""]",2,2,2,Tutor,语法导师,false,practice_course-grammar_语法_句子组织与衔接_复杂句结构,"{""xp"":25}"
ch_adv,副词,1,副词·频率与程度副词,语法·副词与状语,L2,1,2,2,2,2,"[""用频率副词描述频率"",""用程度副词修饰形容词""]",2,2,2,Tutor,语法导师,false,,"{""xp"":20}"
ch_adv,副词,2,副词·方式与评论副词,语法·副词与状语,L2,1,2,2,2,2,"[""用方式副词修饰动作"",""用评论副词表达态度""]",2,2,2,Tutor,语法导师,false,practice_course-grammar_语法_副词与状语_副词_方式与评论副词,"{""xp"":20}"
ch_time,时间,1,时间介词与连词,语法·时间表达法,L2,1,2,3,2,3,"[""用on表达具体日期"",""用in表达月份年份"",""用at表达具体时间""]",2,2,2,Tutor,语法导师,false,practice_course-grammar_语法_时间表达法_时间介词与连词,"{""xp"":20}"
ch_time,时间,2,时间从句描述,语法·时间表达法,L2,1,2,3,2,3,"[""用while表达同时"",""用after表达之后"",""用before表达之前""]",2,2,2,Tutor,语法导师,false,practice_course-grammar_语法_时间表达法_时间从句描述,"{""xp"":20}"
ch_pos,方位,1,方位介词练习,语法·方位与位置表达,L2,1,2,3,2,3,"[""用in/on/at描述位置"",""用next to/behind描述关系""]",2,2,2,Tutor,语法导师,false,,"{""xp"":20}"
ch_pos,方位,2,描述位置与指路,语法·方位与位置表达,L2,1,2,3,2,3,"[""用go straight直走"",""用turn left/right转弯"",""用at the corner描述地标""]",2,2,2,Tutor,语法导师,false,,"{""xp"":20}"
