scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
英语介词：时间、地点与关系,时间点：at on in,时间介词,at six o'clock,在六点,L1,at 接具体时刻。,"[{""en"":""The class starts at six o'clock."",""zh"":""课程六点开始。""}]"
英语介词：时间、地点与关系,时间点：at on in,时间介词,on Monday morning,在周一早上,L1,含具体某一天时使用 on。,"[{""en"":""We meet on Monday morning."",""zh"":""我们周一早上见。""}]"
英语介词：时间、地点与关系,时间点：at on in,时间介词,in September,在九月,L1,in 接月份、年份或较长时期。,"[{""en"":""The course begins in September."",""zh"":""课程九月开始。""}]"
英语介词：时间、地点与关系,时间段：for since during,时间介词,for three years,持续三年,L2,for 后接一段时长。,"[{""en"":""I have lived here for three years."",""zh"":""我在这里住了三年。""}]"
英语介词：时间、地点与关系,时间段：for since during,时间介词,since last summer,自去年夏天以来,L2,since 后接时间起点。,"[{""en"":""We have been friends since last summer."",""zh"":""从去年夏天起我们就是朋友。""}]"
英语介词：时间、地点与关系,时间段：for since during,时间介词,during the meeting,在会议期间,L2,during 后接事件或期间名词。,"[{""en"":""Please stay quiet during the meeting."",""zh"":""会议期间请保持安静。""}]"
英语介词：时间、地点与关系,位置：at in on,地点介词,at the entrance,在入口处,L1,at 把地点看作一个点。,"[{""en"":""Wait for me at the entrance."",""zh"":""在入口处等我。""}]"
英语介词：时间、地点与关系,位置：at in on,地点介词,in the drawer,在抽屉里,L1,in 表示位于空间内部。,"[{""en"":""The charger is in the drawer."",""zh"":""充电器在抽屉里。""}]"
英语介词：时间、地点与关系,位置：at in on,地点介词,on the wall,在墙面上,L1,on 表示与表面接触。,"[{""en"":""There is a clock on the wall."",""zh"":""墙上有一个钟。""}]"
英语介词：时间、地点与关系,方位：above below between among,方位介词,between A and B,在 A 和 B 之间,L1,between 常用于明确分开的对象。,"[{""en"":""The chair is between the two desks."",""zh"":""椅子在两张桌子之间。""}]"
英语介词：时间、地点与关系,方位：above below between among,方位介词,among the trees,在树丛中,L2,among 表示处于一群事物之中。,"[{""en"":""The cabin is among the trees."",""zh"":""小屋在树丛中。""}]"
英语介词：时间、地点与关系,移动：to into onto from,移动介词,from home to work,从家到工作地点,L1,from 标记起点而 to 标记目的地。,"[{""en"":""I cycle from home to work."",""zh"":""我从家骑车去上班。""}]"
英语介词：时间、地点与关系,移动：to into onto from,移动介词,walk into the room,走进房间,L2,into 强调从外部进入内部。,"[{""en"":""She walked into the room quietly."",""zh"":""她安静地走进房间。""}]"
英语介词：时间、地点与关系,移动：to into onto from,移动介词,jump onto the platform,跳到平台上,L2,onto 强调移动后到达表面。,"[{""en"":""The cat jumped onto the platform."",""zh"":""猫跳到了平台上。""}]"
英语介词：时间、地点与关系,路线：through across along past,路线介词,through the tunnel,穿过隧道,L2,through 强调从空间内部穿过。,"[{""en"":""The train goes through the tunnel."",""zh"":""火车穿过隧道。""}]"
英语介词：时间、地点与关系,路线：through across along past,路线介词,across the street,穿过街道,L1,across 强调从一边到另一边。,"[{""en"":""The pharmacy is across the street."",""zh"":""药店在街对面。""}]"
英语介词：时间、地点与关系,路线：through across along past,路线介词,along the river,沿着河边,L2,along 表示顺着线状路线。,"[{""en"":""We walked along the river."",""zh"":""我们沿着河边走。""}]"
英语介词：时间、地点与关系,方式与工具：by with in,方式介词,by train,乘火车,L1,by 加不带冠词的交通方式。,"[{""en"":""We traveled there by train."",""zh"":""我们乘火车去那里。""}]"
英语介词：时间、地点与关系,方式与工具：by with in,方式介词,with a key,用钥匙,L1,with 标记具体工具。,"[{""en"":""Open the door with this key."",""zh"":""用这把钥匙开门。""}]"
英语介词：时间、地点与关系,方式与工具：by with in,方式介词,in English,用英语,L1,in 可标记语言、颜色或形式。,"[{""en"":""Please write your answer in English."",""zh"":""请用英语写答案。""}]"
英语介词：时间、地点与关系,固定搭配与综合运用,介词搭配,be interested in,对……感兴趣,L1,形容词 interested 的固定搭配。,"[{""en"":""I am interested in local history."",""zh"":""我对当地历史感兴趣。""}]"
英语介词：时间、地点与关系,固定搭配与综合运用,介词搭配,be good at,擅长……,L1,形容词 good 表示擅长时搭配 at。,"[{""en"":""She is good at solving problems."",""zh"":""她擅长解决问题。""}]"
英语介词：时间、地点与关系,固定搭配与综合运用,介词搭配,depend on,取决于……,L2,动词 depend 通常搭配 on。,"[{""en"":""The plan depends on the weather."",""zh"":""计划取决于天气。""}]"
英语介词：时间、地点与关系,固定搭配与综合运用,介词搭配,ask for,请求或索要……,L1,ask for 后接想要获得的人或物。,"[{""en"":""You can ask for help."",""zh"":""你可以寻求帮助。""}]"
