scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
状态动词与进行时,状态还是动作？,状态与动作,It is usually quiet here.,这里通常很安静。,L1,描述稳定或习惯性的状态。,"[{""en"":""It is usually quiet here in the morning."",""zh"":""这里早上通常很安静。""}]"
状态动词与进行时,状态还是动作？,状态与动作,People are talking outside.,人们正在外面说话。,L1,描述此刻正在发生的动作。,"[{""en"":""People are talking outside right now."",""zh"":""人们此刻正在外面说话。""}]"
状态动词与进行时,状态还是动作？,状态与动作,What is happening right now?,现在正在发生什么？,L1,把注意力放在眼前的变化或动作上。,"[{""en"":""What is happening right now in the kitchen?"",""zh"":""厨房里现在正在发生什么？""}]"
状态动词与进行时,想法、感受与偏好,想法与感受,I think it is a good idea.,我觉得这是个好主意。,L1,think 表示观点时用一般时。,"[{""en"":""I think it is a good idea for beginners."",""zh"":""我觉得这对初学者是个好主意。""}]"
状态动词与进行时,想法、感受与偏好,想法与感受,I am thinking about it.,我正在考虑这件事。,L1,think about 表示正在思考的过程。,"[{""en"":""I am thinking about it before I decide."",""zh"":""我决定前正在考虑这件事。""}]"
状态动词与进行时,想法、感受与偏好,想法与感受,I prefer tea to coffee.,比起咖啡我更喜欢茶。,L1,表达稳定偏好。,"[{""en"":""I prefer tea to coffee in the evening."",""zh"":""晚上比起咖啡我更喜欢茶。""}]"
状态动词与进行时,看见、听见与尝试,感官与外观,It smells wonderful.,它闻起来很香。,L1,smell 描述气味结果时用一般时。,"[{""en"":""The bread smells wonderful."",""zh"":""面包闻起来很香。""}]"
状态动词与进行时,看见、听见与尝试,感官与外观,She is smelling the flowers.,她正在闻花。,L1,smell 表示主动闻的动作时可用进行时。,"[{""en"":""She is smelling the flowers by the door."",""zh"":""她正在闻门边的花。""}]"
状态动词与进行时,看见、听见与尝试,感官与外观,You look tired.,你看起来很累。,L1,look 表示外观印象时用一般时。,"[{""en"":""You look tired after the trip."",""zh"":""旅行后你看起来很累。""}]"
状态动词与进行时,拥有、需要与客观属性,关系与属性,This bag belongs to me.,这个包是我的。,L1,belong 描述所属关系。,"[{""en"":""This bag belongs to me not to my friend."",""zh"":""这个包是我的，不是我朋友的。""}]"
状态动词与进行时,拥有、需要与客观属性,关系与属性,It contains everything I need.,它装着我需要的一切。,L2,contain 表示包含关系。,"[{""en"":""This small bag contains everything I need."",""zh"":""这个小包里装着我需要的一切。""}]"
状态动词与进行时,拥有、需要与客观属性,关系与属性,I am weighing the bag.,我正在称这个包。,L2,weigh 表示称重动作时可用进行时。,"[{""en"":""I am weighing the bag before the flight."",""zh"":""起飞前我正在称这个包。""}]"
状态动词与进行时,性格还是临时表现？,临时行为,He is usually polite.,他通常很有礼貌。,L1,描述稳定特点。,"[{""en"":""He is usually polite to everyone."",""zh"":""他通常对每个人都很有礼貌。""}]"
状态动词与进行时,性格还是临时表现？,临时行为,He is being rude today.,他今天表现得很粗鲁。,L2,be being 强调临时行为而非永久性格。,"[{""en"":""He is being rude today but he is usually polite."",""zh"":""他今天表现得粗鲁，但平时很有礼貌。""}]"
状态动词与进行时,性格还是临时表现？,临时行为,Why are you being so quiet?,你现在为什么这么安静？,L2,询问与平时不同的临时表现。,"[{""en"":""Why are you being so quiet today?"",""zh"":""你今天为什么这么安静？""}]"
状态动词与进行时,变化、礼貌与持续意图,I am liking it more and more.,我越来越喜欢它了。,L2,进行时突出偏好正在逐渐改变。,"[{""en"":""I am liking the new job more and more."",""zh"":""我越来越喜欢这份新工作了。""}]"
状态动词与进行时,变化、礼貌与持续意图,Will you be needing the car?,你下午要用车吗？,L2,将来进行时可让询问需求听起来更委婉自然。,"[{""en"":""Will you be needing the car this afternoon?"",""zh"":""你今天下午要用这辆车吗？""}]"
状态动词与进行时,变化、礼貌与持续意图,I have been wanting to tell you.,我一直想告诉你。,L2,现在完成进行时强调这个愿望持续到现在。,"[{""en"":""I have been wanting to tell you about the trip."",""zh"":""我一直想跟你说说那趟旅行。""}]"
状态动词与进行时,-ing 不等于进行时,Knowing her tastes I chose chocolate.,我知道她的口味，所以选了巧克力。,L2,knowing 是分词短语，说明做选择时已知的背景，不是进行时。,"[{""en"":""Knowing her tastes I bought chocolate."",""zh"":""我知道她的口味，所以买了巧克力。""}]"
状态动词与进行时,-ing 不等于进行时,You can disagree without being rude.,你可以不同意，但不必粗鲁。,L2,without 后的 being 是介词后的 -ing 形式，不是进行时。,"[{""en"":""You can respect her views without agreeing with them."",""zh"":""你可以尊重她的观点，不必赞同。""}]"
状态动词与进行时,-ing 不等于进行时,After seeing the message I called her.,看到消息后我给她打了电话。,L2,after 后的 seeing 表示时间关系，不是“正在看”。,"[{""en"":""After seeing the message I called her."",""zh"":""看到消息后我给她打了电话。""}]"
状态动词与进行时,总是发生，还是老是发生？,重复事件,When Alice visits I always meet her at the station.,爱丽丝来看我时，我总会到车站接她。,L2,一般时 always 表示经常发生且通常有计划的安排。,"[{""en"":""When Alice visits I always meet her at the station."",""zh"":""爱丽丝来看我时，我总会到车站接她。""}]"
状态动词与进行时,总是发生，还是老是发生？,重复事件,I am always meeting her at the supermarket.,我老是在超市碰见她。,L2,be always + -ing 表示反复发生且往往意外的相遇。,"[{""en"":""I am always meeting her at the supermarket."",""zh"":""我老是在超市碰见她。""}]"
状态动词与进行时,总是发生，还是老是发生？,重复事件,I am always losing my keys.,我老是弄丢钥匙。,L2,常用于抱怨或自嘲某件反复发生的事。,"[{""en"":""I am always losing my keys."",""zh"":""我老是弄丢钥匙。""}]"
状态动词与进行时,总是发生，还是老是发生？,重复事件,Granny is always giving people little presents.,奶奶老是送人一些小礼物。,L2,也可带温暖、喜爱的语气，不一定是批评。,"[{""en"":""Granny is always giving people little presents."",""zh"":""奶奶总爱送人一些小礼物。""}]"
状态动词与进行时,总是发生，还是老是发生？,重复事件,That cat is forever getting shut in the bathroom.,那只猫老是被关在浴室里。,L2,forever + -ing 强调让人无奈的重复事件。,"[{""en"":""That cat is forever getting shut in the bathroom."",""zh"":""那只猫老是被关在浴室里。""}]"
状态动词与进行时,综合任务：把眼前情况说清楚,服务沟通,This soup tastes too salty.,这汤尝起来太咸了。,L1,描述食物此刻呈现的味道。,"[{""en"":""This soup tastes too salty for me."",""zh"":""这汤对我来说尝起来太咸了。""}]"
状态动词与进行时,综合任务：把眼前情况说清楚,服务沟通,I need some help with this.,这件事我需要一些帮助。,L1,自然说明需求。,"[{""en"":""I need some help with this order."",""zh"":""这份订单我需要一些帮助。""}]"
状态动词与进行时,综合任务：把眼前情况说清楚,服务沟通,Could you check it for me?,你能帮我检查一下吗？,L1,礼貌提出检查请求。,"[{""en"":""Could you check it for me please?"",""zh"":""你能帮我检查一下吗？""}]"
