chapter_id,chapter_title,episode_order,title,scene_title,required_output_level,required_user_level,vocab_required_count,vocab_total_count,chunk_required_count,chunk_total_count,objectives_json,pass_objective_count,pass_chunk_count,pass_min_dialogues,npc_name,npc_role,is_preview,ink_script_key,rewards_json
chapter_1,预约就诊,1,电话预约,"健康·预约看病",L2,1,2,5,2,4,"[""说明来意预约"",""询问医生时间"",""确认预约信息""]",2,2,2,Receptionist,诊所前台,true,,"{""xp"":25}"
chapter_1,预约就诊,2,改期取消,"健康·预约看病",L2,1,2,3,2,3,"[""说明需要改期"",""说明原因"",""重新约时间""]",2,2,2,Receptionist,诊所前台,false,,"{""xp"":25}"
chapter_1,预约就诊,3,前台登记,"健康·预约看病",L1,1,2,3,2,3,"[""报预约信息"",""出示证件/保险"",""确认是否需要填表""]",2,2,2,Receptionist,诊所前台,false,,"{""xp"":20}"
chapter_2,看诊问药,1,描述症状,"健康·看医生",L2,1,2,6,2,4,"[""说不舒服"",""说具体症状"",""说持续多久""]",2,2,2,Dr. Williams,医生,true,,"{""xp"":25}"
chapter_2,看诊问药,2,回答问诊,"健康·看医生",L2,1,2,4,2,4,"[""回答何时开始"",""说明过敏史"",""说明已用药物""]",2,2,2,Dr. Williams,医生,false,,"{""xp"":25}"
chapter_2,看诊问药,3,理解诊断,"健康·看医生",L3,1,2,3,2,3,"[""询问诊断"",""确认严重程度"",""询问是否需要检查""]",2,2,2,Dr. Williams,医生,false,,"{""xp"":30}"
chapter_2,看诊问药,4,治疗方案,"健康·看医生",L3,1,2,4,2,4,"[""询问治疗建议"",""询问用法"",""问是否需复诊"",""问副作用""]",2,2,2,Dr. Williams,医生,false,,"{""xp"":30}"
chapter_3,药房取药,1,询问药品,"健康·药房买药",L1,1,2,4,2,3,"[""描述症状"",""请药剂师推荐"",""确认是否处方药""]",2,2,2,Mr. Patel,药剂师,false,,"{""xp"":20}"
chapter_3,药房取药,2,理解用法,"健康·药房买药",L2,1,2,3,2,3,"[""询问频率"",""询问服用方式"",""问注意事项""]",2,2,2,Mr. Patel,药剂师,false,,"{""xp"":25}"
chapter_3,药房取药,3,处方取药,"健康·药房买药",L2,1,2,3,2,3,"[""出示处方"",""询问价格"",""问是否有仿制药""]",2,2,2,Mr. Patel,药剂师,false,,"{""xp"":25}"
