scene_title,topic_title,text,sort_order
常用英语500句 · 基础篇,澄清、确认与追问,Are you kidding?,1
常用英语500句 · 基础篇,澄清、确认与追问,That depends.,2
常用英语500句 · 基础篇,澄清、确认与追问,Then what?,3
常用英语500句 · 基础篇,澄清、确认与追问,How is that possible?,4
常用英语500句 · 基础篇,澄清、确认与追问,Why didn't you tell me?,5
常用英语500句 · 基础篇,澄清、确认与追问,Who told you?,6
常用英语500句 · 基础篇,澄清、确认与追问,How should I know.,7
常用英语500句 · 基础篇,澄清、确认与追问,What can I say?,8
常用英语500句 · 基础篇,澄清、确认与追问,"You didn't see it, did you?",9
常用英语500句 · 基础篇,澄清、确认与追问,What's wrong with you?,10
常用英语500句 · 基础篇,澄清、确认与追问,Why are you doing this?,11
常用英语500句 · 基础篇,澄清、确认与追问,Not yet.,12
常用英语500句 · 基础篇,澄清、确认与追问,I doubt it.,13
常用英语500句 · 基础篇,澄清、确认与追问,I knew it.,14
常用英语500句 · 基础篇,澄清、确认与追问,It doesn't make sense.,15
常用英语500句 · 基础篇,澄清、确认与追问,Stop beating around the bush.,16
常用英语500句 · 基础篇,澄清、确认与追问,Just a heads-up.,17
常用英语500句 · 基础篇,澄清、确认与追问,A penny for your thoughts?,18
常用英语500句 · 基础篇,澄清、确认与追问,Which book we talking about?,19
常用英语500句 · 基础篇,澄清、确认与追问,The rumor had no basis.,20
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,What shall we do tonight?,1
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,Let's play it by ear.,2
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,Not today.,3
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,She comes along?,4
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,Why bother?,5
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,Afraid so.,6
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,Now or never.,7
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,Absolutely.,8
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,I won't.,9
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,Don't even think about it.,10
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,As my guest.,11
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,Whatever it takes.,12
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,She got cold feet.,13
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,We'll see about that.,14
