scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
基础⑦·计划与预测,核心词汇,absolutely,,adv,,,L1+L2,,,0
基础⑦·计划与预测,核心词汇,aged,,adj,,,L1+L2,,,1
基础⑦·计划与预测,核心词汇,ambitious,,adj,,,L1+L2,,,2
基础⑦·计划与预测,核心词汇,approval,,n,,,L1+L2,,,3
基础⑦·计划与预测,核心词汇,backwards,,adv,,,L1+L2,,,4
基础⑦·计划与预测,核心词汇,bond,,n,,,L1+L2,,,5
基础⑦·计划与预测,核心词汇,cap,,n,,,L1+L2,,,6
基础⑦·计划与预测,核心词汇,chemical,,adj,,,L1+L2,,,7
基础⑦·计划与预测,核心词汇,communication,,n,,,L1+L2,,,8
基础⑦·计划与预测,核心词汇,contest,,n,,,L1+L2,,,9
基础⑦·计划与预测,核心词汇,critical,,adj,,,L1+L2,,,10
基础⑦·计划与预测,核心词汇,define,,v,,,L1+L2,,,11
基础⑦·计划与预测,核心词汇,division,,n,,,L1+L2,,,12
基础⑦·计划与预测,核心词汇,edition,,n,,,L1+L2,,,13
基础⑦·计划与预测,核心词汇,encourage,,v,,,L1+L2,,,14
基础⑦·计划与预测,核心词汇,executive,,n,,,L1+L2,,,15
基础⑦·计划与预测,核心词汇,fashionable,,adj,,,L1+L2,,,16
基础⑦·计划与预测,核心词汇,forever,,adv,,,L1+L2,,,17
基础⑦·计划与预测,核心词汇,ghost,,n,,,L1+L2,,,18
基础⑦·计划与预测,核心词汇,guilty,,adj,,,L1+L2,,,19
基础⑦·计划与预测,核心词汇,hurricane,,n,,,L1+L2,,,20
基础⑦·计划与预测,核心词汇,indoor,,adj,,,L1+L2,,,21
基础⑦·计划与预测,核心词汇,involved,,adj,,,L1+L2,,,22
基础⑦·计划与预测,核心词汇,leading,,adj,,,L1+L2,,,23
基础⑦·计划与预测,核心词汇,lord,,n,,,L1+L2,,,24
基础⑦·计划与预测,核心词汇,minority,,n,,,L1+L2,,,25
基础⑦·计划与预测,核心词汇,obey,,v,,,L1+L2,,,26
基础⑦·计划与预测,核心词汇,ours,,pron,,,L1+L2,,,27
基础⑦·计划与预测,核心词汇,pin,,n,,,L1+L2,,,28
基础⑦·计划与预测,核心词汇,policy,,n,,,L1+L2,,,29
基础⑦·计划与预测,核心词汇,prediction,,n,,,L1+L2,,,30
基础⑦·计划与预测,核心词汇,prisoner,,n,,,L1+L2,,,31
基础⑦·计划与预测,核心词汇,pure,,adj,,,L1+L2,,,32
基础⑦·计划与预测,核心词汇,recommendation,,n,,,L1+L2,,,33
基础⑦·计划与预测,核心词汇,remain,,v,,,L1+L2,,,34
基础⑦·计划与预测,核心词汇,responsibility,,n,,,L1+L2,,,35
基础⑦·计划与预测,核心词汇,rough,,adj,,,L1+L2,,,36
基础⑦·计划与预测,核心词汇,security,,n,,,L1+L2,,,37
基础⑦·计划与预测,核心词汇,sharp,,adj,,,L1+L2,,,38
基础⑦·计划与预测,核心词汇,silk,,n,,,L1+L2,,,39
基础⑦·计划与预测,核心词汇,spoken,,adj,,,L1+L2,,,40
基础⑦·计划与预测,核心词汇,successfully,,adv,,,L1+L2,,,41
基础⑦·计划与预测,核心词汇,tax,,n,,,L1+L2,,,42
基础⑦·计划与预测,核心词汇,translation,,n,,,L1+L2,,,43
基础⑦·计划与预测,核心词汇,union,,n,,,L1+L2,,,44
基础⑦·计划与预测,核心词汇,virtual,,adj,,,L1+L2,,,45
基础⑦·计划与预测,核心词汇,wonder,,v,,,L1+L2,,,46
基础⑦·能力与请求,核心词汇,acceptable,,adj,,,L1+L2,,,47
基础⑦·能力与请求,核心词汇,agreement,,n,,,L1+L2,,,48
基础⑦·能力与请求,核心词汇,angle,,n,,,L1+L2,,,49
基础⑦·能力与请求,核心词汇,approximately,,adv,,,L1+L2,,,50
基础⑦·能力与请求,核心词汇,base,,n,,,L1+L2,,,51
基础⑦·能力与请求,核心词汇,cable,,n,,,L1+L2,,,52
基础⑦·能力与请求,核心词汇,ceiling,,n,,,L1+L2,,,53
基础⑦·能力与请求,核心词汇,claim,,v,,,L1+L2,,,54
基础⑦·能力与请求,核心词汇,complaint,,n,,,L1+L2,,,55
基础⑦·能力与请求,核心词汇,continuous,,adj,,,L1+L2,,,56
基础⑦·能力与请求,核心词汇,currency,,n,,,L1+L2,,,57
基础⑦·能力与请求,核心词汇,departure,,n,,,L1+L2,,,58
基础⑦·能力与请求,核心词汇,dressed,,adj,,,L1+L2,,,59
基础⑦·能力与请求,核心词汇,educate,,v,,,L1+L2,,,60
基础⑦·能力与请求,核心词汇,engineering,,n,,,L1+L2,,,61
基础⑦·能力与请求,核心词汇,expectation,,n,,,L1+L2,,,62
基础⑦·能力与请求,核心词汇,fighting,,n,,,L1+L2,,,63
基础⑦·能力与请求,核心词汇,friendship,,n,,,L1+L2,,,64
基础⑦·能力与请求,核心词汇,grain,,n,,,L1+L2,,,65
基础⑦·能力与请求,核心词汇,headline,,n,,,L1+L2,,,66
基础⑦·能力与请求,核心词汇,identity,,n,,,L1+L2,,,67
基础⑦·能力与请求,核心词汇,injure,,v,,,L1+L2,,,68
基础⑦·能力与请求,核心词汇,judge,,n,,,L1+L2,,,69
基础⑦·能力与请求,核心词汇,lean,,v,,,L1+L2,,,70
基础⑦·能力与请求,核心词汇,luxury,,n,,,L1+L2,,,71
基础⑦·能力与请求,核心词汇,mood,,n,,,L1+L2,,,72
基础⑦·能力与请求,核心词汇,obvious,,adj,,,L1+L2,,,73
基础⑦·能力与请求,核心词汇,painful,,adj,,,L1+L2,,,74
基础⑦·能力与请求,核心词汇,pitch,,n,,,L1+L2,,,75
基础⑦·能力与请求,核心词汇,port,,n,,,L1+L2,,,76
基础⑦·能力与请求,核心词汇,preparation,,n,,,L1+L2,,,77
基础⑦·能力与请求,核心词汇,profession,,n,,,L1+L2,,,78
基础⑦·能力与请求,核心词汇,qualified,,adj,,,L1+L2,,,79
基础⑦·能力与请求,核心词汇,regularly,,adv,,,L1+L2,,,80
基础⑦·能力与请求,核心词汇,repeated,,adj,,,L1+L2,,,81
基础⑦·能力与请求,核心词汇,responsible,,adj,,,L1+L2,,,82
基础⑦·能力与请求,核心词汇,sailor,,n,,,L1+L2,,,83
基础⑦·能力与请求,核心词汇,senior,,adj,,,L1+L2,,,84
基础⑦·能力与请求,核心词汇,shine,,v,,,L1+L2,,,85
基础⑦·能力与请求,核心词汇,slice,,n,,,L1+L2,,,86
基础⑦·能力与请求,核心词汇,staff,,n,,,L1+L2,,,87
基础⑦·能力与请求,核心词汇,summary,,n,,,L1+L2,,,88
基础⑦·能力与请求,核心词汇,tent,,n,,,L1+L2,,,89
基础⑦·能力与请求,核心词汇,trick,,n,,,L1+L2,,,90
基础⑦·能力与请求,核心词汇,unlikely,,adj,,,L1+L2,,,91
基础⑦·能力与请求,核心词汇,volunteer,,n,,,L1+L2,,,92
基础⑦·能力与请求,核心词汇,written,,adj,,,L1+L2,,,93
基础⑦·建议与义务,核心词汇,achievement,,n,,,L1+L2,,,94
基础⑦·建议与义务,核心词汇,aim,,v,,,L1+L2,,,95
基础⑦·建议与义务,核心词汇,annoy,,v,,,L1+L2,,,96
基础⑦·建议与义务,核心词汇,assess,,v,,,L1+L2,,,97
基础⑦·建议与义务,核心词汇,battle,,n,,,L1+L2,,,98
基础⑦·建议与义务,核心词汇,calm,,adj,,,L1+L2,,,99
基础⑦·建议与义务,核心词汇,chain,,n,,,L1+L2,,,100
基础⑦·建议与义务,核心词汇,clue,,n,,,L1+L2,,,101
基础⑦·建议与义务,核心词汇,component,,n,,,L1+L2,,,102
基础⑦·建议与义务,核心词汇,costume,,n,,,L1+L2,,,103
基础⑦·建议与义务,核心词汇,custom,,n,,,L1+L2,,,104
基础⑦·建议与义务,核心词汇,dig,,v,,,L1+L2,,,105
基础⑦·建议与义务,核心词汇,dust,,n,,,L1+L2,,,106
基础⑦·建议与义务,核心词汇,embarrassed,,adj,,,L1+L2,,,107
基础⑦·建议与义务,核心词汇,entirely,,adv,,,L1+L2,,,108
基础⑦·建议与义务,核心词汇,expected,,adj,,,L1+L2,,,109
基础⑦·建议与义务,核心词汇,finance,,n,,,L1+L2,,,110
基础⑦·建议与义务,核心词汇,frozen,,adj,,,L1+L2,,,111
基础⑦·建议与义务,核心词汇,grant,,v,,,L1+L2,,,112
基础⑦·建议与义务,核心词汇,highlight,,v,,,L1+L2,,,113
基础⑦·建议与义务,核心词汇,immediate,,adj,,,L1+L2,,,114
基础⑦·建议与义务,核心词汇,inner,,adj,,,L1+L2,,,115
基础⑦·建议与义务,核心词汇,junior,,adj,,,L1+L2,,,116
基础⑦·建议与义务,核心词汇,leisure,,n,,,L1+L2,,,117
基础⑦·建议与义务,核心词汇,mall,,n,,,L1+L2,,,118
基础⑦·建议与义务,核心词汇,mystery,,n,,,L1+L2,,,119
基础⑦·建议与义务,核心词汇,odd,,adj,,,L1+L2,,,120
基础⑦·建议与义务,核心词汇,partly,,adv,,,L1+L2,,,121
基础⑦·建议与义务,核心词汇,planning,,n,,,L1+L2,,,122
基础⑦·建议与义务,核心词汇,possibly,,adv,,,L1+L2,,,123
基础⑦·建议与义务,核心词汇,prepared,,adj,,,L1+L2,,,124
基础⑦·建议与义务,核心词汇,properly,,adv,,,L1+L2,,,125
基础⑦·建议与义务,核心词汇,quotation,,n,,,L1+L2,,,126
基础⑦·建议与义务,核心词汇,relation,,n,,,L1+L2,,,127
基础⑦·建议与义务,核心词汇,resist,,v,,,L1+L2,,,128
基础⑦·建议与义务,核心词汇,retire,,v,,,L1+L2,,,129
基础⑦·建议与义务,核心词汇,scale,,n,,,L1+L2,,,130
基础⑦·建议与义务,核心词汇,servant,,n,,,L1+L2,,,131
基础⑦·建议与义务,核心词汇,sight,,n,,,L1+L2,,,132
基础⑦·建议与义务,核心词汇,software,,n,,,L1+L2,,,133
基础⑦·建议与义务,核心词汇,stranger,,n,,,L1+L2,,,134
基础⑦·建议与义务,核心词汇,supporter,,n,,,L1+L2,,,135
基础⑦·建议与义务,核心词汇,tin,,n,,,L1+L2,,,136
基础⑦·建议与义务,核心词汇,tune,,n,,,L1+L2,,,137
基础⑦·建议与义务,核心词汇,upset,,adj,,,L1+L2,,,138
基础⑦·建议与义务,核心词汇,waste,,n,,,L1+L2,,,139
基础⑦·情态综合,核心词汇,advise,,v,,,L1+L2,,,140
基础⑦·情态综合,核心词汇,alcoholic,,adj,,,L1+L2,,,141
