scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
"基础·天气与季节",谈论天气,谈论天气,What's the weather like today?,今天天气怎么样？,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,It's sunny today.,今天是晴天。,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,It's raining outside.,外面在下雨。,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,It's very cold today.,今天很冷。,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,It's hot and humid.,又热又潮湿。,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,It's cloudy today.,今天是阴天。,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,It's snowing heavily.,正在下大雪。,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,The temperature is 25 degrees.,温度是25度。,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,It's windy today.,今天有风。,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,Bring an umbrella!,带把伞！,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,The weather is nice today.,今天天气真好。,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,It's getting warmer.,天气变暖了。,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,What a beautiful day!,多美好的一天！,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,I hope it doesn't rain.,我希望别下雨。,L1,日常口语表达。,""
"基础·天气与季节",谈论天气,谈论天气,The sun is shining.,阳光明媚。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,My favorite season is spring.,我最喜欢的季节是春天。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,Summer is very hot.,夏天很热。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,Leaves fall in autumn.,秋天树叶落下。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,It snows in winter.,冬天会下雪。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,The flowers are blooming.,花开了。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,Let's go for a walk.,我们去散步吧。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,The air is fresh.,空气很新鲜。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,I love the beach!,我爱海滩！,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,The stars are beautiful.,星星很美。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,Let's enjoy the sunset.,我们欣赏日落吧。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,The mountain is covered with snow.,山被雪覆盖了。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,I like to hike in the forest.,我喜欢在森林里徒步。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,The river is very clean.,这条河很干净。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,Birds are singing.,鸟儿在歌唱。,L1,日常口语表达。,""
"基础·天气与季节",季节与自然,季节与自然,What a lovely garden!,多可爱的花园！,L1,日常口语表达。,""
