scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,teaching_markdown,ink_script_key
见面与寒暄,打招呼,"Practice greetings for different times of day. Say Hello, Good morning, and introduce yourself with I'm.",练习不同时间的问候语：Hello/Good morning/Good afternoon/Good evening，并用I'm介绍自己。,45,L1,学习在不同时间和熟悉程度下自然开始交流，区分 Hello/Hi/Good morning/Good afternoon/Good evening。,be动词 问候语 I'm 打招呼,"## 教学说明
学习在不同时间和熟悉程度下自然开始交流，区分 `Hello / Hi / Good morning / Good afternoon / Good evening`。问候语的使用时间、自然语调以及称呼放在问候语后的表达方式。

## 核心动词
`be`

## 独立主句型
`Hello! I'm ___.`",practice_foundation-beginner_打招呼
见面与寒暄,询问近况,Practice asking and answering How are you? Use I'm fine/good/okay/great to respond.,练习用How are you?询问近况，并用I'm fine/good/okay/great回答。,45,L1,学习用How are you?询问近况，并使用I'm fine/good/okay/great回应后把问题自然抛回去。,be动词 How are you 问候回应 And you?,"## 教学说明
学习用 `How are you?` 询问近况，并使用 `I'm fine/good/okay/great` 回应后把问题自然抛回去。

## 核心动词
`be`

## 独立主句型
`How are you? — I'm ___.`",practice_foundation-beginner_询问近况
见面与寒暄,感谢与告别,"Practice saying Thank you, You're welcome, Goodbye, and See you later.",练习表达感谢Thank you/You're welcome，以及告别Goodbye/See you later/Have a nice day。,45,L1,学习在交流结束时表达感谢、回应感谢并自然告别。Thank you/You're welcome/See you later/Have a nice day的固定搭配。,thank see have 感谢 告别 固定搭配,"## 教学说明
学习在交流结束时表达感谢、回应感谢并自然告别。

## 核心动词
`thank, see, have`

## 独立主句型
`See you ___.`",practice_foundation-beginner_感谢与告别
介绍自己,姓名,Practice introducing your name with My name is... and I'm...,练习用My name is...和I'm...介绍自己的姓名。,45,L1,学习用My name is...和更口语的I'm...说出自己的姓名。姓名前不加冠词。,be动词 my name 姓名介绍,"## 教学说明
学习用 `My name is...` 和更口语的 `I'm...` 说出自己的姓名。

## 核心动词
`be`

## 独立主句型
`My name is ___.`",practice_foundation-beginner_姓名
介绍自己,身份与来源,Practice saying your job and where you're from. Use I'm a/an... and I'm from...,练习介绍自己的身份I'm a student/teacher和来源I'm from China/Beijing。,45,L1,学习介绍自己的基础身份和来源，并用否定句纠正错误信息。,be动词 身份 a/an 来源 from 否定 I'm not,"## 教学说明
学习介绍自己的基础身份和来源，并用否定句纠正错误信息。

## 核心动词
`be`

## 独立主句型
`I'm a/an ___. I'm from ___.`",practice_foundation-beginner_身份与来源
介绍自己,年龄与当前状态,Practice saying your age and current state. Use I'm...years old and I'm ready/not ready.,练习说年龄I'm twenty years old，以及当前状态I'm ready/I'm new here。,45,L1,"学习说年龄，并用be动词表达""新来的、准备好了、还没准备好""等当前状态。",be动词 年龄 years old 状态 ready new,"## 教学说明
学习说年龄，并用 be 动词表达""新来的、准备好了、还没准备好""等当前状态。

## 核心动词
`be`

## 独立主句型
`I'm ___ years old.`",practice_foundation-beginner_年龄与状态
认识新朋友,询问姓名与来源,Practice asking What's your name? and Where are you from?,练习主动询问对方的姓名和来源：What's your name?/Where are you from?,45,L1,学习主动询问对方的姓名和来源，而不只是被动介绍自己。,be动词 What's Where from 询问信息,"## 教学说明
学习主动询问对方的姓名和来源，而不只是被动介绍自己。

## 核心动词
`be`

## 独立主句型
`What's your name? Where are you from?`",practice_foundation-beginner_询问姓名与来源
认识新朋友,确认身份,"Practice confirming identity with Are you...? Answer Yes, I am / No, I'm not.",练习用Are you...?确认对方身份或状态，并作简短肯定/否定回答。,45,L1,学习用Are you...?确认对方的身份或状态，并作简短肯定、否定回答。,be动词 Are you 疑问句 简短回答 Yes/No,"## 教学说明
学习用 `Are you...?` 确认对方的身份或状态，并作简短肯定、否定回答。

## 核心动词
`be`

## 独立主句型
`Are you ___? — Yes, I am. / No, I'm not.`",practice_foundation-beginner_确认身份
认识新朋友,初次见面回应,Practice introducing a friend with This is my... and responding Nice to meet you.,练习介绍朋友同学This is my friend/classmate，并对初次见面作自然回应Nice to meet you。,45,L1,学习介绍朋友或同学，并对初次见面作出自然回应。,be动词 meet This is 初次见面 介绍朋友,"## 教学说明
学习介绍朋友或同学，并对初次见面作出自然回应。

## 核心动词
`be, meet`

## 独立主句型
`This is my ___. Nice to meet you.`",practice_foundation-beginner_初次见面回应
身边的物品,这是什么,Practice asking What's this?/What's that? and answering It's a/an...,练习询问并识别近处或远处的常见物品：What's this/that? — It's a key/bag/phone。,45,L1,学习询问并识别近处或远处的常见物品。,be动词 What's this that It's a/an 物品识别,"## 教学说明
学习询问并识别近处或远处的常见物品。

## 核心动词
`be`

## 独立主句型
`What's this/that? — It's a/an ___.`",practice_foundation-beginner_这是什么
