scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
日常动词用法：从会认到会用,01 做事：do 与 make,I need to do [task] before [time].,在某时前完成事务,,I need to do the laundry before dinner.,L1,0
日常动词用法：从会认到会用,01 做事：do 与 make,[Person] made [product / decision / change].,创造结果或作出决定,,We made a small change to the plan.,L1,1
日常动词用法：从会认到会用,02 获得与变化：get,I got [object / message] from [source].,从某处收到或得到,,I got a message from Mia.,L1,0
日常动词用法：从会认到会用,02 获得与变化：get,It is getting [adjective].,状态正在变化,,It is getting dark.,L1,1
日常动词用法：从会认到会用,03 拿走与花费：take,It takes [person] [time] to [verb].,做某事花费时间,,It takes me twenty minutes to walk there.,L1,0
日常动词用法：从会认到会用,03 拿走与花费：take,Please take [object] to [place / person].,把物品带离当前地点,,Please take this form to reception.,L1,1
日常动词用法：从会认到会用,04 拥有与保持：have keep hold,I have [object / experience] but I keep [object] [place / state].,对比拥有与保留,,I have a spare key and I keep it in my bag.,L1,0
日常动词用法：从会认到会用,04 拥有与保持：have keep hold,Keep [doing / object + adjective] while I hold [object].,保持动作或状态并握住物品,,Keep the door open while I hold these boxes.,L2,1
日常动词用法：从会认到会用,05 给予与传递：give bring send show,Could you give / show [person] [thing]?,把东西给某人或展示给某人,,Could you show me the receipt?,L1,0
日常动词用法：从会认到会用,05 给予与传递：give bring send show,Please bring [thing] here and send [thing] to [person].,带来实物并发送信息或物品,,Please bring the file here and send a copy to Leo.,L1,1
日常动词用法：从会认到会用,06 说话：say tell speak talk,[Person] said [words] to [person].,说出具体内容,,She said hello to me.,L1,0
日常动词用法：从会认到会用,06 说话：say tell speak talk,I told [person] about [topic] and talked to [person] about [topic].,告知某人并与某人交谈,,I told Mia about it and talked to Leo about the plan.,L2,1
日常动词用法：从会认到会用,07 看：look see watch read,Look at [object]. Can you see [detail]?,主动看并说明看见的结果,,Look at the screen. Can you see the icon?,L1,0
日常动词用法：从会认到会用,07 看：look see watch read,I am watching [moving event] and reading [text].,持续观看并阅读文字,,I am watching the news and reading the captions.,L1,1
日常动词用法：从会认到会用,08 听：hear listen sound,I can hear [sound] but I am listening to [source].,对比自然听见与主动倾听,,I can hear traffic but I am listening to you.,L1,0
日常动词用法：从会认到会用,08 听：hear listen sound,That sounds [adjective / like + noun].,表达听起来的印象,,That sounds like a good idea.,L1,1
日常动词用法：从会认到会用,09 来去与到达：go come arrive reach,I am going to [there] but [person] is coming to [here].,根据参照点表达去和来,,I am going to the café and Mia is coming here.,L1,0
日常动词用法：从会认到会用,09 来去与到达：go come arrive reach,We arrived at / in [place] and reached [destination] at [time].,使用不同到达结构,,We arrived at the station and reached the hotel at nine.,L2,1
