scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
基础句子类型与连接,先把一句话说清楚,句子骨架,I sent the message this morning.,我今天早上发了消息。,L1,主语后先放核心动词和对象，再补时间。,"[{""en"":""I sent the message this morning."",""zh"":""我今天早上发了消息。""}]"
基础句子类型与连接,把想知道的问出来,提问,Where did you put it?,你把它放哪里了？,L1,do/did 提前后，主要动词回到原形。,"[{""en"":""Where did you put it?"",""zh"":""你把它放哪里了？""}]"
基础句子类型与连接,自然地说不,否定,That is not what I meant.,那不是我的意思。,L1,用否定澄清误解。,"[{""en"":""That is not what I meant."",""zh"":""那不是我的意思。""}]"
基础句子类型与连接,难道不是吗？,否定疑问,Don't you know her?,你难道不认识她吗？,L2,带有说话人期待或惊讶。,"[{""en"":""Don't you know her already?"",""zh"":""你难道已经不认识她吗？""}]"
基础句子类型与连接,避免双重否定和误会,清晰表达,I could not see anybody.,我谁也没看见。,L2,标准英语避免在同一简单否定里再用 nobody。,"[{""en"":""I could not see anybody."",""zh"":""我谁也没看见。""}]"
基础句子类型与连接,在否定句里选对词,非肯定词,I have not seen anything yet.,我还什么都没看见。,L2,否定句里用 anything 和 yet。,"[{""en"":""I have not seen anything yet."",""zh"":""我还什么都没看见。""}]"
基础句子类型与连接,感叹、提醒和指令,反应与指令,What a beautiful view!,多么美的景色！,L1,what + 名词短语表达感叹。,"[{""en"":""What a beautiful view!"",""zh"":""多么美的景色！""}]"
基础句子类型与连接,让我们和让他做,建议,Let's take a break.,我们休息一下吧。,L1,let's 用于提出共同建议。,"[{""en"":""Let's take a break."",""zh"":""我们休息一下吧。""}]"
基础句子类型与连接,用 and but or 接住下一句,连接,It is small but comfortable.,它很小但很舒适。,L1,but 连接对比。,"[{""en"":""It is small but comfortable."",""zh"":""它很小但很舒适。""}]"
基础句子类型与连接,两个选择都说清楚,选择,Either call me or send a message.,要么给我打电话，要么发消息。,L2,either...or... 提供两个选择。,"[{""en"":""Either call me or send a message."",""zh"":""要么给我打电话，要么发消息。""}]"
基础句子类型与连接,让一句话说明原因和条件,从句,I will stay if it rains.,如果下雨我会留下。,L2,if 从句说明条件。,"[{""en"":""I will stay if it rains."",""zh"":""如果下雨我会留下。""}]"
基础句子类型与连接,介词后面和从句里的选择,从句,Who did you go with?,你和谁一起去的？,L3,口语中介词常留在句尾。,"[{""en"":""Who did you go with?"",""zh"":""你和谁一起去的？""}]"
基础句子类型与连接,建议、假设与简化时间,建议与假设,If I were you I would wait.,如果我是你，我会等一等。,L3,if I were 表示与现实不同的假设。,"[{""en"":""If I were you I would wait."",""zh"":""如果我是你，我会等一等。""}]"
