scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,ink_script_key
"语法·动词短语实战",常见动词短语,Practice common phrasal verbs like 'give up' 'look for' 'run out of' in sentences.,练习常见动词短语如 give up、look for、run out of 的用法。,45,L2,学习最基本的动词短语搭配，理解动词+介词/副词的组合含义和用法。,动词短语 搭配 语义,
"语法·动词短语实战",动词短语对话,Use phrasal verbs naturally in everyday conversations.,在日常对话中自然使用动词短语。,45,L2,在模拟对话场景中选合适的动词短语表达，体会不同语境下的用法差异。,对话应用 语境 口语,
"语法·时态精准表达",时态选择与对比,Compare and choose the right tense for different situations.,对比不同时态并选择适合语境的正确时态。,50,L2,区分一般现在、现在进行、一般过去、现在完成等常用时态的用法。,时态对比 时间状语 动词变化,
"语法·时态精准表达",时态在叙事中,Narrate a past experience using appropriate tenses.,使用时态叙述一段过去的经历。,50,L2,用过去时和完成时叙述经历，结合时间标志词使叙事连贯清晰。,叙事 过去时 完成时,
"语法·句子组织与衔接",连接词与过渡,Use linking words to connect ideas and make your speech flow.,使用连接词连接观点让你的表达更流畅。,45,L2,学习and/but/or/so/because/although/therefore等连接词的功能和用法。,连接词 并列 转折 因果,
"语法·句子组织与衔接",复杂句结构,Practice building complex sentences with clauses.,练习用从句构建复杂句子。,50,L3,学习用because/if/when/which/that等引导从句，丰富句子层次。,从句 状语从句 定语从句,
"语法·副词与状语",程度与频率副词,Use adverbs of degree and frequency to add precision.,用程度和频率副词增加表达的精确度。,45,L2,学习always/often/sometimes/never和very/quite/rather/extremely等副词的用法。,程度副词 频率副词 词序,
"语法·副词与状语","副词·方式与评论副词",Use adverbs of manner and comment adverbs to express attitude.,用方式副词和评论副词表达态度和方式。,45,L2,学习quickly/carefully/luckily/frankly/honestly等副词的用法和位置。,方式副词 评论副词 句首,
"语法·时间表达法",时间介词与连词,Practice time prepositions and conjunctions in context.,在语境中练习时间介词和连词的用法。,45,L2,学习at/in/on/when/while/before/after/until等时间表达的核心用法。,时间介词 时间连词 时间点,
"语法·时间表达法",时间从句描述,Use time clauses to describe the sequence of events.,用时间从句描述事件发生的先后顺序。,50,L2,学习用when/while/as/before/after等引导时间从句表达先后关系。,时间从句 顺序 同时,
"语法·方位与位置表达","方位·方位介词",Practice prepositions of place in everyday scenarios.,在日常场景中练习方位介词的用法。,45,L2,学习in/on/at/under/behind/between/next to等方位介词的核心用法。,方位介词 位置 空间关系,
"语法·方位与位置表达",描述位置与路线,Describe where things are and give directions.,描述物品的位置和给人指路。,50,L2,用方位介词描述物品位置，练习指路对话和路线表达。,指路 路线 地标,
