scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
"英国文化·传统与现代","王室与君主制","王室与君主制","Let me tell you about 王室与君主制.","让我给你讲讲王室与君主制。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 王室与君主制."",""zh"":""让我给你讲讲王室与君主制。""}]"
"英国文化·传统与现代","王室与君主制","王室与君主制","I find 王室与君主制 really interesting.","我觉得王室与君主制非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 王室与君主制 really interesting."",""zh"":""我觉得王室与君主制非常有趣。""}]"
"英国文化·传统与现代","王室与君主制","王室与君主制","One interesting thing about 王室与君主制 is that...","关于王室与君主制有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 王室与君主制 is that..."",""zh"":""关于王室与君主制有趣的一点是...""}]"
"英国文化·传统与现代","下午茶与美食文化","下午茶与美食文化","Let me tell you about 下午茶与美食文化.","让我给你讲讲下午茶与美食文化。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 下午茶与美食文化."",""zh"":""让我给你讲讲下午茶与美食文化。""}]"
"英国文化·传统与现代","下午茶与美食文化","下午茶与美食文化","I find 下午茶与美食文化 really interesting.","我觉得下午茶与美食文化非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 下午茶与美食文化 really interesting."",""zh"":""我觉得下午茶与美食文化非常有趣。""}]"
"英国文化·传统与现代","下午茶与美食文化","下午茶与美食文化","One interesting thing about 下午茶与美食文化 is that...","关于下午茶与美食文化有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 下午茶与美食文化 is that..."",""zh"":""关于下午茶与美食文化有趣的一点是...""}]"
"英国文化·传统与现代","英国体育与娱乐","英国体育与娱乐","Let me tell you about 英国体育与娱乐.","让我给你讲讲英国体育与娱乐。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 英国体育与娱乐."",""zh"":""让我给你讲讲英国体育与娱乐。""}]"
"英国文化·传统与现代","英国体育与娱乐","英国体育与娱乐","I find 英国体育与娱乐 really interesting.","我觉得英国体育与娱乐非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 英国体育与娱乐 really interesting."",""zh"":""我觉得英国体育与娱乐非常有趣。""}]"
"英国文化·传统与现代","英国体育与娱乐","英国体育与娱乐","One interesting thing about 英国体育与娱乐 is that...","关于英国体育与娱乐有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 英国体育与娱乐 is that..."",""zh"":""关于英国体育与娱乐有趣的一点是...""}]"
"美国文化·节日与生活方式","美国主要节日","美国主要节日","Let me tell you about 美国主要节日.","让我给你讲讲美国主要节日。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 美国主要节日."",""zh"":""让我给你讲讲美国主要节日。""}]"
"美国文化·节日与生活方式","美国主要节日","美国主要节日","I find 美国主要节日 really interesting.","我觉得美国主要节日非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 美国主要节日 really interesting."",""zh"":""我觉得美国主要节日非常有趣。""}]"
"美国文化·节日与生活方式","美国主要节日","美国主要节日","One interesting thing about 美国主要节日 is that...","关于美国主要节日有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 美国主要节日 is that..."",""zh"":""关于美国主要节日有趣的一点是...""}]"
"美国文化·节日与生活方式","美国流行文化","美国流行文化","Let me tell you about 美国流行文化.","让我给你讲讲美国流行文化。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 美国流行文化."",""zh"":""让我给你讲讲美国流行文化。""}]"
"美国文化·节日与生活方式","美国流行文化","美国流行文化","I find 美国流行文化 really interesting.","我觉得美国流行文化非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 美国流行文化 really interesting."",""zh"":""我觉得美国流行文化非常有趣。""}]"
"美国文化·节日与生活方式","美国流行文化","美国流行文化","One interesting thing about 美国流行文化 is that...","关于美国流行文化有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 美国流行文化 is that..."",""zh"":""关于美国流行文化有趣的一点是...""}]"
"全球文化·节日与习俗","亚洲文化与传统","亚洲文化与传统","Let me tell you about 亚洲文化与传统.","让我给你讲讲亚洲文化与传统。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 亚洲文化与传统."",""zh"":""让我给你讲讲亚洲文化与传统。""}]"
"全球文化·节日与习俗","亚洲文化与传统","亚洲文化与传统","I find 亚洲文化与传统 really interesting.","我觉得亚洲文化与传统非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 亚洲文化与传统 really interesting."",""zh"":""我觉得亚洲文化与传统非常有趣。""}]"
"全球文化·节日与习俗","亚洲文化与传统","亚洲文化与传统","One interesting thing about 亚洲文化与传统 is that...","关于亚洲文化与传统有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 亚洲文化与传统 is that..."",""zh"":""关于亚洲文化与传统有趣的一点是...""}]"
"全球文化·节日与习俗","世界各地的文化","世界各地的文化","Let me tell you about 世界各地的文化.","让我给你讲讲世界各地的文化。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 世界各地的文化."",""zh"":""让我给你讲讲世界各地的文化。""}]"
"全球文化·节日与习俗","世界各地的文化","世界各地的文化","I find 世界各地的文化 really interesting.","我觉得世界各地的文化非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 世界各地的文化 really interesting."",""zh"":""我觉得世界各地的文化非常有趣。""}]"
"全球文化·节日与习俗","世界各地的文化","世界各地的文化","One interesting thing about 世界各地的文化 is that...","关于世界各地的文化有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 世界各地的文化 is that..."",""zh"":""关于世界各地的文化有趣的一点是...""}]"
"现代文化·数字时代","社交媒体与数字生活","社交媒体与数字生活","Let me tell you about 社交媒体与数字生活.","让我给你讲讲社交媒体与数字生活。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 社交媒体与数字生活."",""zh"":""让我给你讲讲社交媒体与数字生活。""}]"
"现代文化·数字时代","社交媒体与数字生活","社交媒体与数字生活","I find 社交媒体与数字生活 really interesting.","我觉得社交媒体与数字生活非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 社交媒体与数字生活 really interesting."",""zh"":""我觉得社交媒体与数字生活非常有趣。""}]"
"现代文化·数字时代","社交媒体与数字生活","社交媒体与数字生活","One interesting thing about 社交媒体与数字生活 is that...","关于社交媒体与数字生活有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 社交媒体与数字生活 is that..."",""zh"":""关于社交媒体与数字生活有趣的一点是...""}]"
"现代文化·数字时代","当代社会议题","当代社会议题","Let me tell you about 当代社会议题.","让我给你讲讲当代社会议题。","L2","引入话题的标准表达。","[{""en"":""Let me tell you about 当代社会议题."",""zh"":""让我给你讲讲当代社会议题。""}]"
"现代文化·数字时代","当代社会议题","当代社会议题","I find 当代社会议题 really interesting.","我觉得当代社会议题非常有趣。","L2","表达兴趣的句式。","[{""en"":""I find 当代社会议题 really interesting."",""zh"":""我觉得当代社会议题非常有趣。""}]"
"现代文化·数字时代","当代社会议题","当代社会议题","One interesting thing about 当代社会议题 is that...","关于当代社会议题有趣的一点是...","L2","引出具体细节的句式。","[{""en"":""One interesting thing about 当代社会议题 is that..."",""zh"":""关于当代社会议题有趣的一点是...""}]"
