scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
雅思·IELTS Band 8.5 游刃有余,开怀大笑的经历,So there we were, ___.,情景设定: 描述当时的场景,completely lost in the middle of nowhere,So there we were, completely lost in the middle of nowhere, and instead of panicking, we just started laughing.,L4,0
雅思·IELTS Band 8.5 游刃有余,开怀大笑的经历,I'm not talking about ___ — I mean ___.,递进强调: 不是...而是...,a little chuckle; the kind of laughing where you can't breathe,I'm not talking about a little chuckle — I mean the kind of laughing where you can't breathe.,L4,1
雅思·IELTS Band 8.5 游刃有余,开怀大笑经历的,not despite ___ , but because of ___.,对立升华: 不是因为尽管...而是正因为...,the chaos; of it,It's one of my fondest memories — not despite the chaos, but because of it.,L4,2
雅思·IELTS Band 8.5 游刃有余,如释重负的时刻,I used to think that ___. But now I realize that ___ isn't about ___ — it's about ___.,反思框架: 从旧认知到新认知,relief was about escaping something bad; relief; avoiding pain; releasing the weight you've been carrying,I used to think that relief was about escaping something bad. But now I realize that real relief isn't about avoiding pain — it's about releasing the weight you've been carrying.,L4,3
雅思·IELTS Band 8.5 游刃有余,成功与幸福,The way I see it, we've been sold ___.,批判性观点: 我们被灌输了...,this very narrow definition of success,The way I see it, we've been sold this very narrow definition of success.,L4,4
雅思·IELTS Band 8.5 游刃有余,成功与幸福,So I guess what it comes down to is — ___.,总结提炼: 归根结底...,we need to stop letting society define success for us,So I guess what it comes down to is — we need to stop letting society define success for us.,L4,5
雅思·IELTS Band 8.5 游刃有余,社交媒体与人际关系,Here's what I find ___ — and a little ___ — ___.,复杂情感开场: 我觉得...又有点...,fascinating; unsettling; we've never been more connected yet rates of loneliness have never been higher,Here's what I find fascinating — and a little unsettling — we've never been more connected yet rates of loneliness have never been higher.,L4,6
雅思·IELTS Band 8.5 游刃有余,社交媒体与人际关系,So I guess the question isn't ___ — it's ___.,重新定义问题: 问题不是...而是...,whether social media is good or bad; whether we're using it intentionally or letting it use us,So I guess the question isn't whether social media is good or bad — it's whether we're using it intentionally or letting it use us.,L4,7
雅思·IELTS Band 8.5 游刃有余,代际差异,What I find genuinely ___ about ___ is ___.,精准聚焦: 我真心觉得...值得赞赏的是...,impressive; younger generations; their emotional intelligence,What I find genuinely impressive about younger generations is their emotional intelligence.,L4,8
雅思·IELTS Band 8.5 游刃有余,信息与智慧,The problem is that we're confusing ___ with ___, and ___ with ___.,三层区分: 我们混淆了...和...,information; knowledge; knowledge; wisdom,The problem is that we're confusing information with knowledge, and knowledge with wisdom.,L4,9
雅思·IELTS Band 8.5 游刃有余,信息与智慧,There's a huge difference between ___ and ___.,对立区分: ...和...有很大区别,being well-informed; being overwhelmed,There's a huge difference between being well-informed and being overwhelmed.,L4,10
雅思·IELTS Band 8.5 游刃有余,竞争与合作,I'm not saying ___ — I think ___. But I think the optimal balance is ___.,平衡立场: 不是...而是最优平衡是...,competition is bad; it can push us to achieve things we wouldn't on our own; competition with a foundation of cooperation,I'm not saying competition is bad — I think it can push us to achieve things we wouldn't on our own. But I think the optimal balance is competition with a foundation of cooperation.,L4,11
雅思·IELTS Band 8.5 游刃有余,竞争与合作,So I guess what it comes down to is — the question isn't ___. It's ___.,重新定义核心问题: 问题不是...而是...,which one is better; how we combine them,So I guess what it comes down to is — the question isn't which one is better. It's how we combine them.,L4,12
