scene_title,topic_title,pattern,meaning,slots,example,difficulty,sort_order
基础⑦·计划与预测,我打算…,I'm going to ___.,我打算...,travel / study abroad / buy a car / move / get married,I'm going to travel next month.,L1~L2,0
基础⑦·计划与预测,我打算…,What are you going to ___?,你打算...什么？,do this weekend / eat / wear / buy / study,What are you going to do this weekend?,L1~L2,1
基础⑦·计划与预测,我打算…,Are you going to ___? — Yes I am.,你打算...吗？,come / stay / join us / eat here / leave soon,Are you going to join us? Yes I am.,L1~L2,2
基础⑦·计划与预测,我打算…,I'll ___.,我会...,call you later / be right back / see you there / do it now,I'll call you later.,L1~L2,3
基础⑦·计划与预测,我打算…,I will ___.,我将会...,study harder / try my best / never give up / always remember you,I will study harder this year.,L1~L2,4
基础⑦·计划与预测,我打算…,She's going to ___.,她快要...,have a baby / start a new job / graduate / take a test,She's going to have a baby.,L1~L2,5
基础⑦·计划与预测,将会怎样,It will ___ tomorrow.,明天会...,rain / snow / be hot / be sunny / get dark soon,It will rain tomorrow.,L1~L2,6
基础⑦·计划与预测,将会怎样,It's going to ___. Look at ___.,快要...了！看...,rain / those clouds / snow / the sky / be fun / the weather,It's going to rain. Look at those clouds!,L1~L2,7
基础⑦·计划与预测,将会怎样,I will be ___.,我将会是...,25 next month / there / ready / on time / a doctor someday,I will be 25 next month.,L1~L2,8
基础⑦·计划与预测,将会怎样,Everything will be ___.,一切都会...,okay / fine / great / better / ready soon,Everything will be okay.,L1~L2,9
基础⑦·计划与预测,将会怎样,The ___ will start at ___.,...会在...开始,meeting / 3 pm / class / 9 am / movie / 7 pm / party / 8,The meeting will start at 3 pm.,L1~L2,10
基础⑦·计划与预测,将会怎样,___ will probably ___.,...可能会...,He / be late / She / come / He / call / They / forget / He / say no,He will probably be late.,L1~L2,11
基础⑦·计划与预测,将会怎样,There will be ___.,会有...,a lot of people / a test tomorrow / free food / a big party,There will be a lot of people at the concert.,L1~L2,12
基础⑦·能力与请求,我能/会…,I can ___.,我能...,swim / speak English / drive / cook / play guitar / run fast,I can swim.,L1~L2,13
基础⑦·能力与请求,我能/会…,I can't ___.,我不能/会...,speak French / sing / dance / run fast / understand this / find my keys,I can't speak French.,L1~L2,14
基础⑦·能力与请求,我能/会…,She can ___ very ___.,她...非常...,sing / well / draw / beautifully / cook / deliciously / run / fast,She can sing very well.,L1~L2,15
基础⑦·能力与请求,请求帮助,Can you ___? — Sure.,你能...吗？,help me / open the door / pass the salt / wait a moment / take a photo,Can you help me? Sure.,L1~L2,16
基础⑦·能力与请求,请求许可,Can I ___? — Yes of course.,我能...吗？,use your phone / sit here / come in / borrow this / ask a question,Can I use your phone? Yes of course.,L1~L2,17
基础⑦·能力与请求,请求许可,Can I have ___? — Here you go.,我能要...吗？,a glass of water / the menu / more time / a tissue / your name,Can I have a glass of water?,L1~L2,18
