scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,ink_script_key
宿舍入住,办理入住,"You've just arrived at the student dormitory. The receptionist asks: 'How can I help you?'",你刚到学生宿舍，前台工作人员问你需要什么帮助。,60,L2,"你是一名刚到国外的留学生，需要去学校宿舍办理入住。前台工作人员 Sarah 会协助你完成入住流程。","1. 入住登记常用句式\n2. 礼貌用语\n3. 宿舍相关词汇",practice_check_in
宿舍入住,询问设施,"Ask the receptionist about Wi-Fi, laundry, and kitchen facilities.",询问前台关于 Wi-Fi、洗衣房和厨房设施。,45,L2,,,
宿舍入住,描述宿舍问题,"Your room has a problem. Call the reception to report it.",你的房间有问题，打电话向前台报修。,45,L2,,,
宿舍入住,询问室友生活习惯,"Ask your new roommate about their daily habits.",询问新室友的日常生活习惯。,40,L1,,,
宿舍入住,签收快递,"You received a package. Ask the front desk how to pick it up.",你有快递到了，问前台怎么领取。,30,L1,,,
宿舍入住,申请换房间,"You want to change rooms. Explain your reason to the staff.",你想换房间，向工作人员说明原因。,50,L2,,,
机场入境,说明来访目的,"The immigration officer asks: 'What is the purpose of your visit?'",入境官问你来访目的是什么。,60,L2,,,
机场入境,行李丢失申报,"Your luggage is missing. Report it at the baggage claim office.",你的行李丢了，在行李认领处申报。,50,L2,,,
机场入境,转机问路,"You need to find your connecting flight gate. Ask airport staff.",你需要找转机登机口，向机场工作人员问路。,40,L1,,,
机场入境,购买交通卡,"Ask at the information desk about getting a travel card.",在问讯处询问如何购买交通卡。,35,L1,,,
认识室友,初次见面,"You meet your new roommate for the first time. Introduce yourself.",你第一次见到新室友，请自我介绍。,45,L1,,,
认识室友,聊家乡,"Your roommate asks: 'Tell me about your hometown.'",室友让你介绍一下你的家乡。,60,L2,,,
认识室友,邀请一起吃饭,"Invite your roommate to have dinner together.",邀请室友一起去吃饭。,35,L1,,,
认识室友,商量宿舍规则,"Discuss room rules with your roommate about noise and cleaning.",和室友商量宿舍规则（噪音、卫生等）。,50,L2,,,
认识室友,分享兴趣爱好,"Share your hobbies and interests with your roommate.",和室友分享你的兴趣爱好。,50,L2,,,
咖啡店点餐,点咖啡,"You're at a coffee shop. Order your favorite drink.",你在咖啡店，请点你喜欢的饮品。,30,L1,,,
咖啡店点餐,修改订单,"You changed your mind. Ask to modify your order.",你改变主意了，要求修改订单。,30,L1,,,
咖啡店点餐,询问推荐饮品,"Ask the barista what they recommend.",问咖啡师有什么推荐的饮品。,30,L1,,,
咖啡店点餐,办理会员卡,"Ask about the loyalty card program at the coffee shop.",询问咖啡店的会员卡计划。,40,L2,,,
咖啡店点餐,投诉饮品问题,"Your drink was made wrong. Politely tell the barista.",你的饮品做错了，礼貌地告诉咖啡师。,35,L2,,,
超市购物,询问商品位置,"Ask a store employee where to find a specific item.",问店员某个商品在哪。,30,L1,,,
超市购物,退货,"You bought the wrong item. Ask to return it.",你买错了商品，要求退货。,40,L2,,,
超市购物,询问优惠活动,"Ask about current promotions and discounts.",询问当前有什么优惠活动。,30,L1,,,
超市购物,自助结账遇到问题,"The self-checkout machine has an error. Ask for help.",自助结账机出错了，请工作人员帮忙。,35,L1,,,
打车出行,打车去机场,"Call a taxi to the airport. Tell the driver the address.",打车去机场，告诉司机地址。,40,L1,,,
打车出行,和司机聊天,"Make small talk with the taxi driver.",和出租车司机闲聊。,45,L2,,,
打车出行,投诉司机,"Call the taxi company to complain about a driver.",打电话给出租车公司投诉司机。,50,L2,,,
打车出行,约车去聚会,"Book a taxi to pick you up for a party.",约车去参加聚会。,35,L1,,,
面试自我介绍,1分钟自我介绍,"Introduce yourself in a job interview in 1 minute.",在面试中做1分钟自我介绍。,60,L3,,,
面试自我介绍,描述过往经历,"Describe your previous work or internship experience.",描述你之前的工作或实习经历。,60,L3,,,
面试自我介绍,回答优缺点,"Answer the classic interview question: what are your strengths and weaknesses?",回答面试经典问题：你的优缺点是什么？,50,L3,,,
小组讨论,提出观点,"Express your opinion on the group discussion topic.",在小组讨论中表达你的观点。,45,L3,,,
小组讨论,回应不同意见,"Someone disagrees with you. Respond politely.",有人不同意你的观点，礼貌地回应。,45,L3,,,
小组讨论,总结讨论,"Summarize the group discussion and propose next steps.",总结小组讨论并提出下一步计划。,50,L3,,,
预约看病,电话预约,"Call the clinic to make an appointment with a doctor.",打电话给诊所预约看医生。,45,L2,,,
预约看病,描述症状,"Describe your symptoms to the doctor.",向医生描述你的症状。,60,L2,,,
药房买药,询问药品,"Ask the pharmacist about medicine for a cold.",向药剂师询问感冒药。,35,L1,,,
药房买药,阅读说明书,"Ask the pharmacist to explain the dosage instructions.",请药剂师解释用药说明。,40,L2,,,
酒店入住,办理入住,"Check in at a hotel. Tell them you have a reservation.",在酒店办理入住，告知有预订。,45,L2,,,
酒店入住,询问设施,"Ask about hotel facilities like the gym and pool.",询问酒店设施如健身房和游泳池。,35,L1,,,
