scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"英国文化·传统与现代","王室与君主制","monarchy","君主制","noun","/ˈmɑːnərki/","/ˈmɑːnərki/","L2","由国王或女王统治的国家制度。","[{""en"":""The UK is a constitutional monarchy."",""zh"":""英国是君主立宪制国家。""}]",0
"英国文化·传统与现代","王室与君主制","royal family","王室","noun","/ˈrɔɪəl ˈfæməli/","/ˈrɔɪəl ˈfæməli/","L2","国王/女王及其亲属。","[{""en"":""The royal family lives in Buckingham Palace."",""zh"":""王室住在白金汉宫。""}]",1
"英国文化·传统与现代","王室与君主制","coronation","加冕典礼","noun","/ˌkɔːrəˈneɪʃən/","/ˌkɔːrəˈneɪʃən/","L2","君主登基仪式。","[{""en"":""The coronation was a grand ceremony."",""zh"":""加冕典礼是一场盛大的仪式。""}]",2
"英国文化·传统与现代","王室与君主制","castle","城堡","noun","/ˈkæsəl/","/ˈkæsəl/","L1","中世纪贵族居住的大型建筑。","[{""en"":""Windsor Castle is the oldest inhabited castle."",""zh"":""温莎城堡是最古老的有人居住的城堡。""}]",3
"英国文化·传统与现代","王室与君主制","guard","卫兵","noun","/ɡɑːrd/","/ɡɑːrd/","L1","保护重要人物或建筑的人。","[{""en"":""The guards wear red uniforms and bearskin hats."",""zh"":""卫兵穿着红色制服和熊皮帽子。""}]",4
"英国文化·传统与现代","王室与君主制","ceremony","仪式","noun","/ˈserəmoʊni/","/ˈserəmoʊni/","L2","正式的典礼或庆祝活动。","[{""en"":""The changing of the guard is a daily ceremony."",""zh"":""卫兵换岗是每天的仪式。""}]",5
"英国文化·传统与现代","王室与君主制","tradition","传统","noun","/trəˈdɪʃən/","/trəˈdɪʃən/","L2","代代相传的习俗。","[{""en"":""This tradition dates back hundreds of years."",""zh"":""这个传统可以追溯到几百年前。""}]",6
"英国文化·传统与现代","王室与君主制","throne","王座","noun","/θroʊn/","/θroʊn/","L2","国王或女王的座位，象征权力。","[{""en"":""The king sat on his throne."",""zh"":""国王坐在他的王座上。""}]",7
"英国文化·传统与现代","下午茶与美食文化","afternoon tea","下午茶","noun","/ˌæftərˈnuːn tiː/","/ˌæftərˈnuːn tiː/","L2","英国传统，下午享用的茶点。","[{""en"":""Afternoon tea includes sandwiches and scones."",""zh"":""下午茶包括三明治和司康饼。""}]",0
"英国文化·传统与现代","下午茶与美食文化","scone","司康饼","noun","/skoʊn/","/skoʊn/","L2","英式烤饼，配奶油和果酱。","[{""en"":""Scones are served with clotted cream and jam."",""zh"":""司康饼配凝脂奶油和果酱。""}]",1
"英国文化·传统与现代","下午茶与美食文化","pub","酒吧","noun","/pʌb/","/pʌb/","L1","英式小酒馆，提供酒和简餐。","[{""en"":""Let's meet at the pub for lunch."",""zh"":""我们去酒吧吃午饭吧。""}]",2
"英国文化·传统与现代","下午茶与美食文化","fish and chips","炸鱼薯条","noun","/fɪʃ ænd tʃɪps/","/fɪʃ ænd tʃɪps/","L1","英国最经典的食物。","[{""en"":""Fish and chips is a British classic."",""zh"":""炸鱼薯条是英国经典美食。""}]",3
"英国文化·传统与现代","下午茶与美食文化","cuisine","菜系/烹饪","noun","/kwɪˈziːn/","/kwɪˈziːn/","L2","某国家或地区的烹饪风格。","[{""en"":""British cuisine has improved a lot."",""zh"":""英国菜系进步了很多。""}]",4
"英国文化·传统与现代","下午茶与美食文化","roast dinner","周日烤肉","noun","/roʊst ˈdɪnər/","/roʊst ˈdɪnər/","L2","英国传统周日烤肉大餐。","[{""en"":""A traditional roast dinner has meat, potatoes, and vegetables."",""zh"":""传统的周日烤肉有肉、土豆和蔬菜。""}]",5
"英国文化·传统与现代","下午茶与美食文化","teapot","茶壶","noun","/ˈtiːpɑːt/","/ˈtiːpɑːt/","L1","泡茶用的壶。","[{""en"":""She poured tea from the teapot."",""zh"":""她从茶壶里倒茶。""}]",6
"英国文化·传统与现代","下午茶与美食文化","etiquette","礼仪","noun","/ˈetɪket/","/ˈetɪket/","L2","社交场合的行为规范。","[{""en"":""There is a certain etiquette for afternoon tea."",""zh"":""喝下午茶有一定的礼仪。""}]",7
"英国文化·传统与现代","英国体育与娱乐","football","足球","noun","/ˈfʊtbɔːl/","/ˈfʊtbɔːl/","L1","英国最流行的运动。美式叫soccer。","[{""en"":""Football is the most popular sport in the UK."",""zh"":""足球是英国最流行的运动。""}]",0
"英国文化·传统与现代","英国体育与娱乐","Premier League","英超联赛","noun","/prɪˈmɪr liːɡ/","/prɪˈmɪr liːɡ/","L2","英格兰顶级足球联赛。","[{""en"":""The Premier League is watched worldwide."",""zh"":""英超联赛在全球被观看。""}]",1
"英国文化·传统与现代","英国体育与娱乐","Wimbledon","温布尔登网球赛","noun","/ˈwɪmbldən/","/ˈwɪmbldən/","L2","世界最古老的网球锦标赛。","[{""en"":""Wimbledon is the oldest tennis tournament."",""zh"":""温布尔登是最古老的网球锦标赛。""}]",2
"英国文化·传统与现代","英国体育与娱乐","cricket","板球","noun","/ˈkrɪkɪt/","/ˈkrɪkɪt/","L2","英联邦国家流行的球类运动。","[{""en"":""Cricket matches can last for days."",""zh"":""板球比赛可以持续好几天。""}]",3
"英国文化·传统与现代","英国体育与娱乐","match","比赛","noun","/mætʃ/","/mætʃ/","L1","体育比赛。","[{""en"":""Did you watch the match last night?"",""zh"":""你昨晚看比赛了吗？""}]",4
"英国文化·传统与现代","英国体育与娱乐","tournament","锦标赛","noun","/ˈtʊrnəmənt/","/ˈtʊrnəmənt/","L2","系列比赛组成的赛事。","[{""en"":""The tournament attracts the best players."",""zh"":""这个锦标赛吸引了最好的选手。""}]",5
"英国文化·传统与现代","英国体育与娱乐","stadium","体育场","noun","/ˈsteɪdiəm/","/ˈsteɪdiəm/","L2","大型体育场馆。","[{""en"":""Wembley Stadium holds 90,000 people."",""zh"":""温布利体育场可容纳9万人。""}]",6
"英国文化·传统与现代","英国体育与娱乐","fan","粉丝/球迷","noun","/fæn/","/fæn/","L1","热情支持某队或某人的追随者。","[{""en"":""The fans were singing in the stadium."",""zh"":""球迷们在体育场里唱歌。""}]",7
"美国文化·节日与生活方式","美国主要节日","Thanksgiving","感恩节","noun","/ˌθæŋksˈɡɪvɪŋ/","/ˌθæŋksˈɡɪvɪŋ/","L2","美国11月第四个星期四，家庭团聚感恩。","[{""en"":""We have turkey and pumpkin pie on Thanksgiving."",""zh"":""感恩节我们吃火鸡和南瓜派。""}]",0
"美国文化·节日与生活方式","美国主要节日","Independence Day","独立日","noun","/ˌɪndɪˈpendəns deɪ/","/ˌɪndɪˈpendəns deɪ/","L2","7月4日，美国国庆日，放烟花。","[{""en"":""We watch fireworks on Independence Day."",""zh"":""独立日我们看烟花。""}]",1
"美国文化·节日与生活方式","美国主要节日","turkey","火鸡","noun","/ˈtɜːrki/","/ˈtɜːrki/","L1","感恩节传统主菜。","[{""en"":""Roast turkey is the centerpiece of Thanksgiving."",""zh"":""烤火鸡是感恩节的主菜。""}]",2
"美国文化·节日与生活方式","美国主要节日","fireworks","烟花","noun","/ˈfaɪrwɜːrks/","/ˈfaɪrwɜːrks/","L1","节日庆典的烟火表演。","[{""en"":""The fireworks display lasted 20 minutes."",""zh"":""烟花表演持续了20分钟。""}]",3
"美国文化·节日与生活方式","美国主要节日","parade","游行","noun","/pəˈreɪd/","/pəˈreɪd/","L2","节日庆祝的游行队伍。","[{""en"":""The Macy's parade is a Thanksgiving tradition."",""zh"":""梅西游行是感恩节的传统。""}]",4
"美国文化·节日与生活方式","美国主要节日","barbecue","烧烤","noun","/ˈbɑːrbɪkjuː/","/ˈbɑːrbɪkjuː/","L1","户外烤肉聚会，独立日必备。","[{""en"":""We had a barbecue to celebrate the holiday."",""zh"":""我们烧烤庆祝节日。""}]",5
"美国文化·节日与生活方式","美国主要节日","flag","国旗","noun","/flæɡ/","/flæɡ/","L1","美国国旗（Stars and Stripes）。","[{""en"":""People display American flags on July 4th."",""zh"":""人们在7月4日展示美国国旗。""}]",6
"美国文化·节日与生活方式","美国主要节日","pilgrim","清教徒","noun","/ˈpɪlɡrɪm/","/ˈpɪlɡrɪm/","L2","1620年乘五月花号到美洲的英国移民。","[{""en"":""The Pilgrims had the first Thanksgiving with Native Americans."",""zh"":""清教徒和美洲原住民举行了第一个感恩节。""}]",7
"美国文化·节日与生活方式","美国流行文化","Hollywood","好莱坞","noun","/ˈhɑːliwʊd/","/ˈhɑːliwʊd/","L2","美国电影工业中心。","[{""en"":""Hollywood produces hundreds of movies each year."",""zh"":""好莱坞每年制作数百部电影。""}]",0
"美国文化·节日与生活方式","美国流行文化","blockbuster","大片","noun","/ˈblɑːkbʌstər/","/ˈblɑːkbʌstər/","L2","高票房的大制作电影。","[{""en"":""The new superhero movie is a blockbuster."",""zh"":""这部新的超级英雄电影是一部大片。""}]",1
