scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
基础⑥·过去的状态,我以前是/有,was,是(过去式),verb,/wʌz/,/wɒz/,L1,am/is的过去式。I was tired.,"[{"en":"I was a student before.","zh":"我以前是学生。"}]",0
基础⑥·过去的状态,我以前是/有,were,是(过去式-复数),verb,/wɜːr/,/wɜː/,L1,are的过去式。We were happy.,"[{"en":"They were classmates.","zh":"他们以前是同学。"}]",1
基础⑥·过去的状态,我以前是/有,had,有(过去式),verb,/hæd/,/hæd/,L1,have/has的过去式。I had a dog.,"[{"en":"I had a cat when I was young.","zh":"我小时候有只猫。"}]",2
基础⑥·过去的状态,我以前是/有,used to,曾经,phrase,/juːst tə/,/juːst tə/,L1,过去常常。used to do。,"[{"en":"I used to live in Shanghai.","zh":"我曾经住在上海。"}]",3
基础⑥·过去的状态,我以前是/有,in the past,在过去,phrase,/ɪn ðə pæst/,/ɪn ðə pɑːst/,L1,在过去。in the past。,"[{"en":"In the past, people wrote letters.","zh":"过去人们写信。"}]",4
基础⑥·过去的状态,我以前是/有,back then,那时候,phrase,/bæk ðen/,/bæk ðen/,L1,那时候。口语常用。,"[{"en":"Back then, I was very shy.","zh":"那时候我很害羞。"}]",5
基础⑥·过去的状态,我以前是/有,childhood,童年,noun,/ˈtʃaɪldhʊd/,/ˈtʃaɪldhʊd/,L1,童年。childhood memory。,"[{"en":"I had a happy childhood.","zh":"我有一个快乐的童年。"}]",6
基础⑥·过去的状态,我以前是/有,previous,之前的,adj,/ˈpriːviəs/,/ˈpriːviəs/,L1,之前的。previous job。,"[{"en":"My previous job was in a bank.","zh":"我之前的工作在银行。"}]",8
基础⑥·过去的状态,我以前是/有,former,以前的,adj,/ˈfɔːrmər/,/ˈfɔːmə/,L1,以前的。former boss。,"[{"en":"My former teacher was very kind.","zh":"我以前的老师很善良。"}]",9
基础⑥·过去的状态,我以前是/有,at that time,那时,phrase,/æt ðæt taɪm/,/æt ðæt taɪm/,L1,在那时。at that time。,"[{"en":"At that time, I was too young.","zh":"那时我太年轻了。"}]",10
基础⑥·过去的状态,我以前是/有,those days,那些日子,phrase,/ðoʊz deɪz/,/ðəʊz deɪz/,L1,那些日子。回忆过去。,"[{"en":"I miss those days.","zh":"我想念那些日子。"}]",11
基础⑥·过去的状态,昨天在哪里,at home,在家,phrase,/æt hoʊm/,/æt həʊm/,L1,在家。I was at home.,"[{"en":"I was at home all day yesterday.","zh":"我昨天整天在家。"}]",0
基础⑥·过去的状态,昨天在哪里,at work,在工作,phrase,/æt wɜːrk/,/æt wɜːk/,L1,在工作。She was at work.,"[{"en":"He was at work when I called.","zh":"我打电话时他在工作。"}]",1
基础⑥·过去的状态,昨天在哪里,at school,在学校,phrase,/æt skuːl/,/æt skuːl/,L1,在学校。We were at school.,"[{"en":"Were you at school yesterday?","zh":"你昨天在学校吗？"}]",2
基础⑥·过去的状态,昨天在哪里,outside,在外面,adv,/aʊtˈsaɪd/,/aʊtˈsaɪd/,L1,在外面。It was outside.,"[{"en":"The cat was outside all night.","zh":"猫整晚都在外面。"}]",3
基础⑥·过去的状态,昨天在哪里,inside,在里面,adv,/ɪnˈsaɪd/,/ɪnˈsaɪd/,L1,在里面。inside the house。,"[{"en":"We were inside because of the rain.","zh":"因为下雨我们在里面。"}]",4
基础⑥·过去的状态,昨天在哪里,nowhere,无处,adv,/ˈnoʊwer/,/ˈnəʊweə/,L1,无处。nowhere to go。,"[{"en":"There was nowhere to sit.","zh":"没有地方坐。"}]",6
基础⑥·过去的状态,昨天在哪里,alone,独自,adj/adv,/əˈloʊn/,/əˈləʊn/,L1,独自。I was alone.,"[{"en":"She was alone at home.","zh":"她独自在家。"}]",7
基础⑥·过去的状态,昨天在哪里,missing,失踪的/缺失的,adj,/ˈmɪsɪŋ/,/ˈmɪsɪŋ/,L1,不见的。was missing。,"[{"en":"My keys were missing.","zh":"我的钥匙不见了。"}]",8
基础⑥·过去的状态,昨天在哪里,present,在场的,adj,/ˈprezənt/,/ˈprezənt/,L1,在场的。was present。,"[{"en":"Were you present at the meeting?","zh":"你在会议现场吗？"}]",9
基础⑥·过去的状态,昨天在哪里,absent,缺席的,adj,/ˈæbsənt/,/ˈæbsənt/,L1,缺席的。was absent。,"[{"en":"He was absent yesterday.","zh":"他昨天缺席了。"}]",10
基础⑥·过去的动作,昨天做了什么,arrive,到达,verb,/əˈraɪv/,/əˈraɪv/,L1,到达。arrived at 3pm。,"[{"en":"He arrived late last night.","zh":"他昨晚到得很晚。"}]",1
基础⑥·过去的动作,昨天做了什么,move,移动/搬家,verb,/muːv/,/muːv/,L1,移动。moved to a new place。,"[{"en":"We moved here last year.","zh":"我们去年搬来的。"}]",2
基础⑥·过去的动作,昨天做了什么,drop,掉落/放弃,verb,/drɑːp/,/drɒp/,L1,掉落。dropped my phone。,"[{"en":"I dropped my phone yesterday.","zh":"我昨天把手机掉了。"}]",3
基础⑥·过去的动作,昨天做了什么,pick,捡/摘,verb,/pɪk/,/pɪk/,L1,捡。picked up the book。,"[{"en":"I picked up the letter.","zh":"我捡起了信。"}]",4
基础⑥·过去的动作,昨天做了什么,show,展示,verb,/ʃoʊ/,/ʃəʊ/,L1,展示。showed me around。,"[{"en":"She showed me her new house.","zh":"她给我看了她的新房子。"}]",5
基础⑥·过去的动作,昨天做了什么,check,检查,verb,/tʃek/,/tʃek/,L1,检查。checked my email。,"[{"en":"I checked my phone this morning.","zh":"我今天早上查了手机。"}]",7
基础⑥·过去的动作,昨天做了什么,plan,计划,verb,/plæn/,/plæn/,L1,计划。planned a trip。,"[{"en":"We planned a surprise party.","zh":"我们计划了一个惊喜派对。"}]",8
基础⑥·过去的动作,昨天做了什么,reply,回复,verb,/rɪˈplaɪ/,/rɪˈplaɪ/,L1,回复。replied to my message。,"[{"en":"She replied to my email.","zh":"她回复了我的邮件。"}]",10
基础⑥·过去的动作,昨天做了什么,seem,似乎/好像,verb,/siːm/,/siːm/,L1,似乎。seemed happy。,"[{"en":"He seemed tired yesterday.","zh":"他昨天似乎很累。"}]",11
基础⑥·过去的动作,不规则动词,went,去(go的过去式),verb,/went/,/went/,L1,去。原形go。,"[{"en":"I went to the store yesterday.","zh":"我昨天去了商店。"}]",0
基础⑥·过去的动作,不规则动词,saw,看见(see的过去式),verb,/sɔː/,/sɔː/,L1,看见。原形see。,"[{"en":"I saw a great movie last night.","zh":"我昨晚看了一部好电影。"}]",1
基础⑥·过去的动作,不规则动词,said,说(say的过去式),verb,/sed/,/sed/,L1,说。原形say。,"[{"en":"He said he was tired.","zh":"他说他累了。"}]",2
基础⑥·过去的动作,不规则动词,got,得到/变得(get的过去式),verb,/ɡɑːt/,/ɡɒt/,L1,得到。原形get。,"[{"en":"I got home very late.","zh":"我到家很晚。"}]",3
基础⑥·过去的动作,不规则动词,made,做/制作(make的过去式),verb,/meɪd/,/meɪd/,L1,制作。原形make。,"[{"en":"She made a cake for me.","zh":"她给我做了个蛋糕。"}]",4
基础⑥·过去的动作,不规则动词,gave,给(give的过去式),verb,/ɡeɪv/,/ɡeɪv/,L1,给。原形give。,"[{"en":"He gave me a book.","zh":"他给了我一本书。"}]",5
基础⑥·过去的动作,不规则动词,took,拿/花费(take的过去式),verb,/tʊk/,/tʊk/,L1,拿。原形take。,"[{"en":"I took a lot of pictures.","zh":"我拍了很多照片。"}]",6
基础⑥·过去的动作,不规则动词,thought,想(think的过去式),verb,/θɔːt/,/θɔːt/,L1,想。原形think。,"[{"en":"I thought about you.","zh":"我想起你了。"}]",8
基础⑥·过去的动作,不规则动词,found,找到(find的过去式),verb,/faʊnd/,/faʊnd/,L1,找到。原形find。,"[{"en":"I found my wallet!","zh":"我找到钱包了！"}]",10
基础⑥·过去的动作,不规则动词,told,告诉(tell的过去式),verb,/toʊld/,/təʊld/,L1,告诉。原形tell。,"[{"en":"She told me the news.","zh":"她告诉了我这个消息。"}]",11
基础⑥·讲述经历,上个周末/去年,experience,经历,noun,/ɪkˈspɪriəns/,/ɪkˈspɪəriəns/,L1,经历。an amazing experience。,"[{"en":"Tell me about your experience.","zh":"跟我说说你的经历。"}]",0
基础⑥·讲述经历,上个周末/去年,event,事件/活动,noun,/ɪˈvent/,/ɪˈvent/,L1,事件。a special event。,"[{"en":"I went to an event last month.","zh":"我上个月参加了一个活动。"}]",2
基础⑥·讲述经历,上个周末/去年,trip,旅行,noun,/trɪp/,/trɪp/,L1,旅行。a trip to Beijing。,"[{"en":"I took a trip to Shanghai last year.","zh":"我去年去上海旅行了。"}]",3
基础⑥·讲述经历,上个周末/去年,journey,旅程,noun,/ˈdʒɜːrni/,/ˈdʒɜːni/,L1,旅程。a long journey。,"[{"en":"The journey took three hours.","zh":"旅程花了三个小时。"}]",4
基础⑥·讲述经历,上个周末/去年,party,派对,noun,/ˈpɑːrti/,/ˈpɑːti/,L1,派对。a birthday party。,"[{"en":"I went to a party last night.","zh":"我昨晚去了一个派对。"}]",5
基础⑥·讲述经历,上个周末/去年,guest,客人,noun,/ɡest/,/ɡest/,L1,客人。a special guest。,"[{"en":"We had guests over last weekend.","zh":"上周末我们有客人来。"}]",6
基础⑥·讲述经历,上个周末/去年,host,主人/主办,noun/verb,/hoʊst/,/həʊst/,L1,主人。host a party。,"[{"en":"Who hosted the dinner?","zh":"谁主办的晚宴？"}]",7
基础⑥·讲述经历,上个周末/去年,memory,回忆,noun,/ˈmeməri/,/ˈmeməri/,L1,回忆。a good memory。,"[{"en":"I have a great memory of that day.","zh":"我对那天有美好的回忆。"}]",8
基础⑥·讲述经历,上个周末/去年,story,故事,noun,/ˈstɔːri/,/ˈstɔːri/,L1,故事。tell a story。,"[{"en":"Can you tell me a story?","zh":"你能给我讲个故事吗？"}]",9
