scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
不规则动词专项,日常起居,wake,醒来,v.,,,L2,核心：wake→woke→woken（ABC）,[],0
不规则动词专项,日常起居,awake,醒来、唤醒,v.,,,L2,核心：awake→awoke→awoken（ABC）,[],1
不规则动词专项,日常起居,get,得到、起床,v.,,,L2,核心：get→got→got（ABB）,[],2
不规则动词专项,日常起居,sleep,睡觉,v.,,,L2,核心：sleep→slept→slept（ABB）,[],3
不规则动词专项,日常起居,sit,坐,v.,,,L2,核心：sit→sat→sat（ABB）,[],4
不规则动词专项,日常起居,stand,站立,v.,,,L2,核心：stand→stood→stood（ABB）,[],5
不规则动词专项,日常起居,lie,躺,v.,,,L2,核心：lie→lay→lain（ABC）,[],6
不规则动词专项,日常起居,lay,放置,v.,,,L2,核心：lay→laid→laid（ABB）,[],7
不规则动词专项,日常起居,put,放,v.,,,L2,核心：put→put→put（AAA）,[],8
不规则动词专项,日常起居,set,设置、放置,v.,,,L2,核心：set→set→set（AAA）,[],9
不规则动词专项,日常起居,shut,关闭,v.,,,L2,核心：shut→shut→shut（AAA）,[],10
不规则动词专项,日常起居,light,点燃、照亮,v.,,,L2,核心：light→lit→lit（ABB）,[],11
不规则动词专项,日常起居,eat,吃,v.,,,L2,核心：eat→ate→eaten（ABC）,[],12
不规则动词专项,日常起居,drink,喝,v.,,,L2,核心：drink→drank→drunk（ABC）,[],13
不规则动词专项,日常起居,feed,喂养,v.,,,L2,核心：feed→fed→fed（ABB）,[],14
不规则动词专项,日常起居,bite,咬,v.,,,L2,核心：bite→bit→bitten（ABC）,[],15
不规则动词专项,日常起居,alarm,闹钟,n.,,,L2,扩展,[],16
不规则动词专项,日常起居,blanket,毯子,n.,,,L2,扩展,[],17
不规则动词专项,日常起居,pillow,枕头,n.,,,L2,扩展,[],18
不规则动词专项,日常起居,toothbrush,牙刷,n.,,,L2,扩展,[],19
不规则动词专项,日常起居,soap,肥皂,n.,,,L2,扩展,[],20
不规则动词专项,来去与移动,go,去,v.,,,L2,核心：go→went→gone（ABC）,[],0
不规则动词专项,来去与移动,come,来,v.,,,L2,核心：come→came→come（ABA）,[],1
不规则动词专项,来去与移动,become,变成,v.,,,L2,核心：become→became→become（ABA）,[],2
不规则动词专项,来去与移动,rise,升起,v.,,,L2,核心：rise→rose→risen（ABC）,[],3
不规则动词专项,来去与移动,arise,发生、升起,v.,,,L2,核心：arise→arose→arisen（ABC）,[],4
不规则动词专项,来去与移动,leave,离开,v.,,,L2,核心：leave→left→left（ABB）,[],5
不规则动词专项,来去与移动,lead,带领,v.,,,L2,核心：lead→led→led（ABB）,[],6
不规则动词专项,来去与移动,fall,掉落,v.,,,L2,核心：fall→fell→fallen（ABC）,[],7
不规则动词专项,来去与移动,ride,骑,v.,,,L2,核心：ride→rode→ridden（ABC）,[],8
不规则动词专项,来去与移动,drive,驾驶,v.,,,L2,核心：drive→drove→driven（ABC）,[],9
不规则动词专项,来去与移动,fly,飞,v.,,,L2,核心：fly→flew→flown（ABC）,[],10
不规则动词专项,来去与移动,swim,游泳,v.,,,L2,核心：swim→swam→swum（ABC）,[],11
不规则动词专项,来去与移动,slide,滑动,v.,,,L2,核心：slide→slid→slid（ABB）,[],12
不规则动词专项,来去与移动,leap,跳跃,v.,,,L2,核心：leap→leapt→leapt（ABB）,[],13
不规则动词专项,来去与移动,speed,加速,v.,,,L2,核心：speed→sped→sped（ABB）,[],14
不规则动词专项,来去与移动,sink,下沉,v.,,,L2,核心：sink→sank→sunk（ABC）,[],15
不规则动词专项,来去与移动,spread,传播,v.,,,L2,核心：spread→spread→spread（AAA）,[],16
不规则动词专项,来去与移动,trip,旅行,n.,,,L2,扩展,[],17
不规则动词专项,来去与移动,station,车站,n.,,,L2,扩展,[],18
不规则动词专项,来去与移动,airport,机场,n.,,,L2,扩展,[],19
不规则动词专项,来去与移动,direction,方向,n.,,,L2,扩展,[],20
不规则动词专项,来去与移动,route,路线,n.,,,L2,扩展,[],21
不规则动词专项,感知与思考,see,看见,v.,,,L2,核心：see→saw→seen（ABC）,[],0
不规则动词专项,感知与思考,hear,听见,v.,,,L2,核心：hear→heard→heard（ABB）,[],1
不规则动词专项,感知与思考,smell,闻,v.,,,L2,核心：smell→smelt→smelt（ABB）,[],2
不规则动词专项,感知与思考,feel,感觉,v.,,,L2,核心：feel→felt→felt（ABB）,[],3
