scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
被动·现在与过去,一般现在被动,现在被动,English is spoken all over the world.,英语在全世界被使用。,L2,一般现在被动：am/is/are+过去分词。,"[{""en"":""French is spoken in France."",""zh"":""法国说法语。""}]"
被动·现在与过去,一般现在被动,现在被动,The shop is opened at 9 am.,商店在上午9点开门。,L2,一般现在被动描述日常。,"[{""en"":""The door is locked at night."",""zh"":""门晚上被锁上。""}]"
被动·现在与过去,一般现在被动,否定,This room is not used very often.,这个房间不常用。,L2,一般现在被动否定。,"[{""en"":""These machines are not used anymore."",""zh"":""这些机器不再用了。""}]"
被动·现在与过去,一般过去被动,过去被动,The bridge was built in 1990.,这座桥建于1990年。,L2,一般过去被动：was/were+过去分词。,"[{""en"":""This house was built in 2000."",""zh"":""这栋房子建于2000年。""}]"
被动·现在与过去,一般过去被动,过去被动,The window was broken by a child.,窗户被一个孩子打破了。,L2,过去被动+by执行者。,"[{""en"":""The cake was eaten by the dog."",""zh"":""蛋糕被狗吃了。""}]"
被动·现在与过去,一般过去被动,过去被动,The letters were sent yesterday.,信件昨天被寄出了。,L2,过去被动复数。,"[{""en"":""The emails were received this morning."",""zh"":""邮件今早被收到。""}]"
被动·完成与将来,现在完成被动,完成被动,The work has been finished.,工作已经完成了。,L3,现在完成被动：have/has been+过去分词。,"[{""en"":""The report has been submitted."",""zh"":""报告已提交。""}]"
被动·完成与将来,现在完成被动,完成被动,The tickets have been sold out.,票已经卖完了。,L3,现在完成被动常见表达。,"[{""en"":""All the rooms have been booked."",""zh"":""所有房间都被订了。""}]"
被动·完成与将来,将来被动,将来被动,The meeting will be held online.,会议将在线上举行。,L3,将来被动：will be+过去分词。,"[{""en"":""The exam will be held next week."",""zh"":""考试将在下周举行。""}]"
被动·完成与将来,将来被动,将来被动,The new hospital is going to be opened next year.,新医院将在明年开业。,L3,be going to be+过去分词。,"[{""en"":""The road is going to be repaired."",""zh"":""这条路将被修复。""}]"
被动·情态与常用,情态被动,情态被动,This must be done carefully.,这必须小心完成。,L3,情态被动：must+be+过去分词。,"[{""en"":""This must be finished today."",""zh"":""这必须在今天完成。""}]"
被动·情态与常用,情态被动,情态被动,The work can be finished by Friday.,工作可以在周五前完成。,L3,can+be+过去分词。,"[{""en"":""The problem can be solved easily."",""zh"":""这个问题容易解决。""}]"
被动·情态与常用,情态被动,情态被动,Children should be taught to respect others.,应该教孩子尊重他人。,L3,should+be+过去分词。,"[{""en"":""The rules should be followed."",""zh"":""规则应该被遵守。""}]"
被动·情态与常用,常用被动表达,常用,It is said that he is very rich.,据说他非常有钱。,L3,固定句型：It is said that。,"[{""en"":""It is said that she can speak 5 languages."",""zh"":""据说她会说5种语言。""}]"
被动·情态与常用,常用被动表达,常用,It is believed that exercise is good for health.,人们相信锻炼对健康有益。,L3,It is believed that。,"[{""en"":""It is believed that the meeting will be canceled."",""zh"":""据信会议会被取消。""}]"
被动·情态与常用,常用被动表达,常用,She is known as a great singer.,她被称为伟大的歌手。,L3,be known as。,"[{""en"":""He is known as an expert in this field."",""zh"":""他被称为这个领域的专家。""}]"
