scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
基础⑨·比较事物,比...更,比较级,My bag is bigger than yours.,我的包比你的大。,L2,-er比较级。,"[{""en"":""His car is newer than mine."",""zh"":""他的车比我的新。""}]"
基础⑨·比较事物,比...更,比较级,This book is more interesting than that one.,这本书比那本有趣。,L2,more + 长形容词。,"[{""en"":""This movie is more exciting than that one."",""zh"":""这部电影比那部刺激。""}]"
基础⑨·比较事物,比...更,不规则比较级,She is a better student than me.,她比我学得好。,L2,good→better不规则变化。,"[{""en"":""He is better at sports than me."",""zh"":""他运动比我好。""}]"
基础⑨·比较事物,最...的,最高级,She is the best student in our class.,她是我们班最好的学生。,L2,the best。,"[{""en"":""This is the best restaurant in town."",""zh"":""这是城里最好的餐厅。""}]"
基础⑨·比较事物,最...的,最高级,This is the most beautiful place I've seen.,这是我看过最美的地方。,L2,the most + 长形。,"[{""en"":""She is the most kind person I know."",""zh"":""她是我认识的最善良的人。""}]"
基础⑨·描述位置,有...在...,there is,There is a bank near my house.,我家附近有家银行。,L1,There is + 单数。,"[{""en"":""There is a park next to the school."",""zh"":""学校旁边有个公园。""}]"
基础⑨·描述位置,有...在...,there are,There are two cats in the garden.,花园里有两只猫。,L1,There are + 复数。,"[{""en"":""There are many students in the room."",""zh"":""房间里有很多学生。""}]"
基础⑨·描述位置,有...在...,疑问,Is there a bank near here? — Yes, there is.,附近有银行吗？——有。,L1,Is there...? 疑问。,"[{""en"":""Is there a hospital nearby?"",""zh"":""附近有医院吗？""}]"
基础⑨·描述位置,有...在...,否定,There isn't any milk in the fridge.,冰箱里没有牛奶了。,L1,There isn't / aren't。,"[{""en"":""There aren't any students in the room."",""zh"":""房间里没有学生。""}]"
基础⑨·描述位置,在...里/上/旁边,介词,The cat is under the table.,猫在桌子下面。,L1,under 位置介词。,"[{""en"":""The dog is behind the door."",""zh"":""狗在门后面。""}]"
基础⑨·描述位置,在...里/上/旁边,介词,The school is next to the library.,学校在图书馆旁边。,L1,next to / between。,"[{""en"":""The bank is between the store and the hospital."",""zh"":""银行在商店和医院之间。""}]"
基础⑨·程度表达,和...一样,as...as,She is as tall as her brother.,她和她哥哥一样高。,L2,as + 形 + as。,"[{""en"":""This book is as good as that one."",""zh"":""这本书和那本一样好。""}]"
基础⑨·程度表达,和...一样,not as...as,He is not as tall as his father.,他没有他爸爸高。,L2,not as + 形 + as。,"[{""en"":""This phone is not as expensive as that one."",""zh"":""这个手机没有那么贵。""}]"
基础⑨·程度表达,和...一样,too,This coffee is too hot to drink.,这咖啡太烫了不能喝。,L2,too + 形 + to do。,"[{""en"":""This bag is too heavy to carry."",""zh"":""这个包太重了拿不动。""}]"
基础⑨·程度表达,和...一样,enough,This room is big enough for us.,这个房间够我们住了。,L2,形 + enough。,"[{""en"":""This car is cheap enough for me."",""zh"":""这辆车对我来说够便宜了。""}]"
基础⑨·程度表达,怎么做的,副词,She speaks English very well.,她英语说得很好。,L2,well 副词。,"[{""en"":""He drives carefully."",""zh"":""他开车很小心。""}]"
