category_name,title,location,required_output_level,required_user_level,description
留学生活,宿舍入住,宿舍前台,L2,1,"刚到国外的第一站，在宿舍前台办理入住登记。"
留学生活,机场入境,机场入境大厅,L2,1,"抵达国外机场，通过入境检查。"
留学生活,认识室友,宿舍房间,L2,1,"第一次见到室友，自我介绍、聊家乡。"
留学生活,银行开户,银行柜台,L2,1,"去银行开账户，说明需求并提交证件。"
留学生活,买 SIM 卡,手机营业厅,L1,1,"办理手机卡，选择套餐方案。"
日常社交,咖啡店点餐,校园咖啡店,L1,1,"在咖啡店点饮品，学会基本点餐用语。"
日常社交,超市购物,超市,L1,1,"去超市采购生活用品。"
旅行英语,打车出行,机场出租车站,L1,1,"打车前往住处，告诉司机目的地。"
职场交流,面试自我介绍,面试室,L3,1,"在面试中做自我介绍。"
学术挑战,小组讨论,教室,L3,1,"参与课堂小组讨论，表达观点。"
健康医疗,预约看病,诊所,L2,1,"打电话或前台预约看病时间。"
健康医疗,药房买药,药房,L1,1,"去药房描述症状、买药。"
酒店出行,酒店入住,酒店前台,L2,1,"办理酒店入住，确认房间和设施。"
酒店出行,退房投诉,酒店前台,L2,1,"退房结账，处理住宿期间的问题。"
校园生活,图书馆借书,图书馆,L1,1,"在图书馆借书和询问规则。"
校园生活,社团招新,社团摊位,L2,1,"了解社团信息、报名参加。"
