scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
动词短语实战,常见动词短语,常见动词短语,Don't give up.,不要放弃。,L1,鼓励他人的常用动词短语句子。,"[{""en"":""Don't give up! You can do it."",""zh"":""不要放弃！你能做到的。""}]"
动词短语实战,常见动词短语,常见动词短语,I'm looking for...,我在找...,L1,表示寻找某物/某人。,"[{""en"":""I'm looking for my phone. Have you seen it?"",""zh"":""我在找我的手机，你看见了吗？""}]"
动词短语实战,常见动词短语,常见动词短语,I've run out of...,我用光了...,L2,表示用完/耗尽某物。,"[{""en"":""I've run out of milk. I need to buy some."",""zh"":""牛奶喝完了，我需要买一些。""}]"
动词短语实战,动词短语对话,动词短语对话,I came up with a...,我想出了一个...,L2,表示想出主意/方案。,"[{""en"":""I came up with a solution to the problem."",""zh"":""我想出了一个解决问题的办法。""}]"
动词短语实战,动词短语对话,动词短语对话,I can't put up with...,我受不了...,L2,表示无法忍受某事/某人。,"[{""en"":""I can't put up with this noise anymore."",""zh"":""我再也受不了这噪音了。""}]"
动词短语实战,动词短语对话,动词短语对话,We get along well.,我们相处得很好。,L1,表示关系融洽。,"[{""en"":""My colleagues and I get along well."",""zh"":""我和同事们相处得很好。""}]"
时态精准表达,时态选择与对比,时态选择与对比,I usually... (present simple),我通常...(一般现在时),L1,描述习惯性动作。always/usually/often + 一般现在时。,"[{""en"":""I usually wake up at 7 AM."",""zh"":""我通常早上7点起床。""}]"
时态精准表达,时态选择与对比,时态选择与对比,I'm currently... (present continuous),我目前正在...(现在进行时),L1,描述当前正在进行的动作。,"[{""en"":""I'm currently working on a new project."",""zh"":""我目前正在做一个新项目。""}]"
时态精准表达,时态选择与对比,时态选择与对比,I have already... (present perfect),我已经...(现在完成时),L2,描述已经完成的事情。already / just / ever / never。,"[{""en"":""I have already finished the report."",""zh"":""我已经完成了报告。""}]"
时态精准表达,时态在叙事中,时态在叙事中,Yesterday I... (past simple),昨天我...(一般过去时),L1,描述过去某时发生的事。,"[{""en"":""Yesterday I visited the museum."",""zh"":""昨天我参观了博物馆。""}]"
时态精准表达,时态在叙事中,时态在叙事中,I was... when... (past continuous),我正...这时...(过去进行时),L2,描述过去某时正在做的事被另一件事打断。,"[{""en"":""I was having dinner when the phone rang."",""zh"":""我正吃晚饭时电话响了。""}]"
时态精准表达,时态在叙事中,时态在叙事中,I had never... before...,我以前从未...过...(过去完成时),L3,描述过去某时间点之前从未有过的经历。,"[{""en"":""I had never tried sushi before that day."",""zh"":""在那天之前我从未尝过寿司。""}]"
句子组织与衔接,连接词与过渡,连接词与过渡,It was difficult but I...,很困难但我...,L1,用but表示转折。,"[{""en"":""It was difficult but I managed to do it."",""zh"":""很困难但我设法做到了。""}]"
句子组织与衔接,连接词与过渡,连接词与过渡,I was late so I...,我迟到了所以我...,L1,用so表示因果。,"[{""en"":""I was late so I missed the bus."",""zh"":""我迟到了所以没赶上公交。""}]"
句子组织与衔接,连接词与过渡,连接词与过渡,Although it was..., although + 从句表达让步,Although + 从句 + 主句表示"虽然...但是..."。,"[{""en"":""Although it was raining, we went for a walk."",""zh"":""虽然下着雨我们还是去散步了。""}]"
句子组织与衔接,复杂句结构,复杂句结构,The book that I read was...,我读的那本书...,L3,用that从句修饰名词。defining relative clause。,"[{""en"":""The book that I read was really interesting."",""zh"":""我读的那本书非常有趣。""}]"
句子组织与衔接,复杂句结构,复杂句结构,If I had more time, I would...,如果我有更多时间我会...,L3,用if引导的条件句表达假设。,"[{""en"":""If I had more time, I would learn another language."",""zh"":""如果我有更多时间我会再学一门语言。""}]"
副词与状语,程度与频率副词,程度与频率副词,I always... / I never...,我总是... / 我从不...,L1,频率副词的典型用法。,"[{""en"":""I always have breakfast before leaving."",""zh"":""我总是在出门前吃早餐。""}]"
副词与状语,程度与频率副词,程度与频率副词,It's quite... / It's very...,它相当... / 它很...,L1,程度副词的典型用法。,"[{""en"":""The movie was quite interesting."",""zh"":""这部电影相当有趣。""}]"
副词与状语,方式与评论副词,方式与评论副词,Please... carefully.,请仔细地...,L1,方式副词修饰动作。,"[{""en"":""Please drive carefully on the icy road."",""zh"":""在结冰的路上请小心驾驶。""}]"
