scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"职场·面试自我介绍",1分钟自我介绍,resume,简历,noun,/rɪˈzuːm/,/rɪˈzjuːm/,L2,求职简历。英式也常说 CV (curriculum vitae)。面试时带一份 printed copy。,"[{""en"":""I've brought a copy of my resume."",""zh"":""我带了一份简历。""}]",0
"职场·面试自我介绍",1分钟自我介绍,position,职位,noun,/pəˈzɪʃən/,/pəˈzɪʃən/,L2,工作岗位。比 job 更正式。apply for a position = 申请一个职位。,"[{""en"":""I'm applying for the marketing position."",""zh"":""我申请的是市场营销职位。""}]",1
"职场·面试自我介绍",1分钟自我介绍,qualification,资质/学历,noun,/ˌkwɑːlɪfɪˈkeɪʃən/,/ˌkwɒlɪfɪˈkeɪʃən/,L2,包括学历(degree)和技能证书(certificate)。What are your qualifications? = 你有什么资质？,"[{""en"":""My qualifications include a bachelor's degree and two years of experience."",""zh"":""我的资质包括一个学士学位和两年经验。""}]",2
"职场·面试自我介绍",1分钟自我介绍,background,背景,noun,/ˈbækɡraʊnd/,/ˈbækɡraʊnd/,L2,教育背景+工作背景。Tell me about your background = 说说你的背景。,"[{""en"":""Let me tell you a bit about my background."",""zh"":""让我简单介绍一下我的背景。""}]",3
"职场·面试自我介绍",1分钟自我介绍,graduate,毕业,verb,/ˈɡrædʒueɪt/,/ˈɡrædʒueɪt/,L2,毕业。I graduated from... = 我毕业于...。fresh graduate = 应届毕业生。,"[{""en"":""I graduated from Beijing University with a degree in Finance."",""zh"":""我毕业于北京大学，金融专业。""}]",4
"职场·面试自我介绍",1分钟自我介绍,career goal,职业目标,noun phrase,/kəˈrɪr ɡoʊl/,/kəˈrɪə ɡəʊl/,L3,职业目标。面试必问：What are your career goals?,"[{""en"":""My career goal is to become a project manager."",""zh"":""我的职业目标是成为项目经理。""}]",5
"职场·面试自我介绍",描述过往经历,internship,实习,noun,/ˈɪntɜːrnʃɪp/,/ˈɪntɜːnʃɪp/,L2,实习。summer internship = 暑期实习。paid/unpaid internship = 有薪/无薪实习。,"[{""en"":""I completed a three-month internship at a tech company."",""zh"":""我在一家科技公司完成了三个月实习。""}]",0
"职场·面试自我介绍",描述过往经历,responsibility,职责,noun,/rɪˌspɑːnsəˈbɪləti/,/rɪˌspɒnsəˈbɪləti/,L2,工作职责。I was responsible for... = 我负责...。responsibilities = 职责(复数)。,"[{""en"":""My main responsibility was managing the social media accounts."",""zh"":""我的主要职责是管理社交媒体账号。""}]",1
"职场·面试自我介绍",描述过往经历,achievement,成就,noun,/əˈtʃiːvmənt/,/əˈtʃiːvmənt/,L3,成就/成果。面试中用具体数字展示 achievement 最有说服力。,"[{""en"":""One of my achievements was increasing user engagement by 30%."",""zh"":""我的成就之一是将用户参与度提高了30%。""}]",2
"职场·面试自我介绍",描述过往经历,project,项目,noun,/ˈprɑːdʒekt/,/ˈprɒdʒekt/,L2,项目。work on a project = 做一个项目。lead a project = 领导项目。,"[{""en"":""I worked on several projects during my internship."",""zh"":""实习期间我参与了几个项目。""}]",3
"职场·面试自我介绍",描述过往经历,deadline,截止日期,noun,/ˈdedlaɪn/,/ˈdedlaɪn/,L2,截止日期。meet a deadline = 按时完成。tight deadline = 很赶的截止时间。,"[{""en"":""I'm used to working under tight deadlines."",""zh"":""我习惯了在紧迫的截止日期下工作。""}]",4
"职场·面试自我介绍",回答优缺点,strengths,优势,noun,/streŋkθs/,/streŋkθs/,L2,优势/强项。One of my strengths is... = 我的一个优势是...。,"[{""en"":""One of my strengths is my attention to detail."",""zh"":""我的一个优势是注重细节。""}]",0
"职场·面试自我介绍",回答优缺点,weaknesses,不足/弱点,noun,/ˈwiːknəsɪz/,/ˈwiːknəsɪz/,L2,回答优缺点时别只说缺点——要说你在怎么改进。I'm working on... = 我正在改进...。,"[{""en"":""One area I'm working on is public speaking."",""zh"":""我正在改进的一个方面是公开演讲。""}]",1
"职场·面试自我介绍",回答优缺点,teamwork,团队合作,noun,/ˈtiːmwɜːrk/,/ˈtiːmwɜːk/,L2,团队合作能力。最常见的面试 strengths 之一。collaborate = 协作。,"[{""en"":""Teamwork is one of my strengths."",""zh"":""团队合作是我的强项之一。""}]",2
"职场·面试自我介绍",回答优缺点,communication,沟通能力,noun,/kəˌmjuːnɪˈkeɪʃən/,/kəˌmjuːnɪˈkeɪʃən/,L2,沟通能力。面试中的高频词。good communication skills = 良好的沟通能力。,"[{""en"":""I believe I have strong communication skills."",""zh"":""我相信我有很强的沟通能力。""}]",3
"职场·面试自我介绍",回答优缺点,improve,改进,verb,/ɪmˈpruːv/,/ɪmˈpruːv/,L2,改进。I'm working on improving... = 我正在提升...。说缺点时的正确姿势。,"[{""en"":""I'm working on improving my time management."",""zh"":""我正在提升我的时间管理能力。""}]",4
"职场·面试自我介绍",1分钟自我介绍,major,专业,noun,/ˈmeɪdʒər/,/ˈmeɪdʒə/,L2,大学主修专业。My major is... / I majored in... = 我的专业是...。,"[{""en"":""My major is Business Administration."",""zh"":""我的专业是工商管理。""}]",6
"职场·面试自我介绍",1分钟自我介绍,degree,学位,noun,/dɪˈɡriː/,/dɪˈɡriː/,L2,学位。bachelor's degree = 学士, master's = 硕士。,"[{""en"":""I hold a bachelor's degree in Computer Science."",""zh"":""我拥有计算机科学学士学位。""}]",7
"职场·面试自我介绍",描述过往经历,previous role,前一个职位,noun phrase,/ˈpriːviəs roʊl/,/ˈpriːviəs rəʊl/,L2,上一份工作的职位。In my previous role... = 在我之前的职位中...。,"[{""en"":""In my previous role, I managed a team of five."",""zh"":""在我之前的职位中，我管理一个五人的团队。""}]",5
"职场·面试自我介绍",描述过往经历,collaborate,协作,verb,/kəˈlæbəreɪt/,/kəˈlæbəreɪt/,L3,协作/合作。collaborate with = 与...合作。比 work with 更职业化。,"[{""en"":""I collaborated with the design team on this project."",""zh"":""我与设计团队在这个项目上进行了协作。""}]",6
"职场·面试自我介绍",回答优缺点,adaptable,适应力强的,adj,/əˈdæptəbəl/,/əˈdæptəbəl/,L3,适应力强——很受面试官欢迎的优势词。quick learner 更口语化。,"[{""en"":""I'm very adaptable and enjoy new challenges."",""zh"":""我适应力很强，喜欢迎接新挑战。""}]",5
"职场·面试自我介绍",回答优缺点,time management,时间管理,noun phrase,/taɪm ˈmænɪdʒmənt/,/taɪm ˈmænɪdʒmənt/,L2,时间管理能力。最常见的待改进缺点——因为容易展示你在改进。,"[{""en"":""I'm working on my time management skills."",""zh"":""我在改善我的时间管理能力。""}]",6
"职场·面试自我介绍",1分钟自我介绍,apply for,申请,phrase,/əˈplaɪ fɔːr/,/əˈplaɪ fɔː/,L2,I'm applying for... = 我申请的是...。apply for a job/position。,"[{""en"":""I'm applying for the junior developer position."",""zh"":""我申请的是初级开发工程师职位。""}]",8
"职场·面试自我介绍",1分钟自我介绍,looking forward to,期待,phrase,/ˈlʊkɪŋ ˈfɔːrwərd tuː/,/ˈlʊkɪŋ ˈfɔːwəd tuː/,L1,期待。面试结束语：I look forward to hearing from you。,"[{""en"":""I'm really looking forward to this opportunity."",""zh"":""我非常期待这个机会。""}]",9
"职场·面试自我介绍",描述过往经历,handle,处理,verb,/ˈhændəl/,/ˈhændəl/,L2,处理/应对。handle pressure = 应对压力。handle multiple tasks = 同时处理多项任务。,"[{""en"":""I can handle multiple tasks at the same time."",""zh"":""我可以同时处理多项任务。""}]",7
"职场·面试自我介绍",描述过往经历,client,客户,noun,/ˈklaɪənt/,/ˈklaɪənt/,L2,客户。customer 多指零售客户，client 多指长期合作关系。,"[{""en"":""I was responsible for communicating with clients."",""zh"":""我负责与客户沟通。""}]",8
"职场·面试自我介绍",回答优缺点,detail-oriented,注重细节的,adj,/ˈdiːteɪl ˈɔːrientɪd/,/ˈdiːteɪl ˈɔːrientɪd/,L3,注重细节——经典面试优势词。attention to detail = 对细节的关注。,"[{""en"":""I'm very detail-oriented, which helps me catch errors early."",""zh"":""我非常注重细节，这能帮我在早期发现错误。""}]",7
